"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"FLSK","Simon Mwansa Kapwepwe Intl","Ndola","Zambia","ZMB",-12.995,28.665,"{""type"":""Point"",""coordinates"":[28.665,-12.995]}"
"FAMM","Mafikeng","Mafikeng","South African Rep","ZAF",-25.807447222222223,25.544469444444445,"{""type"":""Point"",""coordinates"":[25.544469444444445,-25.807447222222223]}"
"OYSN","Sanaa Intl","Sanaa","Yemen","YEM",15.479444444444445,44.219722222222224,"{""type"":""Point"",""coordinates"":[44.219722222222224,15.479444444444445]}"
"OYRN","Mukalla Intl","Mukalla","Yemen","YEM",14.6625,49.375,"{""type"":""Point"",""coordinates"":[49.375,14.6625]}"
"OYAA","Aden Intl","Aden","Yemen","YEM",12.829166666666666,45.03,"{""type"":""Point"",""coordinates"":[45.03,12.829166666666666]}"
"LPAZ","Santa Maria","Santa Maria","Azores","XJI",36.973888888888894,-25.171111111111113,"{""type"":""Point"",""coordinates"":[-25.171111111111113,36.973888888888894]}"
"GEML","Melilla","Melilla","Melilla","XJF",35.27972222222222,-2.956388888888889,"{""type"":""Point"",""coordinates"":[-2.956388888888889,35.27972222222222]}"
"GCXO","Tenerife-North","Tenerife-North","Canary Is","XJE",28.482777777777777,-16.341666666666665,"{""type"":""Point"",""coordinates"":[-16.341666666666665,28.482777777777777]}"
"GCTS","Reina Sofia","Tenerife-South","Canary Is","XJE",28.044444444444448,-16.572499999999998,"{""type"":""Point"",""coordinates"":[-16.572499999999998,28.044444444444448]}"
"GCFV","Fuerteventura","Fuerteventura","Canary Is","XJE",28.452777777777776,-13.863888888888889,"{""type"":""Point"",""coordinates"":[-13.863888888888889,28.452777777777776]}"
"VVTS","Tan Son Nhat Intl","Ho Chi Minh","Vietnam","VNM",10.820555555555556,106.66083333333334,"{""type"":""Point"",""coordinates"":[106.66083333333334,10.820555555555556]}"
"VVNB","Noi Bai Intl","Hanoi","Vietnam","VNM",21.221666666666664,105.80555555555556,"{""type"":""Point"",""coordinates"":[105.80555555555556,21.221666666666664]}"
"TISX","Henry E Rohlsen","St Croix I","Virgin Islands","VIR",17.7015,-64.80166666666666,"{""type"":""Point"",""coordinates"":[-64.80166666666666,17.7015]}"
"SVVA","Arturo Michelena Intl","Valencia","Venezuela","VEN",10.15,-67.923,"{""type"":""Point"",""coordinates"":[-67.923,10.15]}"
"SVSA","Gral. Juan Vicente Gomez INTL","San Antonio Del Tachira","Venezuela","VEN",7.8405555555555555,-72.43972222222223,"{""type"":""Point"",""coordinates"":[-72.43972222222223,7.8405555555555555]}"
"SVMG","Chief Gen Santiago Marino Intl","Margarita","Venezuela","VEN",10.9125,-63.96638888888889,"{""type"":""Point"",""coordinates"":[-63.96638888888889,10.9125]}"
"SVMC","La Chinita Intl","Maracaibo","Venezuela","VEN",10.558333333333334,-71.7286111111111,"{""type"":""Point"",""coordinates"":[-71.7286111111111,10.558333333333334]}"
"SVBC","Gen. Jose Antonio Anzoategui Intl","Barcelona","Venezuela","VEN",10.11111111111111,-64.69222222222223,"{""type"":""Point"",""coordinates"":[-64.69222222222223,10.11111111111111]}"
"TVSU","Union I. Intl","Union I.","St Vincent","VCT",12.598611111111111,-61.414722222222224,"{""type"":""Point"",""coordinates"":[-61.414722222222224,12.598611111111111]}"
"TVSM","Mustique Is","Mustique","St Vincent","VCT",12.887727777777778,-61.18004166666667,"{""type"":""Point"",""coordinates"":[-61.18004166666667,12.887727777777778]}"
"UTTT","Yuzhny","Tashkent","Uzbekistan","UZB",41.25666666666667,69.28166666666667,"{""type"":""Point"",""coordinates"":[69.28166666666667,41.25666666666667]}"
"OYTZ","Taiz Intl","Taiz","Yemen","YEM",13.686111111111112,44.138888888888886,"{""type"":""Point"",""coordinates"":[44.138888888888886,13.686111111111112]}"
"PANC","Stevens Anchorage Intl","Anchorage","USA","USA",61.17415555555555,-149.9981861111111,"{""type"":""Point"",""coordinates"":[-149.9981861111111,61.17415555555555]}"
"PAFA","Fairbanks Intl","Fairbanks","USA","USA",64.81510833333333,-147.85644722222222,"{""type"":""Point"",""coordinates"":[-147.85644722222222,64.81510833333333]}"
"KTYS","Mc Ghee Tyson","Knoxville","USA","USA",35.80937222222222,-83.99531944444445,"{""type"":""Point"",""coordinates"":[-83.99531944444445,35.80937222222222]}"
"KTVC","Cherry Capital","Traverse City","USA","USA",44.74158333333333,-85.58177777777777,"{""type"":""Point"",""coordinates"":[-85.58177777777777,44.74158333333333]}"
"KTOL","Toledo Express","Toledo","USA","USA",41.58680555555556,-83.80783333333333,"{""type"":""Point"",""coordinates"":[-83.80783333333333,41.58680555555556]}"
"KTLH","Tallahassee Intl","Tallahassee","USA","USA",30.39675,-84.3508611111111,"{""type"":""Point"",""coordinates"":[-84.3508611111111,30.39675]}"
"KSLC","Salt Lake City Intl","Salt Lake City","USA","USA",40.78838888888889,-111.97777222222223,"{""type"":""Point"",""coordinates"":[-111.97777222222223,40.78838888888889]}"
"KSHV","Shreveport Regl","Shreveport","USA","USA",32.44661111111111,-93.8256111111111,"{""type"":""Point"",""coordinates"":[-93.8256111111111,32.44661111111111]}"
"KSGF","Springfield-Branson Natl","Springfield","USA","USA",37.245666666666665,-93.38863888888889,"{""type"":""Point"",""coordinates"":[-93.38863888888889,37.245666666666665]}"
"KSFB","Orlando Sanford Intl","Orlando","USA","USA",28.77697222222222,-81.23491666666666,"{""type"":""Point"",""coordinates"":[-81.23491666666666,28.77697222222222]}"
"KSEA","Seattle-Tacoma Intl","Seattle","USA","USA",47.449888888888886,-122.31177777777778,"{""type"":""Point"",""coordinates"":[-122.31177777777778,47.449888888888886]}"
"KSDF","Louisville Intl-Standiford","Louisville","USA","USA",38.17408333333333,-85.73649722222223,"{""type"":""Point"",""coordinates"":[-85.73649722222223,38.17408333333333]}"
"KSBP","San Luis Obispo Co Regl","San Luis Obispo","USA","USA",35.23727777777778,-120.64261111111112,"{""type"":""Point"",""coordinates"":[-120.64261111111112,35.23727777777778]}"
"KSAV","Savannah/Hilton Head Intl","Savannah","USA","USA",32.127583333333334,-81.2021388888889,"{""type"":""Point"",""coordinates"":[-81.2021388888889,32.127583333333334]}"
"KRSW","Southwest Florida Intl","Ft Myers","USA","USA",26.53616666666667,-81.75516666666667,"{""type"":""Point"",""coordinates"":[-81.75516666666667,26.53616666666667]}"
"KRST","Rochester Intl","Rochester","USA","USA",43.908277777777776,-92.50002777777777,"{""type"":""Point"",""coordinates"":[-92.50002777777777,43.908277777777776]}"
"KROC","Greater Rochester Intl","Rochester","USA","USA",43.119141666666664,-77.67186666666667,"{""type"":""Point"",""coordinates"":[-77.67186666666667,43.119141666666664]}"
"KRIC","Richmond Intl","Richmond","USA","USA",37.50516666666667,-77.31966666666666,"{""type"":""Point"",""coordinates"":[-77.31966666666666,37.50516666666667]}"
"KPWM","Portland Intl","Portland","USA","USA",43.64564166666666,-70.30861388888889,"{""type"":""Point"",""coordinates"":[-70.30861388888889,43.64564166666666]}"
"KPIT","Pittsburgh Intl","Pittsburgh","USA","USA",40.491416666666666,-80.23269444444445,"{""type"":""Point"",""coordinates"":[-80.23269444444445,40.491416666666666]}"
"KPIE","St Pete-Clearwater Intl","St Petersburg-Clearwater","USA","USA",27.90868611111111,-82.68649166666667,"{""type"":""Point"",""coordinates"":[-82.68649166666667,27.90868611111111]}"
"KPIA","Gen Downing-Peoria Intl","Peoria","USA","USA",40.66419444444444,-89.69325,"{""type"":""Point"",""coordinates"":[-89.69325,40.66419444444444]}"
"KPBI","Palm Beach Intl","West Palm Beach","USA","USA",26.68316666666667,-80.09558333333332,"{""type"":""Point"",""coordinates"":[-80.09558333333332,26.68316666666667]}"
"KMYR","Myrtle Beach Intl","Myrtle Beach","USA","USA",33.67975,-78.92833333333334,"{""type"":""Point"",""coordinates"":[-78.92833333333334,33.67975]}"
"KMSY","Armstrong New Orleans Intl","New Orleans","USA","USA",29.993277777777777,-90.25902777777777,"{""type"":""Point"",""coordinates"":[-90.25902777777777,29.993277777777777]}"
"KMRY","Monterey Regional","Monterey","USA","USA",36.58695,-121.84278055555555,"{""type"":""Point"",""coordinates"":[-121.84278055555555,36.58695]}"
"KMOT","Minot Intl","Minot","USA","USA",48.25763888888889,-101.27802777777778,"{""type"":""Point"",""coordinates"":[-101.27802777777778,48.25763888888889]}"
"KMOB","Mobile Regl","Mobile","USA","USA",30.691416666666665,-88.24283333333334,"{""type"":""Point"",""coordinates"":[-88.24283333333334,30.691416666666665]}"
"KMKE","Gen Mitchell Intl","Milwaukee","USA","USA",42.94694444444444,-87.89705555555557,"{""type"":""Point"",""coordinates"":[-87.89705555555557,42.94694444444444]}"
"KMEM","Memphis Intl","Memphis","USA","USA",35.04241666666667,-89.97666666666667,"{""type"":""Point"",""coordinates"":[-89.97666666666667,35.04241666666667]}"
"KMDW","Chicago Midway Intl","Chicago","USA","USA",41.785983333333334,-87.752425,"{""type"":""Point"",""coordinates"":[-87.752425,41.785983333333334]}"
"KTUP","Tupelo Regl","Tupelo","USA","USA",34.269,-88.76988888888889,"{""type"":""Point"",""coordinates"":[-88.76988888888889,34.269]}"
"KMCO","Orlando Intl","Orlando","USA","USA",28.42938888888889,-81.309,"{""type"":""Point"",""coordinates"":[-81.309,28.42938888888889]}"
"KMCI","Kansas City Intl","Kansas City","USA","USA",39.29761111111111,-94.71388888888889,"{""type"":""Point"",""coordinates"":[-94.71388888888889,39.29761111111111]}"
"KMAF","Midland Intl","Midland","USA","USA",31.942527777777777,-102.20191666666668,"{""type"":""Point"",""coordinates"":[-102.20191666666668,31.942527777777777]}"
"KLIT","Bill & Hillary Clinton Natl/Adams","Little Rock","USA","USA",34.72944444444445,-92.22477777777777,"{""type"":""Point"",""coordinates"":[-92.22477777777777,34.72944444444445]}"
"KLGB","Long Beach/Daugherty Field","Long Beach","USA","USA",33.817752777777784,-118.15173055555556,"{""type"":""Point"",""coordinates"":[-118.15173055555556,33.817752777777784]}"
"KLFT","Lafayette Regl/Fournet","Lafayette","USA","USA",30.205027777777776,-91.98775,"{""type"":""Point"",""coordinates"":[-91.98775,30.205027777777776]}"
"KLEX","Blue Grass","Lexington","USA","USA",38.03675,-84.60863888888888,"{""type"":""Point"",""coordinates"":[-84.60863888888888,38.03675]}"
"KLCK","Rickenbacker Intl","Columbus","USA","USA",39.81377777777777,-82.92780555555557,"{""type"":""Point"",""coordinates"":[-82.92780555555557,39.81377777777777]}"
"KLCH","Lake Charles Regl","Lake Charles","USA","USA",30.126097222222224,-93.22340277777778,"{""type"":""Point"",""coordinates"":[-93.22340277777778,30.126097222222224]}"
"KLBB","Lubbock Preston Smith Intl","Lubbock","USA","USA",33.663666666666664,-101.82055555555556,"{""type"":""Point"",""coordinates"":[-101.82055555555556,33.663666666666664]}"
"KLAX","Los Angeles Intl","Los Angeles","USA","USA",33.942499999999995,-118.40807222222223,"{""type"":""Point"",""coordinates"":[-118.40807222222223,33.942499999999995]}"
"KLAS","Mc Carran Intl","Las Vegas","USA","USA",36.08005555555556,-115.15225000000001,"{""type"":""Point"",""coordinates"":[-115.15225000000001,36.08005555555556]}"
"KLAR","Laramie Regl","Laramie","USA","USA",41.31205555555555,-105.67500000000001,"{""type"":""Point"",""coordinates"":[-105.67500000000001,41.31205555555555]}"
