"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"OMZA","Falej Hazza","Falej Hazza","UAE","ARE",24.189833333333333,55.7165,"{""type"":""Point"",""coordinates"":[55.7165,24.189833333333333]}"
"OMRS","Al Saqr Field","Al Saqr Field","UAE","ARE",25.752777777777776,55.95944444444445,"{""type"":""Point"",""coordinates"":[55.95944444444445,25.752777777777776]}"
"OMNK","Sas Al Nakhl","Sas Al Nakhl","UAE","ARE",24.43766666666667,54.51694444444444,"{""type"":""Point"",""coordinates"":[54.51694444444444,24.43766666666667]}"
"OMFJ","Fujairah Intl","Fujairah","UAE","ARE",25.112222222222222,56.32416666666667,"{""type"":""Point"",""coordinates"":[56.32416666666667,25.112222222222222]}"
"OMDW","Al Maktoum Intl","Dubai","UAE","ARE",24.918333333333333,55.175555555555555,"{""type"":""Point"",""coordinates"":[55.175555555555555,24.918333333333333]}"
"OMDM","Minhad","Dubai","UAE","ARE",25.026833333333332,55.36633333333334,"{""type"":""Point"",""coordinates"":[55.36633333333334,25.026833333333332]}"
"OMRK","Ras Al Khaimah Intl","Ras Al Khaimah","UAE","ARE",25.613333333333333,55.93888888888888,"{""type"":""Point"",""coordinates"":[55.93888888888888,25.613333333333333]}"
"OMDL","Delma Island","Delma Island","UAE","ARE",24.50993611111111,52.33522222222223,"{""type"":""Point"",""coordinates"":[52.33522222222223,24.50993611111111]}"
"OMAF","Futaysi","Futaysi","UAE","ARE",24.378888888888888,54.316111111111105,"{""type"":""Point"",""coordinates"":[54.316111111111105,24.378888888888888]}"
"OMBY","Sir Bani Yas Island","Sir Bani Yas Island","UAE","ARE",24.283055555555556,52.58111111111111,"{""type"":""Point"",""coordinates"":[52.58111111111111,24.283055555555556]}"
"OMSN","Sir Bu Na'ir","Sir Bu Na'ir","UAE","ARE",25.218055555555555,54.23166666666667,"{""type"":""Point"",""coordinates"":[54.23166666666667,25.218055555555555]}"
"OMAQ","Qarnayn","Qarnayn","UAE","ARE",24.933333333333334,52.85,"{""type"":""Point"",""coordinates"":[52.85,24.933333333333334]}"
"OMAJ","Jebel Dhana","Jebel Dhana","UAE","ARE",24.181944444444447,52.62361111111111,"{""type"":""Point"",""coordinates"":[52.62361111111111,24.181944444444447]}"
"OMAL","Al Ain Intl","Al Ain","UAE","ARE",24.261666666666667,55.60916666666667,"{""type"":""Point"",""coordinates"":[55.60916666666667,24.261666666666667]}"
"OMAZ","Zirku","Zirku","UAE","ARE",24.863333333333333,53.075833333333335,"{""type"":""Point"",""coordinates"":[53.075833333333335,24.863333333333333]}"
"OMAM","Al Dhafra","Abu Dhabi","UAE","ARE",24.233333333333334,54.55,"{""type"":""Point"",""coordinates"":[54.55,24.233333333333334]}"
"OMAA","Abu Dhabi Intl","Abu Dhabi","UAE","ARE",24.43305555555556,54.651111111111106,"{""type"":""Point"",""coordinates"":[54.651111111111106,24.43305555555556]}"
"OMDB","Dubai Intl","Dubai","UAE","ARE",25.252777777777776,55.364444444444445,"{""type"":""Point"",""coordinates"":[55.364444444444445,25.252777777777776]}"
"OMAS","Das Island","Das Island","UAE","ARE",25.141666666666666,52.87222222222222,"{""type"":""Point"",""coordinates"":[52.87222222222222,25.141666666666666]}"
"OMAR","Arzanah","Arzanah","UAE","ARE",24.780833333333334,52.55972222222222,"{""type"":""Point"",""coordinates"":[52.55972222222222,24.780833333333334]}"
"OMAD","Al Bateen Executive","Abu Dhabi","UAE","ARE",24.428333333333335,54.45805555555556,"{""type"":""Point"",""coordinates"":[54.45805555555556,24.428333333333335]}"
"OMLW","Liwa AB","Liwa","UAE","ARE",23.661666666666665,53.81083333333333,"{""type"":""Point"",""coordinates"":[53.81083333333333,23.661666666666665]}"
"OMAH","Al Hamra","Al Hamra","UAE","ARE",24.083333333333332,52.45,"{""type"":""Point"",""coordinates"":[52.45,24.083333333333332]}"
"OMSJ","Sharjah Intl","Sharjah","UAE","ARE",25.329166666666666,55.51611111111111,"{""type"":""Point"",""coordinates"":[55.51611111111111,25.329166666666666]}"
"OMAB","Buhasa","Buhasa","UAE","ARE",23.599722222222223,53.379444444444445,"{""type"":""Point"",""coordinates"":[53.379444444444445,23.599722222222223]}"
