"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"VDR","Villa Del Rosario","Villa Del Rosario","Argentina","ARG",-31.580555555555556,-63.538888888888884,"{""type"":""Point"",""coordinates"":[-63.538888888888884,-31.580555555555556]}"
"SAZY","Aviador C. Campos","San Martin De Los Andes","Argentina","ARG",-40.07527777777778,-71.13722222222223,"{""type"":""Point"",""coordinates"":[-71.13722222222223,-40.07527777777778]}"
"SAZX","Nueve De Julio","Nueve De Julio","Argentina","ARG",-35.39944444444444,-60.93333333333333,"{""type"":""Point"",""coordinates"":[-60.93333333333333,-35.39944444444444]}"
"SAZW","Cutral-Co","Cutral-Co","Argentina","ARG",-38.939722222222215,-69.265,"{""type"":""Point"",""coordinates"":[-69.265,-38.939722222222215]}"
"SAZQ","Rio Colorado","Rio Colorado","Argentina","ARG",-38.995,-64.14027777777778,"{""type"":""Point"",""coordinates"":[-64.14027777777778,-38.995]}"
"SAZO","Necochea","Necochea","Argentina","ARG",-38.48888888888889,-58.81583333333333,"{""type"":""Point"",""coordinates"":[-58.81583333333333,-38.48888888888889]}"
"SAZH","Tres Arroyos","Tres Arroyos","Argentina","ARG",-38.385555555555555,-60.3275,"{""type"":""Point"",""coordinates"":[-60.3275,-38.385555555555555]}"
"SAZG","General Pico","General Pico","Argentina","ARG",-35.69472222222222,-63.75888888888889,"{""type"":""Point"",""coordinates"":[-63.75888888888889,-35.69472222222222]}"
"SAZE","Pigue","Pigue","Argentina","ARG",-37.60611111111111,-62.39861111111111,"{""type"":""Point"",""coordinates"":[-62.39861111111111,-37.60611111111111]}"
"SAZB","Comandante Espora","Bahia Blanca","Argentina","ARG",-38.72723611111111,-62.153375,"{""type"":""Point"",""coordinates"":[-62.153375,-38.72723611111111]}"
"TQL","Nanco Lauquen","Trenque Lauquen","Argentina","ARG",-35.97027777777778,-62.77194444444444,"{""type"":""Point"",""coordinates"":[-62.77194444444444,-35.97027777777778]}"
"SAWU","Santa Cruz","Santa Cruz","Argentina","ARG",-50.01777777777777,-68.58027777777778,"{""type"":""Point"",""coordinates"":[-68.58027777777778,-50.01777777777777]}"
"SAWR","Gobernador Gregores","Gobernador Gregores","Argentina","ARG",-48.78333333333333,-70.16222222222223,"{""type"":""Point"",""coordinates"":[-70.16222222222223,-48.78333333333333]}"
"SAWP","Perito Moreno","Perito Moreno","Argentina","ARG",-46.53777777777778,-70.97805555555556,"{""type"":""Point"",""coordinates"":[-70.97805555555556,-46.53777777777778]}"
"SAZT","Heroes de Malvinas","Tandil","Argentina","ARG",-37.23444444444444,-59.228611111111114,"{""type"":""Point"",""coordinates"":[-59.228611111111114,-37.23444444444444]}"
"SAVT","Almirante Zar","Trelew","Argentina","ARG",-43.21055555555556,-65.27027777777778,"{""type"":""Point"",""coordinates"":[-65.27027777777778,-43.21055555555556]}"
"SAVR","D.Casimiro Szlapelis","Alto Rio Senguerr","Argentina","ARG",-45.01305555555555,-70.81277777777777,"{""type"":""Point"",""coordinates"":[-70.81277777777777,-45.01305555555555]}"
"SAZA","Azul","Azul","Argentina","ARG",-36.83638888888889,-59.88027777777778,"{""type"":""Point"",""coordinates"":[-59.88027777777778,-36.83638888888889]}"
"SAWJ","Cap. D. Jose D. Vasquez","San Julian","Argentina","ARG",-49.306666666666665,-67.80277777777778,"{""type"":""Point"",""coordinates"":[-67.80277777777778,-49.306666666666665]}"
"SAVQ","Maquinchao","Maquinchao","Argentina","ARG",-41.2425,-68.70777777777778,"{""type"":""Point"",""coordinates"":[-68.70777777777778,-41.2425]}"
"TRW","Aeroclub","Trelew","Argentina","ARG",-43.23305555555556,-65.3175,"{""type"":""Point"",""coordinates"":[-65.3175,-43.23305555555556]}"
"SAVN","Antoine De Saint Exupery","San Antonio Oeste","Argentina","ARG",-40.75055555555556,-65.03527777777778,"{""type"":""Point"",""coordinates"":[-65.03527777777778,-40.75055555555556]}"
"SAVD","El Maiten","El Maiten","Argentina","ARG",-42.03333333333333,-71.15,"{""type"":""Point"",""coordinates"":[-71.15,-42.03333333333333]}"
"SAZJ","Juarez","Juarez","Argentina","ARG",-37.70611111111111,-59.79194444444444,"{""type"":""Point"",""coordinates"":[-59.79194444444444,-37.70611111111111]}"
"SAVB","El Bolson","El Bolson","Argentina","ARG",-41.96638888888889,-71.51777777777778,"{""type"":""Point"",""coordinates"":[-71.51777777777778,-41.96638888888889]}"
"SATO","Obera","Obera","Argentina","ARG",-27.52138888888889,-55.121944444444445,"{""type"":""Point"",""coordinates"":[-55.121944444444445,-27.52138888888889]}"
"SASA","Gen. Don Martin Miguel de Guemes","Salta","Argentina","ARG",-24.859722222222224,-65.48694444444445,"{""type"":""Point"",""coordinates"":[-65.48694444444445,-24.859722222222224]}"
"SARS","Presidencia Roque S. Pena","Presidencia Roque S. Pena","Argentina","ARG",-26.753611111111113,-60.492222222222225,"{""type"":""Point"",""coordinates"":[-60.492222222222225,-26.753611111111113]}"
"SAWS","Jose De San Martin","Jose De San Martin","Argentina","ARG",-44.04722222222222,-70.44638888888889,"{""type"":""Point"",""coordinates"":[-70.44638888888889,-44.04722222222222]}"
"SARP","Liberador Gral D Jose De San M","Posadas","Argentina","ARG",-27.385833333333334,-55.970555555555556,"{""type"":""Point"",""coordinates"":[-55.970555555555556,-27.385833333333334]}"
"SARM","Monte Caseros","Monte Caseros","Argentina","ARG",-30.27027777777778,-57.63944444444444,"{""type"":""Point"",""coordinates"":[-57.63944444444444,-30.27027777777778]}"
