"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"YYNG","Young","Young","Australia","AUS",-34.250277777777775,148.24888888888887,"{""type"":""Point"",""coordinates"":[148.24888888888887,-34.250277777777775]}"
"YYKI","Yorke Island","Yorke Island","Australia","AUS",-9.753333333333334,143.405,"{""type"":""Point"",""coordinates"":[143.405,-9.753333333333334]}"
"YWYY","Wynyard","Wynyard","Australia","AUS",-40.99888888888889,145.73111111111112,"{""type"":""Point"",""coordinates"":[145.73111111111112,-40.99888888888889]}"
"YWYM","Wyndham","Wyndham","Australia","AUS",-15.511388888888888,128.15305555555557,"{""type"":""Point"",""coordinates"":[128.15305555555557,-15.511388888888888]}"
"YWYF","Wycheproof","Wycheproof","Australia","AUS",-36.05888888888889,143.2433333333333,"{""type"":""Point"",""coordinates"":[143.2433333333333,-36.05888888888889]}"
"YWWL","West Wyalong","West Wyalong","Australia","AUS",-33.93722222222222,147.1913888888889,"{""type"":""Point"",""coordinates"":[147.1913888888889,-33.93722222222222]}"
"YWWI","Woodie Woodie","Woodie Woodie","Australia","AUS",-21.64527777777778,121.19166666666668,"{""type"":""Point"",""coordinates"":[121.19166666666668,-21.64527777777778]}"
"YWUD","Wudinna","Wudinna","Australia","AUS",-33.04333333333333,135.44722222222222,"{""type"":""Point"",""coordinates"":[135.44722222222222,-33.04333333333333]}"
"YWTO","Wentworth","Wentworth","Australia","AUS",-34.08833333333334,141.89166666666665,"{""type"":""Point"",""coordinates"":[141.89166666666665,-34.08833333333334]}"
"YWTN","Winton","Winton","Australia","AUS",-22.363611111111112,143.08555555555557,"{""type"":""Point"",""coordinates"":[143.08555555555557,-22.363611111111112]}"
"YWOL","Wollongong","Wollongong","Australia","AUS",-34.56111111111111,150.78861111111112,"{""type"":""Point"",""coordinates"":[150.78861111111112,-34.56111111111111]}"
"YWMC","William Creek","William Creek","Australia","AUS",-28.906666666666666,136.34166666666667,"{""type"":""Point"",""coordinates"":[136.34166666666667,-28.906666666666666]}"
"YWKI","Waikerie","Waikerie","Australia","AUS",-34.18416666666666,140.03055555555557,"{""type"":""Point"",""coordinates"":[140.03055555555557,-34.18416666666666]}"
"YWIS","Williamson","Williamson","Australia","AUS",-22.473333333333333,150.1783333333333,"{""type"":""Point"",""coordinates"":[150.1783333333333,-22.473333333333333]}"
"YWHA","Whyalla","Whyalla","Australia","AUS",-33.05888888888889,137.51444444444445,"{""type"":""Point"",""coordinates"":[137.51444444444445,-33.05888888888889]}"
"YWDH","Windorah","Windorah","Australia","AUS",-25.413055555555555,142.66722222222222,"{""type"":""Point"",""coordinates"":[142.66722222222222,-25.413055555555555]}"
"YWDG","Windarling","Windarling","Australia","AUS",-30.031666666666666,119.39,"{""type"":""Point"",""coordinates"":[119.39,-30.031666666666666]}"
"YWCK","Warwick","Warwick","Australia","AUS",-28.149444444444445,151.94305555555556,"{""type"":""Point"",""coordinates"":[151.94305555555556,-28.149444444444445]}"
"YWBS","Warraber Island","Warraber Island","Australia","AUS",-10.206666666666665,142.82333333333332,"{""type"":""Point"",""coordinates"":[142.82333333333332,-10.206666666666665]}"
"YWBR","Warburton","Warburton","Australia","AUS",-26.128333333333334,126.58333333333333,"{""type"":""Point"",""coordinates"":[126.58333333333333,-26.128333333333334]}"
"YVRD","Victoria River Downs","Victoria River Downs","Australia","AUS",-16.402719444444443,131.0040138888889,"{""type"":""Point"",""coordinates"":[131.0040138888889,-16.402719444444443]}"
"YTTI","Troughton I","Troughton I","Australia","AUS",-13.751666666666667,126.14833333333334,"{""type"":""Point"",""coordinates"":[126.14833333333334,-13.751666666666667]}"
