"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"LOWZ","Zell Am See","Zell Am See","Austria","AUT",47.29222222222222,12.7875,"{""type"":""Point"",""coordinates"":[12.7875,47.29222222222222]}"
"LOWS","Salzburg","Salzburg","Austria","AUT",47.794444444444444,13.003333333333334,"{""type"":""Point"",""coordinates"":[13.003333333333334,47.794444444444444]}"
"LOWK","Klagenfurt","Klagenfurt","Austria","AUT",46.64277777777778,14.337222222222223,"{""type"":""Point"",""coordinates"":[14.337222222222223,46.64277777777778]}"
"LOWI","Innsbruck","Innsbruck","Austria","AUT",47.26027777777778,11.34388888888889,"{""type"":""Point"",""coordinates"":[11.34388888888889,47.26027777777778]}"
"LOWG","Graz","Graz","Austria","AUT",46.99305555555556,15.439166666666667,"{""type"":""Point"",""coordinates"":[15.439166666666667,46.99305555555556]}"
"LOSM","Mauterndorf","Mauterndorf","Austria","AUT",47.13194444444444,13.696111111111112,"{""type"":""Point"",""coordinates"":[13.696111111111112,47.13194444444444]}"
"LOLS","Scharding-Suben","Scharding-Suben","Austria","AUT",48.403055555555554,13.448055555555555,"{""type"":""Point"",""coordinates"":[13.448055555555555,48.403055555555554]}"
"LOLO","Linz Ost","Linz Ost","Austria","AUT",48.29944444444444,14.334166666666667,"{""type"":""Point"",""coordinates"":[14.334166666666667,48.29944444444444]}"
"LOLW","Wels","Wels","Austria","AUT",48.18111111111111,14.0375,"{""type"":""Point"",""coordinates"":[14.0375,48.18111111111111]}"
"LOLU","Gmunden-Laakirchen","Gmunden","Austria","AUT",47.950833333333335,13.865,"{""type"":""Point"",""coordinates"":[13.865,47.950833333333335]}"
"LOLT","Seitenstetten","Seitenstetten","Austria","AUT",48.050555555555555,14.661944444444444,"{""type"":""Point"",""coordinates"":[14.661944444444444,48.050555555555555]}"
"LOLK","Kirchheim","Ried","Austria","AUT",48.21222222222222,13.346166666666667,"{""type"":""Point"",""coordinates"":[13.346166666666667,48.21222222222222]}"
"LOLH","HB Hofkirchen","HB Hofkirchen","Austria","AUT",48.13916666666667,14.336666666666668,"{""type"":""Point"",""coordinates"":[14.336666666666668,48.13916666666667]}"
"LOLG","St Georgen/Ybbsfeld","St Georgen/Ybbsfeld","Austria","AUT",48.10305555555556,14.949722222222222,"{""type"":""Point"",""coordinates"":[14.949722222222222,48.10305555555556]}"
"LOLF","Freistadt","Freistadt","Austria","AUT",48.514722222222225,14.408888888888889,"{""type"":""Point"",""coordinates"":[14.408888888888889,48.514722222222225]}"
"LOLE","Eferding","Eferding","Austria","AUT",48.33833333333334,13.985277777777776,"{""type"":""Point"",""coordinates"":[13.985277777777776,48.33833333333334]}"
"LOLC","Scharnstein","Scharnstein","Austria","AUT",47.89805555555556,13.938611111111111,"{""type"":""Point"",""coordinates"":[13.938611111111111,47.89805555555556]}"
"LOKW","Wolfsberg","Wolfsberg","Austria","AUT",46.8175,14.825,"{""type"":""Point"",""coordinates"":[14.825,46.8175]}"
"LOKN","Notsch im Gailtal","Notsch im Gailtal","Austria","AUT",46.58083333333334,13.628333333333334,"{""type"":""Point"",""coordinates"":[13.628333333333334,46.58083333333334]}"
