"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"EBZR","Oostmalle","Zoersel","Belgium","BEL",51.264722222222225,4.753333333333333,"{""type"":""Point"",""coordinates"":[4.753333333333333,51.264722222222225]}"
"EBZH","Kiewit","Hasselt","Belgium","BEL",50.97,5.375,"{""type"":""Point"",""coordinates"":[5.375,50.97]}"
"EBZW","Zwartberg","Genk","Belgium","BEL",51.015277777777776,5.526388888888889,"{""type"":""Point"",""coordinates"":[5.526388888888889,51.015277777777776]}"
"EBUL","Ursel","Ursel","Belgium","BEL",51.14416666666666,3.4755555555555557,"{""type"":""Point"",""coordinates"":[3.4755555555555557,51.14416666666666]}"
"EBTY","Maubray","Tournai","Belgium","BEL",50.52972222222222,3.4944444444444445,"{""type"":""Point"",""coordinates"":[3.4944444444444445,50.52972222222222]}"
"EBTX","Theux","Verviers","Belgium","BEL",50.552499999999995,5.8549999999999995,"{""type"":""Point"",""coordinates"":[5.8549999999999995,50.552499999999995]}"
"EBSU","St Hubert","St Hubert","Belgium","BEL",50.034166666666664,5.44,"{""type"":""Point"",""coordinates"":[5.44,50.034166666666664]}"
"EBSL","Zutendaal","Zutendaal","Belgium","BEL",50.9475,5.5905555555555555,"{""type"":""Point"",""coordinates"":[5.5905555555555555,50.9475]}"
"EBFS","Florennes","Florennes","Belgium","BEL",50.24333333333333,4.645833333333333,"{""type"":""Point"",""coordinates"":[4.645833333333333,50.24333333333333]}"
"EBSH","St Hubert","St Hubert","Belgium","BEL",50.03583333333333,5.404166666666667,"{""type"":""Point"",""coordinates"":[5.404166666666667,50.03583333333333]}"
"EBWE","Weelde","Weelde","Belgium","BEL",51.39416666666666,4.9591666666666665,"{""type"":""Point"",""coordinates"":[4.9591666666666665,51.39416666666666]}"
"EBOS","Ostend","Ostend-Brugge","Belgium","BEL",51.19888888888889,2.8622222222222224,"{""type"":""Point"",""coordinates"":[2.8622222222222224,51.19888888888889]}"
"EBMO","Moorsele","Moorsele","Belgium","BEL",50.85277777777778,3.147222222222222,"{""type"":""Point"",""coordinates"":[3.147222222222222,50.85277777777778]}"
"EBBL","Kleine-Brogel","Kleine-Brogel","Belgium","BEL",51.16833333333333,5.469722222222222,"{""type"":""Point"",""coordinates"":[5.469722222222222,51.16833333333333]}"
"EBNM","Suarlee","Namur","Belgium","BEL",50.488055555555555,4.768888888888889,"{""type"":""Point"",""coordinates"":[4.768888888888889,50.488055555555555]}"
"EBLE","Beverlo","Leopoldsburg","Belgium","BEL",51.12,5.307222222222222,"{""type"":""Point"",""coordinates"":[5.307222222222222,51.12]}"
"EBKT","Kortrijk-Wevelgem","Kortrijk-Wevelgem","Belgium","BEL",50.81861111111112,3.209166666666667,"{""type"":""Point"",""coordinates"":[3.209166666666667,50.81861111111112]}"
"EBLG","Liege","Liege","Belgium","BEL",50.63638888888889,5.442777777777778,"{""type"":""Point"",""coordinates"":[5.442777777777778,50.63638888888889]}"
"EBTN","Goetsenhoven","Goetsenhoven","Belgium","BEL",50.781666666666666,4.957777777777778,"{""type"":""Point"",""coordinates"":[4.957777777777778,50.781666666666666]}"
"EBGG","Overboelare","Geraardsbergen","Belgium","BEL",50.75555555555555,3.863888888888889,"{""type"":""Point"",""coordinates"":[3.863888888888889,50.75555555555555]}"
"EBSG","Saint-Ghislain","Saint-Ghislain","Belgium","BEL",50.4575,3.8202777777777777,"{""type"":""Point"",""coordinates"":[3.8202777777777777,50.4575]}"
"EBCV","Shape at Chievres AB","Chievres","Belgium","BEL",50.575833333333335,3.831,"{""type"":""Point"",""coordinates"":[3.831,50.575833333333335]}"
"EBSP","La Sauveniere","Spa","Belgium","BEL",50.4825,5.910277777777778,"{""type"":""Point"",""coordinates"":[5.910277777777778,50.4825]}"
"EBAM","Amougies","Amougies","Belgium","BEL",50.739444444444445,3.486111111111111,"{""type"":""Point"",""coordinates"":[3.486111111111111,50.739444444444445]}"
"EBGB","Lint","Grimbergen","Belgium","BEL",50.948611111111106,4.391944444444444,"{""type"":""Point"",""coordinates"":[4.391944444444444,50.948611111111106]}"
"EBHN","Hoevenen","Hoevenen","Belgium","BEL",51.305277777777775,4.390555555555556,"{""type"":""Point"",""coordinates"":[4.390555555555556,51.305277777777775]}"
"EBAW","Deurne","Antwerp","Belgium","BEL",51.18944444444444,4.460277777777778,"{""type"":""Point"",""coordinates"":[4.460277777777778,51.18944444444444]}"
"EBBE","Beauvechain","Beauvechain","Belgium","BEL",50.75783333333333,4.767,"{""type"":""Point"",""coordinates"":[4.767,50.75783333333333]}"
"EBCF","Cerfontaine","Cerfontaine","Belgium","BEL",50.15277777777778,4.387222222222222,"{""type"":""Point"",""coordinates"":[4.387222222222222,50.15277777777778]}"
"EBST","Brustem","St Truiden","Belgium","BEL",50.79194444444444,5.201666666666667,"{""type"":""Point"",""coordinates"":[5.201666666666667,50.79194444444444]}"
"EBKH","Balen-Keiheuvel","Balen-Keiheuvel","Belgium","BEL",51.18083333333333,5.220833333333333,"{""type"":""Point"",""coordinates"":[5.220833333333333,51.18083333333333]}"
"EBFN","Koksijde","Koksijde","Belgium","BEL",51.090333333333334,2.652833333333333,"{""type"":""Point"",""coordinates"":[2.652833333333333,51.090333333333334]}"
"EBBX","Jehonville","Bertrix","Belgium","BEL",49.891666666666666,5.223888888888889,"{""type"":""Point"",""coordinates"":[5.223888888888889,49.891666666666666]}"
"EBBT","Brasschaat","Brasschaat","Belgium","BEL",51.340833333333336,4.504166666666666,"{""type"":""Point"",""coordinates"":[4.504166666666666,51.340833333333336]}"
"EBCI","Brussels South","Charleroi","Belgium","BEL",50.46,4.452777777777778,"{""type"":""Point"",""coordinates"":[4.452777777777778,50.46]}"
"EBBR","Brussels National","Brussels","Belgium","BEL",50.90138888888889,4.484444444444445,"{""type"":""Point"",""coordinates"":[4.484444444444445,50.90138888888889]}"
