"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"VGTJ","Tejgaon","Dhaka","Bangladesh","BGD",23.778166666666667,90.38266666666667,"{""type"":""Point"",""coordinates"":[90.38266666666667,23.778166666666667]}"
"VGJR","Jessore","Jessore","Bangladesh","BGD",23.18375,89.16089166666667,"{""type"":""Point"",""coordinates"":[89.16089166666667,23.18375]}"
"VGSH","Shamshernagar","Shamshernagar","Bangladesh","BGD",24.39883888888889,91.91685833333334,"{""type"":""Point"",""coordinates"":[91.91685833333334,24.39883888888889]}"
"VGRJ","Shah Mokhdum","Rajshahi","Bangladesh","BGD",24.438719444444445,88.61626666666666,"{""type"":""Point"",""coordinates"":[88.61626666666666,24.438719444444445]}"
"VGSD","Saidpur","Saidpur","Bangladesh","BGD",25.760375,88.90846944444445,"{""type"":""Point"",""coordinates"":[88.90846944444445,25.760375]}"
"VGIS","Ishurdi","Ishurdi","Bangladesh","BGD",24.15263333333333,89.04943055555556,"{""type"":""Point"",""coordinates"":[89.04943055555556,24.15263333333333]}"
"VGHS","Hazrat Shahjalal Intl","Dhaka","Bangladesh","BGD",23.84334722222222,90.39778333333334,"{""type"":""Point"",""coordinates"":[90.39778333333334,23.84334722222222]}"
"VGCB","Cox's Bazar","Cox's Bazar","Bangladesh","BGD",21.449758333333335,91.96480833333334,"{""type"":""Point"",""coordinates"":[91.96480833333334,21.449758333333335]}"
"VGEG","Shah Amanat Intl","Chittagong","Bangladesh","BGD",22.257022222222222,91.82220833333334,"{""type"":""Point"",""coordinates"":[91.82220833333334,22.257022222222222]}"
"VGCM","Comilla","Comilla","Bangladesh","BGD",23.437705555555556,91.18951666666668,"{""type"":""Point"",""coordinates"":[91.18951666666668,23.437705555555556]}"
"VGSY","Osmani Intl","Sylhet","Bangladesh","BGD",24.961341666666666,91.8716361111111,"{""type"":""Point"",""coordinates"":[91.8716361111111,24.961341666666666]}"
"VGBR","Barisal","Barisal","Bangladesh","BGD",22.798941666666668,90.30123611111111,"{""type"":""Point"",""coordinates"":[90.30123611111111,22.798941666666668]}"
