"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"MYRP","New Port Nelson","Rum Cay","Bahamas","BHS",23.683483333333335,-74.83617222222222,"{""type"":""Point"",""coordinates"":[-74.83617222222222,23.683483333333335]}"
"MYRD","Duncan Town","Ragged Island","Bahamas","BHS",22.183788888888888,-75.73267777777778,"{""type"":""Point"",""coordinates"":[-75.73267777777778,22.183788888888888]}"
"MYLD","Deadmans Cay","Long I","Bahamas","BHS",23.178997222222222,-75.09364444444444,"{""type"":""Point"",""coordinates"":[-75.09364444444444,23.178997222222222]}"
"MYMM","Mayaguana","Mayaguana","Bahamas","BHS",22.379475,-73.01348055555556,"{""type"":""Point"",""coordinates"":[-73.01348055555556,22.379475]}"
"MYBS","South Bimini","Bimini I","Bahamas","BHS",25.69997777777778,-79.2651361111111,"{""type"":""Point"",""coordinates"":[-79.2651361111111,25.69997777777778]}"
"MYGF","Grand Bahama Intl","Freeport","Bahamas","BHS",26.55868611111111,-78.69555277777778,"{""type"":""Point"",""coordinates"":[-78.69555277777778,26.55868611111111]}"
"MYCA","Arthur's Town","Cat Island","Bahamas","BHS",24.63373888888889,-75.6661,"{""type"":""Point"",""coordinates"":[-75.6661,24.63373888888889]}"
"MYNN","Lynden Pindling Intl","Nassau","Bahamas","BHS",25.038958333333333,-77.46623055555555,"{""type"":""Point"",""coordinates"":[-77.46623055555555,25.038958333333333]}"
"MYES","Staniel Cay","Staniel Cay","Bahamas","BHS",24.169766666666668,-76.43937222222223,"{""type"":""Point"",""coordinates"":[-76.43937222222223,24.169766666666668]}"
"MYER","Rock Sound","Rock Sound","Bahamas","BHS",24.891702777777777,-76.17777777777778,"{""type"":""Point"",""coordinates"":[-76.17777777777778,24.891702777777777]}"
"MYSM","San Salvador Intl","San Salvador","Bahamas","BHS",24.06312777777778,-74.52365,"{""type"":""Point"",""coordinates"":[-74.52365,24.06312777777778]}"
"MYEM","Governors Harbour","Eleuthera I","Bahamas","BHS",25.283586111111113,-76.33017777777778,"{""type"":""Point"",""coordinates"":[-76.33017777777778,25.283586111111113]}"
"MYEH","North Eleuthera","Eleuthera","Bahamas","BHS",25.47563333333333,-76.68136666666668,"{""type"":""Point"",""coordinates"":[-76.68136666666668,25.47563333333333]}"
"MYEF","Exuma Intl","Exuma","Bahamas","BHS",23.562630555555558,-75.87795833333332,"{""type"":""Point"",""coordinates"":[-75.87795833333332,23.562630555555558]}"
"MYAB","Clarence A Bain","Andros I","Bahamas","BHS",24.28767777777778,-77.68443055555556,"{""type"":""Point"",""coordinates"":[-77.68443055555556,24.28767777777778]}"
"MYCI","Colonel Hill","Crooked I","Bahamas","BHS",22.74548888888889,-74.18239444444445,"{""type"":""Point"",""coordinates"":[-74.18239444444445,22.74548888888889]}"
"MYBC","Chub Cay Intl","Chub Cay","Bahamas","BHS",25.416666666666668,-77.88333333333334,"{""type"":""Point"",""coordinates"":[-77.88333333333334,25.416666666666668]}"
"MYAO","Moore's I","Abaco I","Bahamas","BHS",26.317025,-77.56627499999999,"{""type"":""Point"",""coordinates"":[-77.56627499999999,26.317025]}"
"MYAF","Fresh Creek","Andros I","Bahamas","BHS",24.697927777777778,-77.79567777777777,"{""type"":""Point"",""coordinates"":[-77.79567777777777,24.697927777777778]}"
"MYAM","Marsh Harbour Intl","Abaco I","Bahamas","BHS",26.51012777777778,-77.08511944444444,"{""type"":""Point"",""coordinates"":[-77.08511944444444,26.51012777777778]}"
"MYAP","Spring Point","Acklins I","Bahamas","BHS",22.44194166666667,-73.9706861111111,"{""type"":""Point"",""coordinates"":[-73.9706861111111,22.44194166666667]}"
"MYIG","Inagua","Great Inagua I","Bahamas","BHS",20.974999999999998,-73.66685277777778,"{""type"":""Point"",""coordinates"":[-73.66685277777778,20.974999999999998]}"
"MYBG","Great Harbour","Berry I","Bahamas","BHS",25.738383333333335,-77.84028888888888,"{""type"":""Point"",""coordinates"":[-77.84028888888888,25.738383333333335]}"
"MYAS","Sandy Point","Abaco I","Bahamas","BHS",26.000369444444445,-77.39959166666668,"{""type"":""Point"",""coordinates"":[-77.39959166666668,26.000369444444445]}"
"MYAN","San Andros","Andros I","Bahamas","BHS",25.053894444444445,-78.04894166666666,"{""type"":""Point"",""coordinates"":[-78.04894166666666,25.053894444444445]}"
"MYAT","Treasure Cay","Abaco I","Bahamas","BHS",26.74534166666667,-77.39127222222223,"{""type"":""Point"",""coordinates"":[-77.39127222222223,26.74534166666667]}"
"MYCP","Pittstown Point","Crooked Island","Bahamas","BHS",22.833333333333332,-74.35,"{""type"":""Point"",""coordinates"":[-74.35,22.833333333333332]}"
"MYLS","Stella Maris","Long I","Bahamas","BHS",23.583047222222223,-75.26877777777777,"{""type"":""Point"",""coordinates"":[-75.26877777777777,23.583047222222223]}"
"MYAK","Congo Town","Andros I","Bahamas","BHS",24.158791666666666,-77.58999722222222,"{""type"":""Point"",""coordinates"":[-77.58999722222222,24.158791666666666]}"
"MYCB","New Bight","Cat Island","Bahamas","BHS",24.31533888888889,-75.45246666666667,"{""type"":""Point"",""coordinates"":[-75.45246666666667,24.31533888888889]}"
