"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"LQJL","Jegin Lug","Tuzla","Bosnia-Herzegovina","BIH",44.462500000000006,18.81277777777778,"{""type"":""Point"",""coordinates"":[18.81277777777778,44.462500000000006]}"
"LQPP","Popovi","Popovi","Bosnia-Herzegovina","BIH",44.76866666666667,19.29838888888889,"{""type"":""Point"",""coordinates"":[19.29838888888889,44.76866666666667]}"
"LQPD","Urije","Prijedor","Bosnia-Herzegovina","BIH",44.988055555555555,16.735833333333336,"{""type"":""Point"",""coordinates"":[16.735833333333336,44.988055555555555]}"
"LQVK","Velika Kladusa","Velika Kladusa","Bosnia-Herzegovina","BIH",45.18055555555555,15.820555555555556,"{""type"":""Point"",""coordinates"":[15.820555555555556,45.18055555555555]}"
"LQTZ","Tuzla","Tuzla","Bosnia-Herzegovina","BIH",44.45865277777778,18.724780555555554,"{""type"":""Point"",""coordinates"":[18.724780555555554,44.45865277777778]}"
"LQMO","Mostar","Mostar","Bosnia-Herzegovina","BIH",43.28290277777778,17.845880555555553,"{""type"":""Point"",""coordinates"":[17.845880555555553,43.28290277777778]}"
"LQSA","Sarajevo","Sarajevo","Bosnia-Herzegovina","BIH",43.82447222222223,18.331766666666667,"{""type"":""Point"",""coordinates"":[18.331766666666667,43.82447222222223]}"
"LQLV","Brda","Livno","Bosnia-Herzegovina","BIH",43.793055555555554,16.90694444444444,"{""type"":""Point"",""coordinates"":[16.90694444444444,43.793055555555554]}"
"LQNI","Nisici","Nisici","Bosnia-Herzegovina","BIH",44.07027777777778,18.50888888888889,"{""type"":""Point"",""coordinates"":[18.50888888888889,44.07027777777778]}"
"LQCG","Ciljuge","Ciljuge","Bosnia-Herzegovina","BIH",44.43608333333333,18.686666666666667,"{""type"":""Point"",""coordinates"":[18.686666666666667,44.43608333333333]}"
"LQBZ","Zaluzani","Banja Luka","Bosnia-Herzegovina","BIH",44.85,17.224999999999998,"{""type"":""Point"",""coordinates"":[17.224999999999998,44.85]}"
"LQVI","Visoko","Visoko","Bosnia-Herzegovina","BIH",44.025,18.120833333333334,"{""type"":""Point"",""coordinates"":[18.120833333333334,44.025]}"
"LQBK","Banja Luka","Banja Luka","Bosnia-Herzegovina","BIH",44.94139722222222,17.297475000000002,"{""type"":""Point"",""coordinates"":[17.297475000000002,44.94139722222222]}"
"LQBI","Golubic","Bihac","Bosnia-Herzegovina","BIH",44.79611111111111,15.903611111111111,"{""type"":""Point"",""coordinates"":[15.903611111111111,44.79611111111111]}"
