"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"SLVR","Viru Viru Intl","Santa Cruz","Bolivia","BOL",-17.64611111111111,-63.13777777777778,"{""type"":""Point"",""coordinates"":[-63.13777777777778,-17.64611111111111]}"
"SLVG","Cap. Av. Vidal Villagomez","Vallegrande","Bolivia","BOL",-18.482499999999998,-64.09944444444444,"{""type"":""Point"",""coordinates"":[-64.09944444444444,-18.482499999999998]}"
"SLUY","La Joya Andina","Uyuni","Bolivia","BOL",-20.4425,-66.85805555555555,"{""type"":""Point"",""coordinates"":[-66.85805555555555,-20.4425]}"
"SLTR","Jorge Henrich Intl","Trinidad","Bolivia","BOL",-14.819444444444445,-64.91888888888889,"{""type"":""Point"",""coordinates"":[-64.91888888888889,-14.819444444444445]}"
"SLTI","San Matias","San Matias","Bolivia","BOL",-16.339166666666664,-58.401944444444446,"{""type"":""Point"",""coordinates"":[-58.401944444444446,-16.339166666666664]}"
"SLSR","Santa Rosa del Yacuma","Santa Rosa del Yacuma","Bolivia","BOL",-14.074444444444444,-66.78694444444444,"{""type"":""Point"",""coordinates"":[-66.78694444444444,-14.074444444444444]}"
"SLSM","San Ignacio De Moxos","San Ignacio De Moxos","Bolivia","BOL",-14.965555555555556,-65.63388888888889,"{""type"":""Point"",""coordinates"":[-65.63388888888889,-14.965555555555556]}"
"SLRY","Reyes","Reyes","Bolivia","BOL",-14.302777777777779,-67.3536111111111,"{""type"":""Point"",""coordinates"":[-67.3536111111111,-14.302777777777779]}"
"SLRB","Robore","Robore","Bolivia","BOL",-18.32777777777778,-59.76583333333333,"{""type"":""Point"",""coordinates"":[-59.76583333333333,-18.32777777777778]}"
"SLRA","San Ramon","San Ramon","Bolivia","BOL",-13.26388888888889,-64.60388888888889,"{""type"":""Point"",""coordinates"":[-64.60388888888889,-13.26388888888889]}"
"SLVM","Rafael Pabon","Villamontes","Bolivia","BOL",-21.254166666666666,-63.406666666666666,"{""type"":""Point"",""coordinates"":[-63.406666666666666,-21.254166666666666]}"
"SLCH","Carol Marghata","Santa Cruz","Bolivia","BOL",-17.43685,-62.342961111111116,"{""type"":""Point"",""coordinates"":[-62.342961111111116,-17.43685]}"
"SLAG","Monteagudo","Monteagudo","Bolivia","BOL",-19.822499999999998,-63.962500000000006,"{""type"":""Point"",""coordinates"":[-63.962500000000006,-19.822499999999998]}"
"SLPS","Tte. Av. Salvador Ogaya G. Intl","Puerto Suarez","Bolivia","BOL",-18.980555555555554,-57.823888888888895,"{""type"":""Point"",""coordinates"":[-57.823888888888895,-18.980555555555554]}"
"SLPO","Nicolas Rojas","Potosi","Bolivia","BOL",-19.542222222222225,-65.72333333333333,"{""type"":""Point"",""coordinates"":[-65.72333333333333,-19.542222222222225]}"
"SLOR","Juan Mendoza","Oruro","Bolivia","BOL",-17.955555555555556,-67.075,"{""type"":""Point"",""coordinates"":[-67.075,-17.955555555555556]}"
