"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"SWYN","Prainha","Apui","Brazil","BRA",-7.1722222222222225,-59.83888888888889,"{""type"":""Point"",""coordinates"":[-59.83888888888889,-7.1722222222222225]}"
"SWXQ","Lins","Lins","Brazil","BRA",-21.662777777777777,-49.73111111111111,"{""type"":""Point"",""coordinates"":[-49.73111111111111,-21.662777777777777]}"
"SWXG","Xingu","Barra Do Garcas","Brazil","BRA",-12.005277777777778,-53.401666666666664,"{""type"":""Point"",""coordinates"":[-53.401666666666664,-12.005277777777778]}"
"SWWM","Faz. Pupila","Mantena","Brazil","BRA",-18.771944444444443,-40.94944444444444,"{""type"":""Point"",""coordinates"":[-40.94944444444444,-18.771944444444443]}"
"SWUZ","Luziania","Luziania","Brazil","BRA",-16.261388888888888,-47.969722222222224,"{""type"":""Point"",""coordinates"":[-47.969722222222224,-16.261388888888888]}"
"SWUP","Uirapuru","Uirapuru","Brazil","BRA",-14.016944444444444,-59.367222222222225,"{""type"":""Point"",""coordinates"":[-59.367222222222225,-14.016944444444444]}"
"SWUA","Sao Miguel Do Araguaia","Sao Miguel Do Araguaia","Brazil","BRA",-13.33388888888889,-50.20583333333334,"{""type"":""Point"",""coordinates"":[-50.20583333333334,-13.33388888888889]}"
"SWTQ","Termas Pousada Do Rio Quente","Rio Quente","Brazil","BRA",-17.76888888888889,-48.76166666666666,"{""type"":""Point"",""coordinates"":[-48.76166666666666,-17.76888888888889]}"
"SWSR","Sertania","Sertania","Brazil","BRA",-13.750277777777777,-55.63388888888889,"{""type"":""Point"",""coordinates"":[-55.63388888888889,-13.750277777777777]}"
"SWRU","Meruri","Tesouro","Brazil","BRA",-15.55638888888889,-53.07527777777778,"{""type"":""Point"",""coordinates"":[-53.07527777777778,-15.55638888888889]}"
"SWRO","Rondonia","Porto Velho","Brazil","BRA",-8.793611111111112,-63.85805555555556,"{""type"":""Point"",""coordinates"":[-63.85805555555556,-8.793611111111112]}"
"SWPK","Pocone","Pocone","Brazil","BRA",-16.272777777777776,-56.65083333333333,"{""type"":""Point"",""coordinates"":[-56.65083333333333,-16.272777777777776]}"
"SWPG","Porto Dos Gauchos","Porto Dos Gauchos","Brazil","BRA",-11.516944444444444,-57.33388888888889,"{""type"":""Point"",""coordinates"":[-57.33388888888889,-11.516944444444444]}"
"SWPB","Forte Principe Da Beira","Costa Marques","Brazil","BRA",-12.41861111111111,-64.41888888888889,"{""type"":""Point"",""coordinates"":[-64.41888888888889,-12.41861111111111]}"
"SWOW","Moura","Moura","Brazil","BRA",-1.4669444444444446,-61.617222222222225,"{""type"":""Point"",""coordinates"":[-61.617222222222225,-1.4669444444444446]}"
"SWNV","National Aviation Aerodrome","Goiania","Brazil","BRA",-16.628055555555555,-49.345555555555556,"{""type"":""Point"",""coordinates"":[-49.345555555555556,-16.628055555555555]}"
"SWNS","Anapolis","Anapolis","Brazil","BRA",-16.3625,-48.92805555555555,"{""type"":""Point"",""coordinates"":[-48.92805555555555,-16.3625]}"
"SWNQ","Niquelandia","Niquelandia","Brazil","BRA",-14.436388888888889,-48.49194444444444,"{""type"":""Point"",""coordinates"":[-48.49194444444444,-14.436388888888889]}"
"SWNK","Novo Campo","Boca Do Acre","Brazil","BRA",-8.83361111111111,-67.31222222222222,"{""type"":""Point"",""coordinates"":[-67.31222222222222,-8.83361111111111]}"
"SWNH","Aruana","Aruana","Brazil","BRA",-14.933055555555555,-51.04833333333333,"{""type"":""Point"",""coordinates"":[-51.04833333333333,-14.933055555555555]}"
"SWNA","Novo Aripuana","Novo Aripuana","Brazil","BRA",-5.1175,-60.364444444444445,"{""type"":""Point"",""coordinates"":[-60.364444444444445,-5.1175]}"
"SWMW","Maues","Maues","Brazil","BRA",-3.3569444444444447,-57.71222222222222,"{""type"":""Point"",""coordinates"":[-57.71222222222222,-3.3569444444444447]}"
"SWLC","Gen Leite De Castro","Rio Verde","Brazil","BRA",-17.834722222222222,-50.95611111111111,"{""type"":""Point"",""coordinates"":[-50.95611111111111,-17.834722222222222]}"
"SWLB","Labrea","Labrea","Brazil","BRA",-7.250277777777778,-64.78388888888888,"{""type"":""Point"",""coordinates"":[-64.78388888888888,-7.250277777777778]}"
"SWKX","Corixa","Caceres","Brazil","BRA",-16.38361111111111,-58.31722222222223,"{""type"":""Point"",""coordinates"":[-58.31722222222223,-16.38361111111111]}"
"SWKU","Cucui","Sao Gabriel Da Cachoeira","Brazil","BRA",1.1205555555555555,-66.84166666666667,"{""type"":""Point"",""coordinates"":[-66.84166666666667,1.1205555555555555]}"
