"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"FBXG","Xugana","Xugana","Botswana","BWA",-19.066666666666666,23.066666666666666,"{""type"":""Point"",""coordinates"":[23.066666666666666,-19.066666666666666]}"
"FBTS","Tshabong","Tshabong","Botswana","BWA",-26.033333333333335,22.4,"{""type"":""Point"",""coordinates"":[22.4,-26.033333333333335]}"
"FBSP","Selebi-Phikwe","Selebi-Phikwe","Botswana","BWA",-22.0566,27.820458333333335,"{""type"":""Point"",""coordinates"":[27.820458333333335,-22.0566]}"
"FBSW","Shakawe","Shakawe","Botswana","BWA",-18.366666666666667,21.816666666666666,"{""type"":""Point"",""coordinates"":[21.816666666666666,-18.366666666666667]}"
"FBSN","Sua","Sua","Botswana","BWA",-20.555,26.116111111111113,"{""type"":""Point"",""coordinates"":[26.116111111111113,-20.555]}"
"FBSK","Sir Seretse Khama Intl","Gaborone","Botswana","BWA",-24.555833333333332,25.91888888888889,"{""type"":""Point"",""coordinates"":[25.91888888888889,-24.555833333333332]}"
"FBPY","Palapye","Palapye","Botswana","BWA",-22.55,27.133333333333333,"{""type"":""Point"",""coordinates"":[27.133333333333333,-22.55]}"
"FBMN","Maun","Maun","Botswana","BWA",-19.972499999999997,23.428055555555556,"{""type"":""Point"",""coordinates"":[23.428055555555556,-19.972499999999997]}"
"FBOR","Orapa","Orapa","Botswana","BWA",-21.266666666666666,25.316666666666666,"{""type"":""Point"",""coordinates"":[25.316666666666666,-21.266666666666666]}"
"FBNN","Nokaneng","Nokaneng","Botswana","BWA",-19.333333333333332,22.166666666666668,"{""type"":""Point"",""coordinates"":[22.166666666666668,-19.333333333333332]}"
"FBMM","Makalamabedi","Makalamabedi","Botswana","BWA",-20.333333333333332,23.883333333333333,"{""type"":""Point"",""coordinates"":[23.883333333333333,-20.333333333333332]}"
"FBKY","Kanye","Kanye","Botswana","BWA",-25.05,25.316666666666666,"{""type"":""Point"",""coordinates"":[25.316666666666666,-25.05]}"
"FBNT","Nata","Nata","Botswana","BWA",-20.233333333333334,26.166666666666668,"{""type"":""Point"",""coordinates"":[26.166666666666668,-20.233333333333334]}"
"FBLV","Limpopo Valley","Limpopo Valley","Botswana","BWA",-22.189322222222224,29.126994444444446,"{""type"":""Point"",""coordinates"":[29.126994444444446,-22.189322222222224]}"
"FBGM","Gumare","Gumare","Botswana","BWA",-19.333333333333332,22.15,"{""type"":""Point"",""coordinates"":[22.15,-19.333333333333332]}"
"FBJW","Jwaneng","Jwaneng","Botswana","BWA",-24.6,24.666666666666668,"{""type"":""Point"",""coordinates"":[24.666666666666668,-24.6]}"
"FBGZ","Ghanzi","Ghanzi","Botswana","BWA",-21.7,21.666666666666668,"{""type"":""Point"",""coordinates"":[21.666666666666668,-21.7]}"
"FBKR","Khwai River","Khwai River","Botswana","BWA",-19.15,23.783333333333335,"{""type"":""Point"",""coordinates"":[23.783333333333335,-19.15]}"
"FBKE","Kasane","Kasane","Botswana","BWA",-17.83084722222222,25.162599999999998,"{""type"":""Point"",""coordinates"":[25.162599999999998,-17.83084722222222]}"
"FBKG","Kang","Kang","Botswana","BWA",-23.683333333333334,22.816666666666666,"{""type"":""Point"",""coordinates"":[22.816666666666666,-23.683333333333334]}"
"FBFT","Francistown","Francistown","Botswana","BWA",-21.1575,27.46944444444444,"{""type"":""Point"",""coordinates"":[27.46944444444444,-21.1575]}"
