"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"FEGO","Ouanda-Djalle","Ouanda-Djalle","Central African Republic","CAF",8.9,22.783333333333335,"{""type"":""Point"",""coordinates"":[22.783333333333335,8.9]}"
"FEGE","M'Boki","Obo","Central African Republic","CAF",5.35,25.916666666666668,"{""type"":""Point"",""coordinates"":[25.916666666666668,5.35]}"
"FEFZ","Zemio","Zemio","Central African Republic","CAF",5.05,25.15,"{""type"":""Point"",""coordinates"":[25.15,5.05]}"
"FEFS","Bossangoa","Bossangoa","Central African Republic","CAF",6.5,17.433333333333334,"{""type"":""Point"",""coordinates"":[17.433333333333334,6.5]}"
"FEFY","Yalinga","Yalinga","Central African Republic","CAF",6.516666666666667,23.266666666666666,"{""type"":""Point"",""coordinates"":[23.266666666666666,6.516666666666667]}"
"FEFW","Ouadda","Ouadda","Central African Republic","CAF",8.016666666666667,22.4,"{""type"":""Point"",""coordinates"":[22.4,8.016666666666667]}"
"FEFI","Birao","Birao","Central African Republic","CAF",10.233333333333333,22.716666666666665,"{""type"":""Point"",""coordinates"":[22.716666666666665,10.233333333333333]}"
"FEFT","Berberati","Berberati","Central African Republic","CAF",4.226,15.785416666666666,"{""type"":""Point"",""coordinates"":[15.785416666666666,4.226]}"
"FEFF","M'Poko","Bangui","Central African Republic","CAF",4.397777777777778,18.51972222222222,"{""type"":""Point"",""coordinates"":[18.51972222222222,4.397777777777778]}"
"FEFN","N'Dele","N'Dele","Central African Republic","CAF",8.43,20.634444444444444,"{""type"":""Point"",""coordinates"":[20.634444444444444,8.43]}"
"FEFO","Bouar","Bouar","Central African Republic","CAF",5.950355555555555,15.639825,"{""type"":""Point"",""coordinates"":[15.639825,5.950355555555555]}"
"FEGZ","Bozoum","Bozoum","Central African Republic","CAF",6.35,16.316666666666666,"{""type"":""Point"",""coordinates"":[16.316666666666666,6.35]}"
"FEFG","Bangassou","Bangassou","Central African Republic","CAF",4.783333333333333,22.783333333333335,"{""type"":""Point"",""coordinates"":[22.783333333333335,4.783333333333333]}"
