"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"CZWL","Wollaston Lake","Wollaston Lake","Canada","CAN",58.10696388888889,-103.17241944444444,"{""type"":""Point"",""coordinates"":[-103.17241944444444,58.10696388888889]}"
"CZST","Stewart","Stewart","Canada","CAN",55.93333333333333,-129.98333333333332,"{""type"":""Point"",""coordinates"":[-129.98333333333332,55.93333333333333]}"
"CZSJ","Sandy Lake","Sandy Lake","Canada","CAN",53.06418055555555,-93.34437777777778,"{""type"":""Point"",""coordinates"":[-93.34437777777778,53.06418055555555]}"
"CZRJ","Round Lake (Weagamow Lake)","Round Lake","Canada","CAN",52.94362222222222,-91.31261944444444,"{""type"":""Point"",""coordinates"":[-91.31261944444444,52.94362222222222]}"
"CZPC","Pincher Creek","Pincher Creek","Canada","CAN",49.520427777777776,-113.99709722222222,"{""type"":""Point"",""coordinates"":[-113.99709722222222,49.520427777777776]}"
"CZPB","Sachigo Lake","Sachigo Lake","Canada","CAN",53.890997222222225,-92.19626944444445,"{""type"":""Point"",""coordinates"":[-92.19626944444445,53.890997222222225]}"
"CZNL","Nelson","Nelson","Canada","CAN",49.494166666666665,-117.30055555555555,"{""type"":""Point"",""coordinates"":[-117.30055555555555,49.494166666666665]}"
"CZNG","Poplar River","Poplar River","Canada","CAN",52.99630277777778,-97.273625,"{""type"":""Point"",""coordinates"":[-97.273625,52.99630277777778]}"
"CZMT","Masset","Masset","Canada","CAN",54.02710555555556,-132.1250777777778,"{""type"":""Point"",""coordinates"":[-132.1250777777778,54.02710555555556]}"
"CZML","108 Mile","South Cariboo","Canada","CAN",51.7366,-121.33288888888889,"{""type"":""Point"",""coordinates"":[-121.33288888888889,51.7366]}"
"CZKE","Kashechewan","Kashechewan","Canada","CAN",52.28245,-81.67781666666667,"{""type"":""Point"",""coordinates"":[-81.67781666666667,52.28245]}"
"CZJN","Swan River","Swan River","Canada","CAN",52.121494444444444,-101.23443055555556,"{""type"":""Point"",""coordinates"":[-101.23443055555556,52.121494444444444]}"
"CZGI","Gods River","Gods River","Canada","CAN",54.83970277777778,-94.07869444444444,"{""type"":""Point"",""coordinates"":[-94.07869444444444,54.83970277777778]}"
"CZFN","Tulita","Tulita","Canada","CAN",64.90970833333334,-125.56938055555555,"{""type"":""Point"",""coordinates"":[-125.56938055555555,64.90970833333334]}"
"CZFG","Pukatawagan","Pukatawagan","Canada","CAN",55.74910555555556,-101.26624166666667,"{""type"":""Point"",""coordinates"":[-101.26624166666667,55.74910555555556]}"
"CZEM","Eastmain River","Eastmain River","Canada","CAN",52.226400000000005,-78.52258333333333,"{""type"":""Point"",""coordinates"":[-78.52258333333333,52.226400000000005]}"
"CZBF","Bathurst","Bathurst","Canada","CAN",47.62961111111111,-65.73895833333333,"{""type"":""Point"",""coordinates"":[-65.73895833333333,47.62961111111111]}"
"CZBB","Boundary Bay","Vancouver","Canada","CAN",49.07406666666667,-123.00757777777778,"{""type"":""Point"",""coordinates"":[-123.00757777777778,49.07406666666667]}"
"CZBA","Burlington Executive","Burlington","Canada","CAN",43.44146666666666,-79.85021944444443,"{""type"":""Point"",""coordinates"":[-79.85021944444443,43.44146666666666]}"
"CZAC","York Landing","York Landing","Canada","CAN",56.089536111111116,-96.08920277777777,"{""type"":""Point"",""coordinates"":[-96.08920277777777,56.089536111111116]}"
"CYZY","Mackenzie","Mackenzie","Canada","CAN",55.29946666666667,-123.13338611111112,"{""type"":""Point"",""coordinates"":[-123.13338611111112,55.29946666666667]}"
"CYZX","Greenwood","Greenwood","Canada","CAN",44.98444444444444,-64.91694444444445,"{""type"":""Point"",""coordinates"":[-64.91694444444445,44.98444444444444]}"
"CYZT","Port Hardy","Port Hardy","Canada","CAN",50.680594444444445,-127.36665833333333,"{""type"":""Point"",""coordinates"":[-127.36665833333333,50.680594444444445]}"
"CYZR","Sarnia (Hadfield)","Sarnia","Canada","CAN",42.99967777777778,-82.30936388888888,"{""type"":""Point"",""coordinates"":[-82.30936388888888,42.99967777777778]}"
"CYZH","Slave Lake","Slave Lake","Canada","CAN",55.292922222222224,-114.77720833333333,"{""type"":""Point"",""coordinates"":[-114.77720833333333,55.292922222222224]}"
"CYZG","Salluit","Salluit","Canada","CAN",62.179383333333334,-75.66728611111111,"{""type"":""Point"",""coordinates"":[-75.66728611111111,62.179383333333334]}"
"CYZE","Gore Bay-Manitoulin","Gore Bay","Canada","CAN",45.884233333333334,-82.56828055555555,"{""type"":""Point"",""coordinates"":[-82.56828055555555,45.884233333333334]}"
"CYYY","Mont-Joli","Mont-Joli","Canada","CAN",48.609025,-68.20758888888889,"{""type"":""Point"",""coordinates"":[-68.20758888888889,48.609025]}"
"CYYT","St John's Intl","St John's","Canada","CAN",47.61861944444445,-52.75241944444444,"{""type"":""Point"",""coordinates"":[-52.75241944444444,47.61861944444445]}"
"CYYR","Goose Bay","Goose Bay","Canada","CAN",53.31916666666667,-60.42583333333333,"{""type"":""Point"",""coordinates"":[-60.42583333333333,53.31916666666667]}"
"CYYQ","Churchill","Churchill","Canada","CAN",58.73905833333333,-94.06637222222221,"{""type"":""Point"",""coordinates"":[-94.06637222222221,58.73905833333333]}"
"CYYL","Lynn Lake","Lynn Lake","Canada","CAN",56.86438888888889,-101.07610555555556,"{""type"":""Point"",""coordinates"":[-101.07610555555556,56.86438888888889]}"
"CYYH","Taloyoak","Taloyoak","Canada","CAN",69.54665,-93.57702222222221,"{""type"":""Point"",""coordinates"":[-93.57702222222221,69.54665]}"
"CYYF","Penticton","Penticton","Canada","CAN",49.462575,-119.60227499999999,"{""type"":""Point"",""coordinates"":[-119.60227499999999,49.462575]}"
