"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"LSZT","Lommis","Lommis","Switzerland","CHE",47.52444444444444,9.003055555555555,"{""type"":""Point"",""coordinates"":[9.003055555555555,47.52444444444444]}"
"LSZV","Sitterdorf","Sitterdorf","Switzerland","CHE",47.50888888888889,9.262777777777778,"{""type"":""Point"",""coordinates"":[9.262777777777778,47.50888888888889]}"
"LSZS","Samedan","Samedan","Switzerland","CHE",46.53444444444444,9.883888888888889,"{""type"":""Point"",""coordinates"":[9.883888888888889,46.53444444444444]}"
"LSZR","Altenrhein","St Gallen","Switzerland","CHE",47.485,9.561944444444444,"{""type"":""Point"",""coordinates"":[9.561944444444444,47.485]}"
"LSZN","Hausen am Albis","Hausen am Albis","Switzerland","CHE",47.23861111111111,8.515555555555556,"{""type"":""Point"",""coordinates"":[8.515555555555556,47.23861111111111]}"
"LSZL","Locarno","Locarno","Switzerland","CHE",46.16083333333333,8.87861111111111,"{""type"":""Point"",""coordinates"":[8.87861111111111,46.16083333333333]}"
"LSZF","Birrfeld","Birrfeld","Switzerland","CHE",47.44333333333333,8.233888888888888,"{""type"":""Point"",""coordinates"":[8.233888888888888,47.44333333333333]}"
"LSZO","Luzern-Beromunster","Luzern-Beromunster","Switzerland","CHE",47.19,8.204722222222221,"{""type"":""Point"",""coordinates"":[8.204722222222221,47.19]}"
"LSZE","Bad Ragaz","Bad Ragaz","Switzerland","CHE",47.015,9.481944444444444,"{""type"":""Point"",""coordinates"":[9.481944444444444,47.015]}"
"LSZC","Buochs","Buochs","Switzerland","CHE",46.974444444444444,8.396944444444443,"{""type"":""Point"",""coordinates"":[8.396944444444443,46.974444444444444]}"
"LSZB","Belp","Bern","Switzerland","CHE",46.91222222222222,7.4991666666666665,"{""type"":""Point"",""coordinates"":[7.4991666666666665,46.91222222222222]}"
"LSME","Emmen","Emmen","Switzerland","CHE",47.09215277777778,8.304847222222223,"{""type"":""Point"",""coordinates"":[8.304847222222223,47.09215277777778]}"
"LSZA","Lugano","Lugano","Switzerland","CHE",46.00361111111111,8.910277777777779,"{""type"":""Point"",""coordinates"":[8.910277777777779,46.00361111111111]}"
"LSTZ","Zweisimmen","Zweisimmen","Switzerland","CHE",46.55166666666666,7.38111111111111,"{""type"":""Point"",""coordinates"":[7.38111111111111,46.55166666666666]}"
"LSZU","Buttwil","Buttwil","Switzerland","CHE",47.264722222222225,8.3025,"{""type"":""Point"",""coordinates"":[8.3025,47.264722222222225]}"
"LSTR","Montricher","Montricher","Switzerland","CHE",46.59027777777778,6.400555555555556,"{""type"":""Point"",""coordinates"":[6.400555555555556,46.59027777777778]}"
"LSZJ","Courtelary","Courtelary","Switzerland","CHE",47.183611111111105,7.090833333333333,"{""type"":""Point"",""coordinates"":[7.090833333333333,47.183611111111105]}"
"LSPV","Wangen-Lachen","Wangen-Lachen","Switzerland","CHE",47.20472222222222,8.8675,"{""type"":""Point"",""coordinates"":[8.8675,47.20472222222222]}"
"LSGG","Geneva","Geneva","Switzerland","CHE",46.23833333333334,6.109444444444444,"{""type"":""Point"",""coordinates"":[6.109444444444444,46.23833333333334]}"
"LSPM","Ambri","Ambri","Switzerland","CHE",46.51305555555555,8.689444444444444,"{""type"":""Point"",""coordinates"":[8.689444444444444,46.51305555555555]}"
"LSPL","Langenthal","Langenthal","Switzerland","CHE",47.18277777777777,7.741388888888889,"{""type"":""Point"",""coordinates"":[7.741388888888889,47.18277777777777]}"
"LSZI","Fricktal-Schupfart","Fricktal-Schupfart","Switzerland","CHE",47.50888888888889,7.95,"{""type"":""Point"",""coordinates"":[7.95,47.50888888888889]}"
"LSPN","Triengen","Triengen","Switzerland","CHE",47.22666666666667,8.078055555555554,"{""type"":""Point"",""coordinates"":[8.078055555555554,47.22666666666667]}"
"LSPA","Amlikon","Amlikon","Switzerland","CHE",47.57416666666667,9.0475,"{""type"":""Point"",""coordinates"":[9.0475,47.57416666666667]}"
"LSZG","Grenchen","Grenchen","Switzerland","CHE",47.18138888888889,7.416388888888889,"{""type"":""Point"",""coordinates"":[7.416388888888889,47.18138888888889]}"
"LSMP","Payerne","Payerne","Switzerland","CHE",46.8425,6.913611111111112,"{""type"":""Point"",""coordinates"":[6.913611111111112,46.8425]}"
"LSGC","Les Eplatures","Les Eplatures","Switzerland","CHE",47.08416666666667,6.793611111111111,"{""type"":""Point"",""coordinates"":[6.793611111111111,47.08416666666667]}"
"LSMD","Dubendorf","Dubendorf","Switzerland","CHE",47.396966666666664,8.647191666666666,"{""type"":""Point"",""coordinates"":[8.647191666666666,47.396966666666664]}"
"LSZQ","Bressaucourt","Bressaucourt","Switzerland","CHE",47.3925,7.028888888888889,"{""type"":""Point"",""coordinates"":[7.028888888888889,47.3925]}"
"LSMA","Alpnach Mil","Alpnach","Switzerland","CHE",46.942816666666666,8.283813888888888,"{""type"":""Point"",""coordinates"":[8.283813888888888,46.942816666666666]}"
"LSZK","Speck-Fehraltorf","Speck-Fehraltorf","Switzerland","CHE",47.37638888888889,8.7575,"{""type"":""Point"",""coordinates"":[8.7575,47.37638888888889]}"
"LSGT","Gruyeres","Gruyeres","Switzerland","CHE",46.594166666666666,7.094444444444444,"{""type"":""Point"",""coordinates"":[7.094444444444444,46.594166666666666]}"
"LSGR","Reichenbach","Reichenbach","Switzerland","CHE",46.61361111111111,7.677777777777778,"{""type"":""Point"",""coordinates"":[7.677777777777778,46.61361111111111]}"
"LSTO","Motiers","Motiers","Switzerland","CHE",46.916666666666664,6.614999999999999,"{""type"":""Point"",""coordinates"":[6.614999999999999,46.916666666666664]}"
"LSGB","Bex","Bex","Switzerland","CHE",46.25833333333333,6.9863888888888885,"{""type"":""Point"",""coordinates"":[6.9863888888888885,46.25833333333333]}"
"LSGY","Yverdon-Les-Bains","Yverdon-Les-Bains","Switzerland","CHE",46.761944444444445,6.613333333333333,"{""type"":""Point"",""coordinates"":[6.613333333333333,46.761944444444445]}"
"LSGP","La Cote","La Cote","Switzerland","CHE",46.406388888888884,6.258055555555556,"{""type"":""Point"",""coordinates"":[6.258055555555556,46.406388888888884]}"
"LSZW","Thun","Thun","Switzerland","CHE",46.756388888888885,7.600555555555555,"{""type"":""Point"",""coordinates"":[7.600555555555555,46.756388888888885]}"
"LSPF","Schaffhausen","Schaffhausen","Switzerland","CHE",47.690555555555555,8.526944444444446,"{""type"":""Point"",""coordinates"":[8.526944444444446,47.690555555555555]}"
"LSGL","La Blecherette","Lausanne","Switzerland","CHE",46.54527777777778,6.616666666666667,"{""type"":""Point"",""coordinates"":[6.616666666666667,46.54527777777778]}"
"LSGN","Neuchatel","Neuchatel","Switzerland","CHE",46.9575,6.8647222222222215,"{""type"":""Point"",""coordinates"":[6.8647222222222215,46.9575]}"
