"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"SCVN","Huancara","Vicuna","Chile","CHL",-30.033333333333335,-70.7388888888889,"{""type"":""Point"",""coordinates"":[-70.7388888888889,-30.033333333333335]}"
"SCVM","Vina Del Mar","Vina Del Mar","Chile","CHL",-32.94972222222222,-71.4786111111111,"{""type"":""Point"",""coordinates"":[-71.4786111111111,-32.94972222222222]}"
"SCVL","Las Marias","Valdivia","Chile","CHL",-39.795833333333334,-73.24138888888889,"{""type"":""Point"",""coordinates"":[-73.24138888888889,-39.795833333333334]}"
"SCVD","Pichoy","Valdivia","Chile","CHL",-39.64944444444444,-73.08638888888889,"{""type"":""Point"",""coordinates"":[-73.08638888888889,-39.64944444444444]}"
"SCTT","Las Breas","Taltal","Chile","CHL",-25.56388888888889,-70.37666666666667,"{""type"":""Point"",""coordinates"":[-70.37666666666667,-25.56388888888889]}"
"SCTO","Victoria","Victoria","Chile","CHL",-38.245555555555555,-72.34861111111111,"{""type"":""Point"",""coordinates"":[-72.34861111111111,-38.245555555555555]}"
"SCTN","Nuevo Chaiten","Chaiten","Chile","CHL",-42.78194444444444,-72.835,"{""type"":""Point"",""coordinates"":[-72.835,-42.78194444444444]}"
"SCTL","Panguilemo","Talca","Chile","CHL",-35.37916666666667,-71.60027777777778,"{""type"":""Point"",""coordinates"":[-71.60027777777778,-35.37916666666667]}"
"SCTE","El Tepual Intl","Puerto Montt","Chile","CHL",-41.43888888888888,-73.09388888888888,"{""type"":""Point"",""coordinates"":[-73.09388888888888,-41.43888888888888]}"
"SCSV","Vina Sutil","Peralillo","Chile","CHL",-34.44888888888889,-71.38583333333334,"{""type"":""Point"",""coordinates"":[-71.38583333333334,-34.44888888888889]}"
"SCSS","San Sebastian","San Sebastian","Chile","CHL",-53.31666666666667,-68.65,"{""type"":""Point"",""coordinates"":[-68.65,-53.31666666666667]}"
"SCSG","San Geronimo","Algarrobo","Chile","CHL",-33.35333333333333,-71.6261111111111,"{""type"":""Point"",""coordinates"":[-71.6261111111111,-33.35333333333333]}"
"SCGD","Cerro Guido","Torres Del Paine","Chile","CHL",-50.97,-72.41944444444445,"{""type"":""Point"",""coordinates"":[-72.41944444444445,-50.97]}"
"SCRP","Rapelhuapi","Rapel","Chile","CHL",-34.106,-71.51244444444444,"{""type"":""Point"",""coordinates"":[-71.51244444444444,-34.106]}"
"SCRM","Tte. Rodolfo Marsh Martin","Antartica Chilena","Chile","CHL",-62.19083333333333,-58.986666666666665,"{""type"":""Point"",""coordinates"":[-58.986666666666665,-62.19083333333333]}"
"SCRG","De La Independencia","Rancagua","Chile","CHL",-34.17444444444444,-70.77555555555556,"{""type"":""Point"",""coordinates"":[-70.77555555555556,-34.17444444444444]}"
"SCFT","Futaleufu","Futaleufu","Chile","CHL",-43.18583333333333,-71.85055555555554,"{""type"":""Point"",""coordinates"":[-71.85055555555554,-43.18583333333333]}"
"SCRF","Laguna San Rafael","Laguna San Rafael","Chile","CHL",-46.638888888888886,-73.85,"{""type"":""Point"",""coordinates"":[-73.85,-46.638888888888886]}"
"SCHT","Chaiten","Tic Toc","Chile","CHL",-43.613055555555555,-72.89750000000001,"{""type"":""Point"",""coordinates"":[-72.89750000000001,-43.613055555555555]}"
"SCPE","San Pedro De Atacama","San Pedro De Atacama","Chile","CHL",-22.921666666666667,-68.15833333333335,"{""type"":""Point"",""coordinates"":[-68.15833333333335,-22.921666666666667]}"
"SCRD","Rodelillo","Vina Del Mar","Chile","CHL",-33.068333333333335,-71.55749999999999,"{""type"":""Point"",""coordinates"":[-71.55749999999999,-33.068333333333335]}"
"SCQY","Villa Portales","Lonquimay","Chile","CHL",-38.44855555555555,-71.3573611111111,"{""type"":""Point"",""coordinates"":[-71.3573611111111,-38.44855555555555]}"
"SCQT","Las Tacas","Quebrada Las Tacas","Chile","CHL",-30.096944444444443,-71.3625,"{""type"":""Point"",""coordinates"":[-71.3625,-30.096944444444443]}"
"SCTB","Eulogio Sanchez","Santiago","Chile","CHL",-33.456944444444446,-70.54722222222222,"{""type"":""Point"",""coordinates"":[-70.54722222222222,-33.456944444444446]}"
"SCSD","San Fernando","San Fernando","Chile","CHL",-34.56583333333333,-70.96833333333333,"{""type"":""Point"",""coordinates"":[-70.96833333333333,-34.56583333333333]}"
"SCQP","La Araucania","Freire","Chile","CHL",-38.92583333333333,-72.65166666666667,"{""type"":""Point"",""coordinates"":[-72.65166666666667,-38.92583333333333]}"
"SCOH","Villa O'Higgins","Villa O'Higgins","Chile","CHL",-48.468333333333334,-72.56416666666667,"{""type"":""Point"",""coordinates"":[-72.56416666666667,-48.468333333333334]}"
"SCPQ","Mocopulli","Dalcahue","Chile","CHL",-42.34038888888889,-73.71569444444445,"{""type"":""Point"",""coordinates"":[-73.71569444444445,-42.34038888888889]}"
"SCFL","Fundo Loma Larga","Casablanca","Chile","CHL",-33.28,-71.37916666666666,"{""type"":""Point"",""coordinates"":[-71.37916666666666,-33.28]}"
"SCPF","Marcel Marchant","Puerto Montt","Chile","CHL",-41.45777777777778,-72.91861111111112,"{""type"":""Point"",""coordinates"":[-72.91861111111112,-41.45777777777778]}"
"SCPC","Pucon","Pucon","Chile","CHL",-39.29138888888889,-71.92083333333333,"{""type"":""Point"",""coordinates"":[-71.92083333333333,-39.29138888888889]}"
"SCOT","Santa Rosa de Tabali","Ovalle","Chile","CHL",-30.676111111111112,-71.39972222222222,"{""type"":""Point"",""coordinates"":[-71.39972222222222,-30.676111111111112]}"
"SCGE","Maria Dolores","Los Angeles","Chile","CHL",-37.401944444444446,-72.42555555555556,"{""type"":""Point"",""coordinates"":[-72.42555555555556,-37.401944444444446]}"
"SCQI","Lonquimay","Icalma","Chile","CHL",-38.749722222222225,-71.21777777777778,"{""type"":""Point"",""coordinates"":[-71.21777777777778,-38.749722222222225]}"
"SCLL","Vallenar","Vallenar","Chile","CHL",-28.59611111111111,-70.75527777777778,"{""type"":""Point"",""coordinates"":[-70.75527777777778,-28.59611111111111]}"
"SCLC","Municipal De Vitacura","Santiago","Chile","CHL",-33.38111111111111,-70.58138888888888,"{""type"":""Point"",""coordinates"":[-70.58138888888888,-33.38111111111111]}"
"SCPH","Puyuhuapi","Puyuhuapi","Chile","CHL",-44.38333333333333,-72.5936111111111,"{""type"":""Point"",""coordinates"":[-72.5936111111111,-44.38333333333333]}"
"SCJO","Canal Bajo/Carlos H Siebert","Osorno","Chile","CHL",-40.61138888888889,-73.06055555555555,"{""type"":""Point"",""coordinates"":[-73.06055555555555,-40.61138888888889]}"
"SCRA","Chanaral","Chanaral","Chile","CHL",-26.322222222222223,-70.6111111111111,"{""type"":""Point"",""coordinates"":[-70.6111111111111,-26.322222222222223]}"
"SCBA","Balmaceda","Balmaceda","Chile","CHL",-45.91638888888889,-71.68694444444445,"{""type"":""Point"",""coordinates"":[-71.68694444444445,-45.91638888888889]}"
"SCIR","Robinson Crusoe","Juan Fernandez","Chile","CHL",-33.66583333333333,-78.92916666666667,"{""type"":""Point"",""coordinates"":[-78.92916666666667,-33.66583333333333]}"
"SCIM","Isla Mocha","Isla Mocha","Chile","CHL",-38.39083333333333,-73.86944444444444,"{""type"":""Point"",""coordinates"":[-73.86944444444444,-38.39083333333333]}"
"SCEP","El Principal","Pirque","Chile","CHL",-33.725,-70.51027777777777,"{""type"":""Point"",""coordinates"":[-70.51027777777777,-33.725]}"
"SCEL","Arturo Merino Benitez Intl","Santiago","Chile","CHL",-33.394441666666665,-70.79380277777777,"{""type"":""Point"",""coordinates"":[-70.79380277777777,-33.394441666666665]}"
"SCIC","General Freire","Curico","Chile","CHL",-34.96666666666667,-71.21638888888889,"{""type"":""Point"",""coordinates"":[-71.21638888888889,-34.96666666666667]}"
"SCHR","Cochrane","Cochrane","Chile","CHL",-47.243611111111115,-72.58472222222221,"{""type"":""Point"",""coordinates"":[-72.58472222222221,-47.243611111111115]}"
"SCON","Quellon","Chiloe","Chile","CHL",-43.13527777777778,-73.63444444444445,"{""type"":""Point"",""coordinates"":[-73.63444444444445,-43.13527777777778]}"
"SCFA","Cerro Moreno Intl","Antofagasta","Chile","CHL",-23.444444444444446,-70.44500000000001,"{""type"":""Point"",""coordinates"":[-70.44500000000001,-23.444444444444446]}"
"SCHA","Chamonate","Copiapo","Chile","CHL",-27.296666666666667,-70.41361111111112,"{""type"":""Point"",""coordinates"":[-70.41361111111112,-27.296666666666667]}"
"SCMK","Melinka","Melinka","Chile","CHL",-43.894999999999996,-73.7388888888889,"{""type"":""Point"",""coordinates"":[-73.7388888888889,-43.894999999999996]}"
"SCMZ","Marina De Rapel","El Manzano","Chile","CHL",-34.15535833333333,-71.43923611111111,"{""type"":""Point"",""coordinates"":[-71.43923611111111,-34.15535833333333]}"
"SCGZ","Guardiamarina Zanartu","Puerto Williams","Chile","CHL",-54.93111111111111,-67.6261111111111,"{""type"":""Point"",""coordinates"":[-67.6261111111111,-54.93111111111111]}"
"SCFN","Russfin","Russfin","Chile","CHL",-53.8,-69.27055555555556,"{""type"":""Point"",""coordinates"":[-69.27055555555556,-53.8]}"
"SCES","Ricardo Garcia Posada","El Salvador","Chile","CHL",-26.308333333333334,-69.75166666666667,"{""type"":""Point"",""coordinates"":[-69.75166666666667,-26.308333333333334]}"
"SCTC","Maquehue","Padre Las Casas","Chile","CHL",-38.76694444444444,-72.63722222222223,"{""type"":""Point"",""coordinates"":[-72.63722222222223,-38.76694444444444]}"
"SCPV","El Mirador","Puerto Varas","Chile","CHL",-41.349444444444444,-72.94666666666667,"{""type"":""Point"",""coordinates"":[-72.94666666666667,-41.349444444444444]}"
