"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"ZYYJ","Chaoyangchuan","Yanji","China","CHN",42.88166666666667,129.45,"{""type"":""Point"",""coordinates"":[129.45,42.88166666666667]}"
"ZYJM","Jiamusi","Jiamusi","China","CHN",46.84166666666667,130.46499999999997,"{""type"":""Point"",""coordinates"":[130.46499999999997,46.84166666666667]}"
"ZYHB","Taiping","Harbin","China","CHN",45.625,126.25166666666667,"{""type"":""Point"",""coordinates"":[126.25166666666667,45.625]}"
"ZWWW","Diwopu","Urumqi","China","CHN",43.90833333333333,87.47500000000001,"{""type"":""Point"",""coordinates"":[87.47500000000001,43.90833333333333]}"
"ZWSH","Kashi","Kashi","China","CHN",39.544999999999995,76.02166666666666,"{""type"":""Point"",""coordinates"":[76.02166666666666,39.544999999999995]}"
"ZWTL","Jiaohe","Turpan","China","CHN",43.031666666666666,89.1,"{""type"":""Point"",""coordinates"":[89.1,43.031666666666666]}"
"ZUXC","Qingshan","Xichang","China","CHN",27.990000000000002,102.18333333333334,"{""type"":""Point"",""coordinates"":[102.18333333333334,27.990000000000002]}"
"ZULS","Gonggar","Lhasa","China","CHN",29.296666666666667,90.91166666666668,"{""type"":""Point"",""coordinates"":[90.91166666666668,29.296666666666667]}"
"ZSYT","Penglai","Yantai","China","CHN",37.66166666666666,120.97833333333334,"{""type"":""Point"",""coordinates"":[120.97833333333334,37.66166666666666]}"
"ZGDY","Hehua","Zhangjiajie","China","CHN",29.101666666666667,110.44500000000001,"{""type"":""Point"",""coordinates"":[110.44500000000001,29.101666666666667]}"
"ZPPP","Changshui","Kunming","China","CHN",25.105,102.94166666666668,"{""type"":""Point"",""coordinates"":[102.94166666666668,25.105]}"
"ZSYA","Taizhou","Yangzhou","China","CHN",32.56166666666666,119.71833333333333,"{""type"":""Point"",""coordinates"":[119.71833333333333,32.56166666666666]}"
"ZUUU","Shuangliu","Chengdu","China","CHN",30.58,103.94833333333334,"{""type"":""Point"",""coordinates"":[103.94833333333334,30.58]}"
"ZSWZ","Longwan","Wenzhou","China","CHN",27.91,120.85333333333332,"{""type"":""Point"",""coordinates"":[120.85333333333332,27.91]}"
"ZGNN","Wuxu","Nanning","China","CHN",22.610000000000003,108.17333333333333,"{""type"":""Point"",""coordinates"":[108.17333333333333,22.610000000000003]}"
"ZSOF","Xinqiao","Hefei","China","CHN",31.986666666666668,116.97500000000001,"{""type"":""Point"",""coordinates"":[116.97500000000001,31.986666666666668]}"
"ZSWX","Shuofang","Wuxi","China","CHN",31.493333333333336,120.42833333333334,"{""type"":""Point"",""coordinates"":[120.42833333333334,31.493333333333336]}"
