"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"FZWR","Kisengwa","Kisengwa","Congo, Dr Of","COD",-6.016666666666667,25.883333333333333,"{""type"":""Point"",""coordinates"":[25.883333333333333,-6.016666666666667]}"
"FZRM","Kabalo","Kabalo","Congo, Dr Of","COD",-6.083333333333333,26.916666666666668,"{""type"":""Point"",""coordinates"":[26.916666666666668,-6.083333333333333]}"
"FZUA","Kananga","Kananga","Congo, Dr Of","COD",-5.900080555555556,22.469199999999997,"{""type"":""Point"",""coordinates"":[22.469199999999997,-5.900080555555556]}"
"FZQM","Kolwezi","Kolwezi","Congo, Dr Of","COD",-10.766666666666667,25.5,"{""type"":""Point"",""coordinates"":[25.5,-10.766666666666667]}"
"FZOP","Punia","Punia","Congo, Dr Of","COD",-1.3666666666666667,26.333333333333332,"{""type"":""Point"",""coordinates"":[26.333333333333332,-1.3666666666666667]}"
"FZSB","Kamina","Kamina","Congo, Dr Of","COD",-8.733333333333333,24.983333333333334,"{""type"":""Point"",""coordinates"":[24.983333333333334,-8.733333333333333]}"
"FZNP","Beni Mavivi","Beni Mavivi","Congo, Dr Of","COD",0.5833333333333334,29.466666666666665,"{""type"":""Point"",""coordinates"":[29.466666666666665,0.5833333333333334]}"
"FZOD","Kalima","Kalima","Congo, Dr Of","COD",-2.5833333333333335,26.733333333333334,"{""type"":""Point"",""coordinates"":[26.733333333333334,-2.5833333333333335]}"
"FZNC","Rutshuru","Rutshuru","Congo, Dr Of","COD",-1.1666666666666667,29.416666666666668,"{""type"":""Point"",""coordinates"":[29.416666666666668,-1.1666666666666667]}"
"FZCA","Kikwit","Kikwit","Congo, Dr Of","COD",-5.033333333333333,18.783333333333335,"{""type"":""Point"",""coordinates"":[18.783333333333335,-5.033333333333333]}"
"FZAM","Matadi-Tshimpi","Matadi-Tshimpi","Congo, Dr Of","COD",-5.8,13.433333333333334,"{""type"":""Point"",""coordinates"":[13.433333333333334,-5.8]}"
"FZNA","Goma Intl","Goma","Congo, Dr Of","COD",-1.6708527777777775,29.23840277777778,"{""type"":""Point"",""coordinates"":[29.23840277777778,-1.6708527777777775]}"
"FZKJ","Buta-Zega","Buta-Zega","Congo, Dr Of","COD",2.8166666666666664,24.783333333333335,"{""type"":""Point"",""coordinates"":[24.783333333333335,2.8166666666666664]}"
"FZCF","Kahemba","Kahemba","Congo, Dr Of","COD",-7.333333333333333,19.016666666666666,"{""type"":""Point"",""coordinates"":[19.016666666666666,-7.333333333333333]}"
"FZMW","Shabunda","Shabunda","Congo, Dr Of","COD",-2.6833333333333336,27.333333333333332,"{""type"":""Point"",""coordinates"":[27.333333333333332,-2.6833333333333336]}"
"FZKA","Bunia","Bunia","Congo, Dr Of","COD",1.5657944444444445,30.220641666666666,"{""type"":""Point"",""coordinates"":[30.220641666666666,1.5657944444444445]}"
"FZWA","Mbuji-Mayi","Mbuji-Mayi","Congo, Dr Of","COD",-6.116666666666666,23.566666666666666,"{""type"":""Point"",""coordinates"":[23.566666666666666,-6.116666666666666]}"
"FZSA","Kamina Base","Kamina","Congo, Dr Of","COD",-8.626666666666667,25.248055555555556,"{""type"":""Point"",""coordinates"":[25.248055555555556,-8.626666666666667]}"
