"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"SKVV","Vanguardia","Villavicencio","Colombia","COL",4.168405555555556,-73.61465833333332,"{""type"":""Point"",""coordinates"":[-73.61465833333332,4.168405555555556]}"
"SKVP","Alfonso Lopez Pumarejo","Valledupar","Colombia","COL",10.435130555555556,-73.24939722222223,"{""type"":""Point"",""coordinates"":[-73.24939722222223,10.435130555555556]}"
"SKUI","El Carano","Quibdo","Colombia","COL",5.690797222222223,-76.64121944444445,"{""type"":""Point"",""coordinates"":[-76.64121944444445,5.690797222222223]}"
"SKUC","Santiago Perez","Arauca","Colombia","COL",7.0689111111111105,-70.73695833333333,"{""type"":""Point"",""coordinates"":[-70.73695833333333,7.0689111111111105]}"
"SKSP","Gustavo Rojas Pinilla","San Andres","Colombia","COL",12.583661111111113,-81.71133888888889,"{""type"":""Point"",""coordinates"":[-81.71133888888889,12.583661111111113]}"
"SKSJ","Jorge E Gonzalez","San Jose Del Guaviare","Colombia","COL",2.5796777777777775,-72.639125,"{""type"":""Point"",""coordinates"":[-72.639125,2.5796777777777775]}"
"SKSO","Alberto Lleras Camargo","Sogamoso","Colombia","COL",5.6765083333333335,-72.96976666666667,"{""type"":""Point"",""coordinates"":[-72.96976666666667,5.6765083333333335]}"
"SKSF","Sta Fe De Antioquia","Sta Fe De Antioquia","Colombia","COL",6.505,-75.83166666666666,"{""type"":""Point"",""coordinates"":[-75.83166666666666,6.505]}"
"SKRH","Almirante Padilla","Riohacha","Colombia","COL",11.526166666666667,-72.92668333333334,"{""type"":""Point"",""coordinates"":[-72.92668333333334,11.526166666666667]}"
"SKLC","Antonio Roldan Betancourt","Carepa","Colombia","COL",7.81175,-76.71644166666667,"{""type"":""Point"",""coordinates"":[-76.71644166666667,7.81175]}"
"SKPV","El Embrujo","Isla Providencia","Colombia","COL",13.357163888888888,-81.357925,"{""type"":""Point"",""coordinates"":[-81.357925,13.357163888888888]}"
"SKPP","Guillermo Leon Valencia","Popayan","Colombia","COL",2.454352777777778,-76.60979722222221,"{""type"":""Point"",""coordinates"":[-76.60979722222221,2.454352777777778]}"
"SKMZ","La Nubia","Manizales","Colombia","COL",5.030047222222223,-75.46545277777778,"{""type"":""Point"",""coordinates"":[-75.46545277777778,5.030047222222223]}"
"SKPI","Contador","Pitalito","Colombia","COL",1.8573000000000002,-76.08563055555555,"{""type"":""Point"",""coordinates"":[-76.08563055555555,1.8573000000000002]}"
"SKYP","El Yopal","El Yopal","Colombia","COL",5.3191444444444445,-72.38422777777778,"{""type"":""Point"",""coordinates"":[-72.38422777777778,5.3191444444444445]}"
"SKSA","Colonizadores","Saravena","Colombia","COL",6.950366666666667,-71.85620277777777,"{""type"":""Point"",""coordinates"":[-71.85620277777777,6.950366666666667]}"
"SKEJ","Yariguies","Barrancabermeja","Colombia","COL",7.024438888888889,-73.8068111111111,"{""type"":""Point"",""coordinates"":[-73.8068111111111,7.024438888888889]}"
"SKPA","Juan Jose Rondon","Paipa","Colombia","COL",5.764411111111111,-73.10571666666667,"{""type"":""Point"",""coordinates"":[-73.10571666666667,5.764411111111111]}"
