"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"MRTR","Tambor","Nicoya","Costa Rica","CRI",9.739472222222222,-85.01633333333334,"{""type"":""Point"",""coordinates"":[-85.01633333333334,9.739472222222222]}"
"MRSX","Sixaola","Sixaola","Costa Rica","CRI",9.503861111111112,-82.6313611111111,"{""type"":""Point"",""coordinates"":[-82.6313611111111,9.503861111111112]}"
"MRSV","San Vito De Jaba","San Vito De Jaba","Costa Rica","CRI",8.826972222222222,-82.95886111111112,"{""type"":""Point"",""coordinates"":[-82.95886111111112,8.826972222222222]}"
"MRSO","Santa Maria De Guacimo","Santa Maria De Guacimo","Costa Rica","CRI",10.270777777777779,-83.58377777777777,"{""type"":""Point"",""coordinates"":[-83.58377777777777,10.270777777777779]}"
"MRTM","Tamarindo De Santa Cruz","Santa Cruz","Costa Rica","CRI",10.315805555555556,-85.81230555555555,"{""type"":""Point"",""coordinates"":[-85.81230555555555,10.315805555555556]}"
"MRSI","San Isidro Del General","Perez Zeledon","Costa Rica","CRI",9.366666666666667,-83.71666666666667,"{""type"":""Point"",""coordinates"":[-83.71666666666667,9.366666666666667]}"
"MRQP","La Managua","La Managua","Costa Rica","CRI",9.443,-84.12986111111111,"{""type"":""Point"",""coordinates"":[-84.12986111111111,9.443]}"
"MRLC","Los Chiles","Los Chiles","Costa Rica","CRI",11.034611111111111,-84.7261388888889,"{""type"":""Point"",""coordinates"":[-84.7261388888889,11.034611111111111]}"
"MRNC","Nicoya","Nicoya","Costa Rica","CRI",10.139472222222222,-85.44566666666667,"{""type"":""Point"",""coordinates"":[-85.44566666666667,10.139472222222222]}"
"MRPV","Tobias Bolanos Intl","San Jose","Costa Rica","CRI",9.957138888888888,-84.13955833333334,"{""type"":""Point"",""coordinates"":[-84.13955833333334,9.957138888888888]}"
"MRQA","Quebrada Azul","Florencia De San Carlos","Costa Rica","CRI",10.4,-84.48333333333333,"{""type"":""Point"",""coordinates"":[-84.48333333333333,10.4]}"
"MRSG","Santa Clara De Guapiles","Santa Clara De Guapiles","Costa Rica","CRI",10.288222222222222,-83.71358333333333,"{""type"":""Point"",""coordinates"":[-83.71358333333333,10.288222222222222]}"
"MRGP","Guapiles","Guapiles","Costa Rica","CRI",10.21725,-83.79702777777777,"{""type"":""Point"",""coordinates"":[-83.79702777777777,10.21725]}"
"MRPM","Palmar Sur","Palmar Sur","Costa Rica","CRI",8.950944444444444,-83.46869444444445,"{""type"":""Point"",""coordinates"":[-83.46869444444445,8.950944444444444]}"
"MRDK","Drake","Puntarenas","Costa Rica","CRI",8.719111111111111,-83.64186111111111,"{""type"":""Point"",""coordinates"":[-83.64186111111111,8.719111111111111]}"
"MRLF","La Flor","La Flor","Costa Rica","CRI",10.650027777777778,-85.53419444444444,"{""type"":""Point"",""coordinates"":[-85.53419444444444,10.650027777777778]}"
"MRLE","Laurel","Puntarenas","Costa Rica","CRI",8.440611111111112,-82.90877777777779,"{""type"":""Point"",""coordinates"":[-82.90877777777779,8.440611111111112]}"
"MRGF","Golfito","Golfito","Costa Rica","CRI",8.653944444444445,-83.18197222222223,"{""type"":""Point"",""coordinates"":[-83.18197222222223,8.653944444444445]}"
"MRAN","La Fortuna","Arenal","Costa Rica","CRI",10.46936111111111,-84.57897222222222,"{""type"":""Point"",""coordinates"":[-84.57897222222222,10.46936111111111]}"
"MRBA","Buenos Aires De Osa","Buenos Aires","Costa Rica","CRI",9.163305555555556,-83.33027777777778,"{""type"":""Point"",""coordinates"":[-83.33027777777778,9.163305555555556]}"
"MRPA","Palo Arco","Palo Arco","Costa Rica","CRI",9.85211111111111,-85.2376388888889,"{""type"":""Point"",""coordinates"":[-85.2376388888889,9.85211111111111]}"
"MRLB","Daniel Oduber Quiros Intl","Liberia","Costa Rica","CRI",10.593013888888889,-85.54554444444445,"{""type"":""Point"",""coordinates"":[-85.54554444444445,10.593013888888889]}"
"MRCJ","Cajuela","San Isidro","Costa Rica","CRI",9.388666666666666,-83.688,"{""type"":""Point"",""coordinates"":[-83.688,9.388666666666666]}"
"MREC","El Carmen","El Carmen","Costa Rica","CRI",10.202,-83.47222222222223,"{""type"":""Point"",""coordinates"":[-83.47222222222223,10.202]}"
"MRNS","Nosara","Nosara","Costa Rica","CRI",9.976444444444445,-85.65280555555556,"{""type"":""Point"",""coordinates"":[-85.65280555555556,9.976444444444445]}"
"MRCR","Carrillo","Carrillo","Costa Rica","CRI",9.870555555555557,-85.48069444444445,"{""type"":""Point"",""coordinates"":[-85.48069444444445,9.870555555555557]}"
"MRBT","Barra De Tortuguero","Pococi","Costa Rica","CRI",10.568944444444444,-83.51497222222223,"{""type"":""Point"",""coordinates"":[-83.51497222222223,10.568944444444444]}"
"MRLM","Limon Intl","Puerto Limon","Costa Rica","CRI",9.957897222222222,-83.02202777777778,"{""type"":""Point"",""coordinates"":[-83.02202777777778,9.957897222222222]}"
"MRCH","Chacarita","Chacarita","Costa Rica","CRI",9.98161111111111,-84.77272222222223,"{""type"":""Point"",""coordinates"":[-84.77272222222223,9.98161111111111]}"
