"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"MUSC","Abel Santamaria","Santa Clara","Cuba","CUB",22.492222222222225,-79.94361111111111,"{""type"":""Point"",""coordinates"":[-79.94361111111111,22.492222222222225]}"
"MUPB","Playa Baracoa","Caimito","Cuba","CUB",23.032777777777778,-82.57944444444443,"{""type"":""Point"",""coordinates"":[-82.57944444444443,23.032777777777778]}"
"MUMZ","Sierra Maestra","Manzanillo","Cuba","CUB",20.28805555555556,-77.08916666666666,"{""type"":""Point"",""coordinates"":[-77.08916666666666,20.28805555555556]}"
"MUHG","Frank Pais Intl","Holguin","Cuba","CUB",20.785555555555558,-76.315,"{""type"":""Point"",""coordinates"":[-76.315,20.785555555555558]}"
"MULM","La Coloma","Pinar Del Rio","Cuba","CUB",22.33611111111111,-83.64194444444445,"{""type"":""Point"",""coordinates"":[-83.64194444444445,22.33611111111111]}"
"MUSN","Siguanea","Isla De La Juventud","Cuba","CUB",21.6425,-82.955,"{""type"":""Point"",""coordinates"":[-82.955,21.6425]}"
"MUNG","Rafael Cabrera","Nueva Gerona","Cuba","CUB",21.834722222222222,-82.78388888888888,"{""type"":""Point"",""coordinates"":[-82.78388888888888,21.834722222222222]}"
"MUCM","Ignacio Agramonte Intl","Camaguey","Cuba","CUB",21.42027777777778,-77.8475,"{""type"":""Point"",""coordinates"":[-77.8475,21.42027777777778]}"
"MUHA","Jose Marti Intl","Havana","Cuba","CUB",22.989166666666666,-82.40916666666668,"{""type"":""Point"",""coordinates"":[-82.40916666666668,22.989166666666666]}"
"MUVT","Hermanos Ameijeiras","Las Tunas","Cuba","CUB",20.98777777777778,-76.93583333333333,"{""type"":""Point"",""coordinates"":[-76.93583333333333,20.98777777777778]}"
"MUMO","Orestes Acosta","MOA","Cuba","CUB",20.653888888888886,-74.92222222222223,"{""type"":""Point"",""coordinates"":[-74.92222222222223,20.653888888888886]}"
"MUGV","Guardalavaca","Guardalavaca","Cuba","CUB",21.1125,-75.82277777777777,"{""type"":""Point"",""coordinates"":[-75.82277777777777,21.1125]}"
"MUTD","Alberto Delgado","Trinidad","Cuba","CUB",21.788333333333334,-79.99722222222222,"{""type"":""Point"",""coordinates"":[-79.99722222222222,21.788333333333334]}"
"MUGM","Guantanamo Bay NAS","Guantanamo Bay","Cuba","CUB",19.906569444444443,-75.20705833333334,"{""type"":""Point"",""coordinates"":[-75.20705833333334,19.906569444444443]}"
"MUGT","Mariana Grajales","Guantanamo","Cuba","CUB",20.085277777777776,-75.15833333333335,"{""type"":""Point"",""coordinates"":[-75.15833333333335,20.085277777777776]}"
"MUCU","Antonio Maceo Intl","Santiago De Cuba","Cuba","CUB",19.97,-75.83555555555554,"{""type"":""Point"",""coordinates"":[-75.83555555555554,19.97]}"
"MUVR","Juan G. Gomez Intl","Varadero","Cuba","CUB",23.034444444444446,-81.43527777777778,"{""type"":""Point"",""coordinates"":[-81.43527777777778,23.034444444444446]}"
"MUCA","Maximo Gomez","Ciego De Avila","Cuba","CUB",22.026944444444442,-78.78944444444444,"{""type"":""Point"",""coordinates"":[-78.78944444444444,22.026944444444442]}"
"MUCF","Jaime Gonzalez Intl","Cienfuegos","Cuba","CUB",22.15,-80.41416666666667,"{""type"":""Point"",""coordinates"":[-80.41416666666667,22.15]}"
"MUSL","Joaquin De Aguero","Santa Lucia","Cuba","CUB",21.509444444444444,-77.02027777777778,"{""type"":""Point"",""coordinates"":[-77.02027777777778,21.509444444444444]}"
"MUKW","Kawama","Varadero","Cuba","CUB",23.122777777777777,-81.30361111111111,"{""type"":""Point"",""coordinates"":[-81.30361111111111,23.122777777777777]}"
"MUCL","Vilo Acuna Intl","Cayo Largo Del Sur","Cuba","CUB",21.616111111111113,-81.54555555555555,"{""type"":""Point"",""coordinates"":[-81.54555555555555,21.616111111111113]}"
"MUBR","Las Brujas","Cayo Las Brujas","Cuba","CUB",22.62138888888889,-79.14722222222223,"{""type"":""Point"",""coordinates"":[-79.14722222222223,22.62138888888889]}"
"MUBY","Carlos M de Cespedes","Bayamo","Cuba","CUB",20.39638888888889,-76.62138888888889,"{""type"":""Point"",""coordinates"":[-76.62138888888889,20.39638888888889]}"
"MUCC","Jardines del Rey Intl","Cayo Coco","Cuba","CUB",22.461111111111112,-78.3286111111111,"{""type"":""Point"",""coordinates"":[-78.3286111111111,22.461111111111112]}"
"MUBA","Gustavo Rizo","Baracoa","Cuba","CUB",20.36527777777778,-74.50611111111111,"{""type"":""Point"",""coordinates"":[-74.50611111111111,20.36527777777778]}"
