"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"LKZN","Znojmo","Znojmo","Czech","CZE",48.81777777777778,16.065833333333334,"{""type"":""Point"",""coordinates"":[16.065833333333334,48.81777777777778]}"
"LKZM","Zamberk","Zamberk","Czech","CZE",50.08388888888889,16.44388888888889,"{""type"":""Point"",""coordinates"":[16.44388888888889,50.08388888888889]}"
"LKZL","Zlin","Zlin","Czech","CZE",49.19833333333333,17.517777777777777,"{""type"":""Point"",""coordinates"":[17.517777777777777,49.19833333333333]}"
"LKZD","Macerka","Zatec","Czech","CZE",50.3175,13.512777777777778,"{""type"":""Point"",""coordinates"":[13.512777777777778,50.3175]}"
"LKZB","Zbraslavice","Zbraslavice","Czech","CZE",49.814166666666665,15.201666666666666,"{""type"":""Point"",""coordinates"":[15.201666666666666,49.814166666666665]}"
"LKVY","Vyskov","Vyskov","Czech","CZE",49.30027777777777,17.025277777777777,"{""type"":""Point"",""coordinates"":[17.025277777777777,49.30027777777777]}"
"LKVO","Vodochody","Prague","Czech","CZE",50.21666666666667,14.395555555555555,"{""type"":""Point"",""coordinates"":[14.395555555555555,50.21666666666667]}"
"LKVM","Vysoke Myto","Vysoke Myto","Czech","CZE",49.926944444444445,16.185833333333335,"{""type"":""Point"",""coordinates"":[16.185833333333335,49.926944444444445]}"
"LKTB","Turany","Brno","Czech","CZE",49.15138888888889,16.69388888888889,"{""type"":""Point"",""coordinates"":[16.69388888888889,49.15138888888889]}"
"LKSN","Slany","Slany","Czech","CZE",50.21666666666667,14.088611111111112,"{""type"":""Point"",""coordinates"":[14.088611111111112,50.21666666666667]}"
"LKPN","Podhorany","Podhorany","Czech","CZE",49.939166666666665,15.549722222222222,"{""type"":""Point"",""coordinates"":[15.549722222222222,49.939166666666665]}"
"LKSK","Skutec","Skutec","Czech","CZE",49.82777777777778,16.00583333333333,"{""type"":""Point"",""coordinates"":[16.00583333333333,49.82777777777778]}"
"LKNA","Namest","Namest","Czech","CZE",49.16620833333333,16.124383333333334,"{""type"":""Point"",""coordinates"":[16.124383333333334,49.16620833333333]}"
"LKSB","Stichovice","Stichovice","Czech","CZE",49.486111111111114,17.055555555555557,"{""type"":""Point"",""coordinates"":[17.055555555555557,49.486111111111114]}"
"LKKA","Krizanov","Krizanov","Czech","CZE",49.36833333333333,16.116111111111113,"{""type"":""Point"",""coordinates"":[16.116111111111113,49.36833333333333]}"
"LKRY","Rokycany","Rokycany","Czech","CZE",49.75194444444445,13.589722222222223,"{""type"":""Point"",""coordinates"":[13.589722222222223,49.75194444444445]}"
