"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"EKVJ","Stauning","Stauning","Denmark","DNK",55.990122222222226,8.353905555555555,"{""type"":""Point"",""coordinates"":[8.353905555555555,55.990122222222226]}"
"EKVD","Vamdrup","Kolding","Denmark","DNK",55.43628333333333,9.330925,"{""type"":""Point"",""coordinates"":[9.330925,55.43628333333333]}"
"EKVB","Viborg","Viborg","Denmark","DNK",56.40995,9.409394444444445,"{""type"":""Point"",""coordinates"":[9.409394444444445,56.40995]}"
"EKSV","Skive","Skive","Denmark","DNK",56.55020833333333,9.172983333333333,"{""type"":""Point"",""coordinates"":[9.172983333333333,56.55020833333333]}"
"EKST","Tasinge","Sydfyn","Denmark","DNK",55.0165,10.563061111111113,"{""type"":""Point"",""coordinates"":[10.563061111111113,55.0165]}"
"EKTD","Tonder","Tonder","Denmark","DNK",54.929624999999994,8.840316666666666,"{""type"":""Point"",""coordinates"":[8.840316666666666,54.929624999999994]}"
"EK05","Ribehoj","Ribehoj","Denmark","DNK",55.43333333333333,8.916666666666666,"{""type"":""Point"",""coordinates"":[8.916666666666666,55.43333333333333]}"
"EKSN","Sindal","Sindal","Denmark","DNK",57.503525,10.229372222222223,"{""type"":""Point"",""coordinates"":[10.229372222222223,57.503525]}"
"EK11","Ejstrupholm","Ejstrupholm","Denmark","DNK",55.99111111111111,9.268055555555556,"{""type"":""Point"",""coordinates"":[9.268055555555556,55.99111111111111]}"
"EKSB","Sonderborg","Sonderborg","Denmark","DNK",54.96436666666667,9.791730555555555,"{""type"":""Point"",""coordinates"":[9.791730555555555,54.96436666666667]}"
"EKSL","Slaglille","Slaglille","Denmark","DNK",55.452222222222225,11.64472222222222,"{""type"":""Point"",""coordinates"":[11.64472222222222,55.452222222222225]}"
"EKHV","Haderslev","Haderslev","Denmark","DNK",55.30222222222222,9.5225,"{""type"":""Point"",""coordinates"":[9.5225,55.30222222222222]}"
"EKSA","Ottestrup","Saeby","Denmark","DNK",57.34666666666667,10.406944444444445,"{""type"":""Point"",""coordinates"":[10.406944444444445,57.34666666666667]}"
"EKLV","Lemvig","Lemvig","Denmark","DNK",56.50304722222222,8.311552777777779,"{""type"":""Point"",""coordinates"":[8.311552777777779,56.50304722222222]}"
"EKLS","Laeso","Laeso","Denmark","DNK",57.277227777777775,11.000083333333333,"{""type"":""Point"",""coordinates"":[11.000083333333333,57.277227777777775]}"
"EKYT","Aalborg","Aalborg","Denmark","DNK",57.09278888888889,9.849163888888889,"{""type"":""Point"",""coordinates"":[9.849163888888889,57.09278888888889]}"
"EKAB","Arnborg","Arnborg","Denmark","DNK",56.011944444444445,9.0125,"{""type"":""Point"",""coordinates"":[9.0125,56.011944444444445]}"
