"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"MDST","Cibao Intl","Santiago","Dom Rep","DOM",19.406091666666665,-70.60468888888889,"{""type"":""Point"",""coordinates"":[-70.60468888888889,19.406091666666665]}"
"MDSI","San Isidro AB","San Isidro","Dom Rep","DOM",18.503888888888888,-69.76166666666667,"{""type"":""Point"",""coordinates"":[-69.76166666666667,18.503888888888888]}"
"MDJB","El Higuero Intl","Santo Domingo/El Higuero","Dom Rep","DOM",18.572275,-69.98566944444444,"{""type"":""Point"",""coordinates"":[-69.98566944444444,18.572275]}"
"MDCZ","Constanza","Constanza","Dom Rep","DOM",18.9075,-70.72194444444445,"{""type"":""Point"",""coordinates"":[-70.72194444444445,18.9075]}"
"MDPO","El Portillo","El Portillo","Dom Rep","DOM",19.316666666666666,-69.5,"{""type"":""Point"",""coordinates"":[-69.5,19.316666666666666]}"
"MDCY","El Catey Intl","Samana","Dom Rep","DOM",19.269547222222222,-69.73697777777778,"{""type"":""Point"",""coordinates"":[-69.73697777777778,19.269547222222222]}"
"MDLL","Los Llanos de Sabanatosa","San Pedro de Macoris","Dom Rep","DOM",18.596383333333332,-69.52541666666667,"{""type"":""Point"",""coordinates"":[-69.52541666666667,18.596383333333332]}"
"MDMA","Magdalena Cuya","La Romana","Dom Rep","DOM",18.501933333333334,-68.7991,"{""type"":""Point"",""coordinates"":[-68.7991,18.501933333333334]}"
"MDDJ","Dajabon","Dajabon","Dom Rep","DOM",19.56361111111111,-71.68083333333334,"{""type"":""Point"",""coordinates"":[-71.68083333333334,19.56361111111111]}"
"MDAB","Arroyo Barril Intl","Arroyo Barril","Dom Rep","DOM",19.2,-69.43333333333334,"{""type"":""Point"",""coordinates"":[-69.43333333333334,19.2]}"
"MDSD","Las Americas Intl","Santo Domingo","Dom Rep","DOM",18.42966388888889,-69.668925,"{""type"":""Point"",""coordinates"":[-69.668925,18.42966388888889]}"
"MDBC","Batey Cacata","La Romana","Dom Rep","DOM",18.479233333333333,-68.91430000000001,"{""type"":""Point"",""coordinates"":[-68.91430000000001,18.479233333333333]}"
"MDSP","La Romana","Cueva De Las Maravillas","Dom Rep","DOM",18.451905555555555,-69.16836944444445,"{""type"":""Point"",""coordinates"":[-69.16836944444445,18.451905555555555]}"
"MDCR","Cabo Rojo","Cabo Rojo","Dom Rep","DOM",17.92888888888889,-71.64444444444445,"{""type"":""Point"",""coordinates"":[-71.64444444444445,17.92888888888889]}"
"MDPP","Gregorio Luperon Intl","Puerto Plata","Dom Rep","DOM",19.7579,-70.57003333333333,"{""type"":""Point"",""coordinates"":[-70.57003333333333,19.7579]}"
"MDMC","Monte Cristi","Monte Cristi","Dom Rep","DOM",19.86527777777778,-71.64527777777778,"{""type"":""Point"",""coordinates"":[-71.64527777777778,19.86527777777778]}"
"MDLR","Casa De Campo Intl","La Romana","Dom Rep","DOM",18.4525,-68.9113888888889,"{""type"":""Point"",""coordinates"":[-68.9113888888889,18.4525]}"
"MDAN","Angelina","Angelina","Dom Rep","DOM",19.130950000000002,-70.22396666666667,"{""type"":""Point"",""coordinates"":[-70.22396666666667,19.130950000000002]}"
"MDPC","Punta Cana Intl","Higuey","Dom Rep","DOM",18.570780555555555,-68.3661861111111,"{""type"":""Point"",""coordinates"":[-68.3661861111111,18.570780555555555]}"
"MDBH","Maria Montez Intl","Barahona","Dom Rep","DOM",18.25178888888889,-71.12019166666666,"{""type"":""Point"",""coordinates"":[-71.12019166666666,18.25178888888889]}"
