"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"SETU","El Rosal-Tcrnel Mantilla","Tulcan","Ecuador","ECU",0.8094444444444445,-77.70833333333334,"{""type"":""Point"",""coordinates"":[-77.70833333333334,0.8094444444444445]}"
"SETR","Tarapoa","Tarapoa","Ecuador","ECU",-0.12277777777777778,-76.33777777777777,"{""type"":""Point"",""coordinates"":[-76.33777777777777,-0.12277777777777778]}"
"SEBZ","Cumbaratza","Cumbaratza","Ecuador","ECU",-4.019166666666667,-78.8875,"{""type"":""Point"",""coordinates"":[-78.8875,-4.019166666666667]}"
"SETH","Taisha","Taisha","Ecuador","ECU",-2.3730555555555557,-77.50305555555556,"{""type"":""Point"",""coordinates"":[-77.50305555555556,-2.3730555555555557]}"
"SETI","Tiputini","Tiputini","Ecuador","ECU",-0.7866666666666666,-75.51888888888888,"{""type"":""Point"",""coordinates"":[-75.51888888888888,-0.7866666666666666]}"
"SESV","Los Perales","San Vicente","Ecuador","ECU",-0.6077777777777778,-80.40277777777779,"{""type"":""Point"",""coordinates"":[-80.40277777777779,-0.6077777777777778]}"
"SESD","Santo Domingo","Santo Domingo","Ecuador","ECU",-0.24833333333333335,-79.2088888888889,"{""type"":""Point"",""coordinates"":[-79.2088888888889,-0.24833333333333335]}"
"SETN","Coronel Carlos Concha Torres","Tachina","Ecuador","ECU",0.9777777777777777,-79.62666666666667,"{""type"":""Point"",""coordinates"":[-79.62666666666667,0.9777777777777777]}"
"SENL","Lago Agrio","Nueva Loja","Ecuador","ECU",0.09222222222222222,-76.86944444444444,"{""type"":""Point"",""coordinates"":[-76.86944444444444,0.09222222222222222]}"
"SERO","Santa Rosa Regl","Santa Rosa","Ecuador","ECU",-3.4361111111111113,-79.98388888888888,"{""type"":""Point"",""coordinates"":[-79.98388888888888,-3.4361111111111113]}"
"SESC","Sucua","Sucua","Ecuador","ECU",-2.471388888888889,-78.16944444444445,"{""type"":""Point"",""coordinates"":[-78.16944444444445,-2.471388888888889]}"
"SECU","Mariscal Lamar","Cuenca","Ecuador","ECU",-2.8894444444444445,-78.98444444444445,"{""type"":""Point"",""coordinates"":[-78.98444444444445,-2.8894444444444445]}"
"SESA","Gen Ulpiano Paez","Salinas","Ecuador","ECU",-2.2058333333333335,-80.98472222222222,"{""type"":""Point"",""coordinates"":[-80.98472222222222,-2.2058333333333335]}"
"SEMT","Eloy Alfaro Intl","Manta","Ecuador","ECU",-0.9461111111111111,-80.67888888888889,"{""type"":""Point"",""coordinates"":[-80.67888888888889,-0.9461111111111111]}"
"SEAM","Chachoan","Ambato","Ecuador","ECU",-1.2119444444444445,-78.57472222222222,"{""type"":""Point"",""coordinates"":[-78.57472222222222,-1.2119444444444445]}"
"SEMO","El Carmen","Montalvo","Ecuador","ECU",-2.066666666666667,-76.96722222222222,"{""type"":""Point"",""coordinates"":[-76.96722222222222,-2.066666666666667]}"
"SEMA","Jose Maria Velasco Ibarra","Macara","Ecuador","ECU",-4.378333333333333,-79.94111111111111,"{""type"":""Point"",""coordinates"":[-79.94111111111111,-4.378333333333333]}"
"SELT","Cotopaxi Intl Alternative","Latacunga","Ecuador","ECU",-0.9066666666666667,-78.61583333333333,"{""type"":""Point"",""coordinates"":[-78.61583333333333,-0.9066666666666667]}"
"SEGU","Jose Joaquin de Olmedo Intl","Guayaquil","Ecuador","ECU",-2.1577777777777776,-79.88388888888889,"{""type"":""Point"",""coordinates"":[-79.88388888888889,-2.1577777777777776]}"
"SEQM","Mariscal Sucre Intl","Quito","Ecuador","ECU",-0.12416666666666668,-78.35444444444444,"{""type"":""Point"",""coordinates"":[-78.35444444444444,-0.12416666666666668]}"
"SEMC","Crnl. E. Carvajal","Macas","Ecuador","ECU",-2.299444444444444,-78.12083333333332,"{""type"":""Point"",""coordinates"":[-78.12083333333332,-2.299444444444444]}"
"SERB","Chimborazo","Riobamba","Ecuador","ECU",-1.653611111111111,-78.65694444444445,"{""type"":""Point"",""coordinates"":[-78.65694444444445,-1.653611111111111]}"
"SEII","Isla Isabela","Isla Isabela","Ecuador","ECU",-0.9427777777777778,-90.95305555555557,"{""type"":""Point"",""coordinates"":[-90.95305555555557,-0.9427777777777778]}"
"SEST","San Cristobal","San Cristobal","Ecuador","ECU",-0.9102777777777779,-89.61749999999999,"{""type"":""Point"",""coordinates"":[-89.61749999999999,-0.9102777777777779]}"
"SEGZ","Mario Madero Jaramillo","Gualaquiza","Ecuador","ECU",-3.4166666666666665,-78.55,"{""type"":""Point"",""coordinates"":[-78.55,-3.4166666666666665]}"
"SEGS","Seymour","Baltra I Galapagos Is","Ecuador","ECU",-0.4538888888888889,-90.26583333333333,"{""type"":""Point"",""coordinates"":[-90.26583333333333,-0.4538888888888889]}"
"SEJD","Jumandy","Ahuano","Ecuador","ECU",-1.0602777777777779,-77.58055555555555,"{""type"":""Point"",""coordinates"":[-77.58055555555555,-1.0602777777777779]}"
"SECO","Francisco De Orellana","Coca","Ecuador","ECU",-0.4577777777777778,-76.98944444444444,"{""type"":""Point"",""coordinates"":[-76.98944444444444,-0.4577777777777778]}"
"SESM","Rio Amazonas","Shell","Ecuador","ECU",-1.5052777777777777,-78.0625,"{""type"":""Point"",""coordinates"":[-78.0625,-1.5052777777777777]}"
"SECA","Ciudad de Catamayo","Catamayo","Ecuador","ECU",-3.9958333333333336,-79.37194444444444,"{""type"":""Point"",""coordinates"":[-79.37194444444444,-3.9958333333333336]}"
