"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"HETR","El Tor","El Tor","Egypt","EGY",28.20888888888889,33.64555555555555,"{""type"":""Point"",""coordinates"":[33.64555555555555,28.20888888888889]}"
"HETB","Taba Intl","Taba","Egypt","EGY",29.587777777777777,34.778055555555554,"{""type"":""Point"",""coordinates"":[34.778055555555554,29.587777777777777]}"
"HESH","Sharm El Sheikh Intl","Sharm El Sheikh","Egypt","EGY",27.97861111111111,34.39333333333333,"{""type"":""Point"",""coordinates"":[34.39333333333333,27.97861111111111]}"
"HESC","St Catherine","St Catherine","Egypt","EGY",28.685277777777777,34.0625,"{""type"":""Point"",""coordinates"":[34.0625,28.685277777777777]}"
"HEOW","Shark El Oweinat","Shark El Oweinat","Egypt","EGY",22.583333333333332,28.71611111111111,"{""type"":""Point"",""coordinates"":[28.71611111111111,22.583333333333332]}"
"HEOC","October","6th of October","Egypt","EGY",29.81222222222222,30.823333333333334,"{""type"":""Point"",""coordinates"":[30.823333333333334,29.81222222222222]}"
"HEBL","Abu Simbel","Abu Simbel","Egypt","EGY",22.375833333333333,31.611666666666668,"{""type"":""Point"",""coordinates"":[31.611666666666668,22.375833333333333]}"
"HELX","Luxor Intl","Luxor","Egypt","EGY",25.670833333333334,32.70638888888889,"{""type"":""Point"",""coordinates"":[32.70638888888889,25.670833333333334]}"
"HEKG","El Kharga","El Kharga","Egypt","EGY",25.473611111111108,30.590833333333332,"{""type"":""Point"",""coordinates"":[30.590833333333332,25.473611111111108]}"
"HECA","Cairo Intl","Cairo","Egypt","EGY",30.11138888888889,31.413888888888888,"{""type"":""Point"",""coordinates"":[31.413888888888888,30.11138888888889]}"
"HEGN","Hurghada Intl","Hurghada","Egypt","EGY",27.178611111111113,33.80083333333333,"{""type"":""Point"",""coordinates"":[33.80083333333333,27.178611111111113]}"
"HEBA","Borg El Arab Intl","Alexandria","Egypt","EGY",30.918055555555558,29.695833333333333,"{""type"":""Point"",""coordinates"":[29.695833333333333,30.918055555555558]}"
"HEAZ","Almaza AB","Almaza","Egypt","EGY",30.091944444444444,31.359722222222224,"{""type"":""Point"",""coordinates"":[31.359722222222224,30.091944444444444]}"
"HEAX","Alexandria Intl","Alexandria","Egypt","EGY",31.18166666666667,29.94638888888889,"{""type"":""Point"",""coordinates"":[29.94638888888889,31.18166666666667]}"
"HEAT","Asyut Intl","Asyut","Egypt","EGY",27.04638888888889,31.011944444444445,"{""type"":""Point"",""coordinates"":[31.011944444444445,27.04638888888889]}"
"HEPS","Port Said","Port Said","Egypt","EGY",31.279444444444444,32.24,"{""type"":""Point"",""coordinates"":[32.24,31.279444444444444]}"
"HEMM","Mersa Matruh Intl","Mersa Matruh","Egypt","EGY",31.325277777777778,27.221666666666664,"{""type"":""Point"",""coordinates"":[27.221666666666664,31.325277777777778]}"
"HESG","Suhag Intl","Suhag","Egypt","EGY",26.342777777777776,31.74277777777778,"{""type"":""Point"",""coordinates"":[31.74277777777778,26.342777777777776]}"
"HEMA","Marsa Alam Intl","Marsa Alam","Egypt","EGY",25.558055555555555,34.58305555555556,"{""type"":""Point"",""coordinates"":[34.58305555555556,25.558055555555555]}"
"HE01","El Gouna","El Gouna","Egypt","EGY",27.366944444444446,33.668055555555554,"{""type"":""Point"",""coordinates"":[33.668055555555554,27.366944444444446]}"
"HEAR","El Arish Intl","El Arish","Egypt","EGY",31.073333333333334,33.83583333333333,"{""type"":""Point"",""coordinates"":[33.83583333333333,31.073333333333334]}"
"HEDK","Dakhla","Dakhla","Egypt","EGY",25.411666666666665,29.001666666666665,"{""type"":""Point"",""coordinates"":[29.001666666666665,25.411666666666665]}"
"HEGR","El Gora","El Gora","Egypt","EGY",31.073333333333334,34.14944444444444,"{""type"":""Point"",""coordinates"":[34.14944444444444,31.073333333333334]}"
"HESN","Aswan Intl","Aswan","Egypt","EGY",23.964444444444442,32.82,"{""type"":""Point"",""coordinates"":[32.82,23.964444444444442]}"
"HEAL","Al Alamain Intl","Al Alamain","Egypt","EGY",30.924444444444447,28.461388888888887,"{""type"":""Point"",""coordinates"":[28.461388888888887,30.924444444444447]}"
