"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"LEXJ","Seve Ballesteros-Santander","Santander","Spain","ESP",43.426944444444445,-3.82,"{""type"":""Point"",""coordinates"":[-3.82,43.426944444444445]}"
"LEVX","Vigo","Vigo","Spain","ESP",42.22916666666667,-8.627500000000001,"{""type"":""Point"",""coordinates"":[-8.627500000000001,42.22916666666667]}"
"LEVD","Villanubla","Valladolid","Spain","ESP",41.70611111111111,-4.851944444444444,"{""type"":""Point"",""coordinates"":[-4.851944444444444,41.70611111111111]}"
"LEVC","Manises","Valencia","Spain","ESP",39.489444444444445,-0.4816666666666667,"{""type"":""Point"",""coordinates"":[-0.4816666666666667,39.489444444444445]}"
"LETP","Santo Tome Del Puerto","Santo Tome Del Puerto","Spain","ESP",41.20416666666667,-3.5947222222222224,"{""type"":""Point"",""coordinates"":[-3.5947222222222224,41.20416666666667]}"
"LETL","Teruel","Teruel","Spain","ESP",40.411944444444444,-1.2175,"{""type"":""Point"",""coordinates"":[-1.2175,40.411944444444444]}"
"LETJ","Trebujena","Trebujena","Spain","ESP",36.86138888888889,-6.140555555555556,"{""type"":""Point"",""coordinates"":[-6.140555555555556,36.86138888888889]}"
"LESL","San Luis","San Luis","Spain","ESP",39.86222222222222,4.258333333333334,"{""type"":""Point"",""coordinates"":[4.258333333333334,39.86222222222222]}"
"LERT","Rota","Cadiz","Spain","ESP",36.64527777777778,-6.349444444444444,"{""type"":""Point"",""coordinates"":[-6.349444444444444,36.64527777777778]}"
"LEZL","Seville","Seville","Spain","ESP",37.418055555555554,-5.898888888888888,"{""type"":""Point"",""coordinates"":[-5.898888888888888,37.418055555555554]}"
"LEJR","Jerez","Jerez","Spain","ESP",36.74472222222222,-6.06,"{""type"":""Point"",""coordinates"":[-6.06,36.74472222222222]}"
"LERO","Rozas","Rozas","Spain","ESP",43.115833333333335,-7.4635,"{""type"":""Point"",""coordinates"":[-7.4635,43.115833333333335]}"
"LERS","Reus","Reus","Spain","ESP",41.1475,1.1672222222222224,"{""type"":""Point"",""coordinates"":[1.1672222222222224,41.1475]}"
"LEZG","Zaragoza","Zaragoza","Spain","ESP",41.66611111111111,-1.0416666666666667,"{""type"":""Point"",""coordinates"":[-1.0416666666666667,41.66611111111111]}"
"LERM","Robledillo de Mohernando","Robledillo de Mohernando","Spain","ESP",40.86527777777778,-3.247777777777778,"{""type"":""Point"",""coordinates"":[-3.247777777777778,40.86527777777778]}"
"LELC","San Javier","Murcia","Spain","ESP",37.775,-0.8125,"{""type"":""Point"",""coordinates"":[-0.8125,37.775]}"
"LERE","Requena","Requena","Spain","ESP",39.474722222222226,-1.0344444444444445,"{""type"":""Point"",""coordinates"":[-1.0344444444444445,39.474722222222226]}"
"LEHC","Pirineos","Huesca","Spain","ESP",42.08083333333334,-0.3233333333333333,"{""type"":""Point"",""coordinates"":[-0.3233333333333333,42.08083333333334]}"
"LEMT","Casarrubios del Monte","Casarrubios del Monte","Spain","ESP",40.235,-4.026388888888889,"{""type"":""Point"",""coordinates"":[-4.026388888888889,40.235]}"
"LEST","Santiago","Santiago","Spain","ESP",42.896388888888886,-8.415277777777778,"{""type"":""Point"",""coordinates"":[-8.415277777777778,42.896388888888886]}"
"LESU","La Seu d'Urgell","Andorra","Spain","ESP",42.346111111111114,1.4147222222222222,"{""type"":""Point"",""coordinates"":[1.4147222222222222,42.346111111111114]}"
"LEMO","Moron AB","Seville","Spain","ESP",37.175,-5.616111111111111,"{""type"":""Point"",""coordinates"":[-5.616111111111111,37.175]}"
"LEMH","Menorca","Menorca","Spain","ESP",39.862500000000004,4.2186111111111115,"{""type"":""Point"",""coordinates"":[4.2186111111111115,39.862500000000004]}"
"LEMG","Costa del Sol","Malaga","Spain","ESP",36.675,-4.4991666666666665,"{""type"":""Point"",""coordinates"":[-4.4991666666666665,36.675]}"
"LECD","La Cerdanya","La Cerdanya","Spain","ESP",42.388333333333335,1.8666666666666667,"{""type"":""Point"",""coordinates"":[1.8666666666666667,42.388333333333335]}"
"LEAX","Leoni Benabu","La Axarquia","Spain","ESP",36.80222222222222,-4.1369444444444445,"{""type"":""Point"",""coordinates"":[-4.1369444444444445,36.80222222222222]}"
"LERI","Alcantarilla AB","Murcia","Spain","ESP",37.952222222222225,-1.2308333333333334,"{""type"":""Point"",""coordinates"":[-1.2308333333333334,37.952222222222225]}"
