"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"EEVU","Varstu","Varstu","Estonia","EST",57.63333333333333,26.67,"{""type"":""Point"",""coordinates"":[26.67,57.63333333333333]}"
"EEVO","Vormsi","Vormsi","Estonia","EST",58.98527777777778,23.251666666666665,"{""type"":""Point"",""coordinates"":[23.251666666666665,58.98527777777778]}"
"EEVI","Viljandi","Viljandi","Estonia","EST",58.35,25.493055555555557,"{""type"":""Point"",""coordinates"":[25.493055555555557,58.35]}"
"EETU","Tartu","Tartu","Estonia","EST",58.3075,26.686944444444446,"{""type"":""Point"",""coordinates"":[26.686944444444446,58.3075]}"
"EERU","Ruhnu","Ruhnu","Estonia","EST",57.78388888888889,23.266111111111112,"{""type"":""Point"",""coordinates"":[23.266111111111112,57.78388888888889]}"
"EERI","Ridali","Ridali","Estonia","EST",57.94277777777778,26.977777777777778,"{""type"":""Point"",""coordinates"":[26.977777777777778,57.94277777777778]}"
"EERE","Rakvere","Rakvere","Estonia","EST",59.36483333333334,26.353,"{""type"":""Point"",""coordinates"":[26.353,59.36483333333334]}"
"EERA","Rapla","Rapla","Estonia","EST",58.98638888888889,24.724444444444444,"{""type"":""Point"",""coordinates"":[24.724444444444444,58.98638888888889]}"
"EERD","Riidaja","Riidaja","Estonia","EST",58.08527777777778,25.898888888888887,"{""type"":""Point"",""coordinates"":[25.898888888888887,58.08527777777778]}"
"EETN","Lennart Meri","Tallinn","Estonia","EST",59.413333333333334,24.8325,"{""type"":""Point"",""coordinates"":[24.8325,59.413333333333334]}"
"EEHA","Humala","Humala","Estonia","EST",59.35583333333334,24.37638888888889,"{""type"":""Point"",""coordinates"":[24.37638888888889,59.35583333333334]}"
"EENA","Narva","Narva","Estonia","EST",59.38972222222222,28.111666666666668,"{""type"":""Point"",""coordinates"":[28.111666666666668,59.38972222222222]}"
"EEKI","Karksi","Karksi","Estonia","EST",58.11555555555556,25.552777777777777,"{""type"":""Point"",""coordinates"":[25.552777777777777,58.11555555555556]}"
"EEJI","Johvi","Johvi","Estonia","EST",59.32611111111112,27.393055555555556,"{""type"":""Point"",""coordinates"":[27.393055555555556,59.32611111111112]}"
"EEKE","Kuressaare","Kuressaare","Estonia","EST",58.230000000000004,22.509444444444444,"{""type"":""Point"",""coordinates"":[22.509444444444444,58.230000000000004]}"
"EELU","Lyckholm","Lyckholm","Estonia","EST",59.02305555555555,23.578333333333333,"{""type"":""Point"",""coordinates"":[23.578333333333333,59.02305555555555]}"
"EEPU","Parnu","Parnu","Estonia","EST",58.41888888888889,24.472777777777775,"{""type"":""Point"",""coordinates"":[24.472777777777775,58.41888888888889]}"
"EEEI","Amari","Amari","Estonia","EST",59.26222222222222,24.21861111111111,"{""type"":""Point"",""coordinates"":[24.21861111111111,59.26222222222222]}"
"EEKA","Kardla","Kardla","Estonia","EST",58.990833333333335,22.830833333333334,"{""type"":""Point"",""coordinates"":[22.830833333333334,58.990833333333335]}"
"EEKU","Kihnu","Kihnu","Estonia","EST",58.14833333333333,24.0025,"{""type"":""Point"",""coordinates"":[24.0025,58.14833333333333]}"
