"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"EFTU","Turku","Turku","Finland","FIN",60.514722222222225,22.261666666666667,"{""type"":""Point"",""coordinates"":[22.261666666666667,60.514722222222225]}"
"EFSU","Suomussalmi","Suomussalmi","Finland","FIN",64.82194444444444,28.710277777777776,"{""type"":""Point"",""coordinates"":[28.710277777777776,64.82194444444444]}"
"EFSI","Seinajoki","Seinajoki","Finland","FIN",62.69361111111111,22.831944444444446,"{""type"":""Point"",""coordinates"":[22.831944444444446,62.69361111111111]}"
"EFWB","Wredeby","Wredeby","Finland","FIN",60.66361111111111,26.745833333333334,"{""type"":""Point"",""coordinates"":[26.745833333333334,60.66361111111111]}"
"EFSA","Savonlinna","Savonlinna","Finland","FIN",61.94277777777778,28.945,"{""type"":""Point"",""coordinates"":[28.945,61.94277777777778]}"
"EFRV","Kiuruvesi","Kiuruvesi","Finland","FIN",63.705555555555556,26.616388888888892,"{""type"":""Point"",""coordinates"":[26.616388888888892,63.705555555555556]}"
"EFTS","Teisko","Teisko","Finland","FIN",61.77305555555555,24.025277777777777,"{""type"":""Point"",""coordinates"":[24.025277777777777,61.77305555555555]}"
"EFRU","Ranua","Ranua","Finland","FIN",65.97305555555556,26.36527777777778,"{""type"":""Point"",""coordinates"":[26.36527777777778,65.97305555555556]}"
"EFRO","Rovaniemi","Rovaniemi","Finland","FIN",66.56166666666667,25.830833333333334,"{""type"":""Point"",""coordinates"":[25.830833333333334,66.56166666666667]}"
"EFRH","Pattijoki","Raahe","Finland","FIN",64.68805555555556,24.695833333333333,"{""type"":""Point"",""coordinates"":[24.695833333333333,64.68805555555556]}"
"EFRA","Rautavaara","Rautavaara","Finland","FIN",63.424166666666665,28.124166666666667,"{""type"":""Point"",""coordinates"":[28.124166666666667,63.424166666666665]}"
"EFPY","Pyhasalmi","Pyhasalmi","Finland","FIN",63.72916666666667,25.931944444444447,"{""type"":""Point"",""coordinates"":[25.931944444444447,63.72916666666667]}"
"EFRN","Rantasalmi","Rantasalmi","Finland","FIN",62.065555555555555,28.35666666666667,"{""type"":""Point"",""coordinates"":[28.35666666666667,62.065555555555555]}"
"EFHK","Vantaa","Helsinki","Finland","FIN",60.31722222222223,24.96333333333333,"{""type"":""Point"",""coordinates"":[24.96333333333333,60.31722222222223]}"
"EFIM","Immola","Immola","Finland","FIN",61.249722222222225,28.90361111111111,"{""type"":""Point"",""coordinates"":[28.90361111111111,61.249722222222225]}"
"EFPK","Pieksamaki","Pieksamaki","Finland","FIN",62.264722222222225,27.002777777777776,"{""type"":""Point"",""coordinates"":[27.002777777777776,62.264722222222225]}"
"EFPO","Pori","Pori","Finland","FIN",61.46138888888889,21.797777777777778,"{""type"":""Point"",""coordinates"":[21.797777777777778,61.46138888888889]}"
"EFHV","Hyvinkaa","Hyvinkaa","Finland","FIN",60.654444444444444,24.88111111111111,"{""type"":""Point"",""coordinates"":[24.88111111111111,60.654444444444444]}"
"EFOP","Oripaa","Oripaa","Finland","FIN",60.876111111111115,22.744722222222222,"{""type"":""Point"",""coordinates"":[22.744722222222222,60.876111111111115]}"
"EFYL","Ylivieska","Ylivieska","Finland","FIN",64.05472222222222,24.725277777777777,"{""type"":""Point"",""coordinates"":[24.725277777777777,64.05472222222222]}"
"EFNS","Savikko","Savikko","Finland","FIN",60.519999999999996,24.831666666666667,"{""type"":""Point"",""coordinates"":[24.831666666666667,60.519999999999996]}"
"EFMA","Mariehamn","Mariehamn","Finland","FIN",60.121944444444445,19.89638888888889,"{""type"":""Point"",""coordinates"":[19.89638888888889,60.121944444444445]}"
"EFKU","Kuopio","Kuopio","Finland","FIN",63.00861111111111,27.794444444444448,"{""type"":""Point"",""coordinates"":[27.794444444444448,63.00861111111111]}"
"EFPA","Pokka","Pokka","Finland","FIN",68.14555555555556,25.822777777777777,"{""type"":""Point"",""coordinates"":[25.822777777777777,68.14555555555556]}"
"EFNU","Nummela","Nummela","Finland","FIN",60.33388888888889,24.29638888888889,"{""type"":""Point"",""coordinates"":[24.29638888888889,60.33388888888889]}"
"EFRY","Rayskala","Rayskala","Finland","FIN",60.74472222222222,24.10777777777778,"{""type"":""Point"",""coordinates"":[24.10777777777778,60.74472222222222]}"
"EFLP","Lappeenranta","Lappeenranta","Finland","FIN",61.045833333333334,28.148611111111112,"{""type"":""Point"",""coordinates"":[28.148611111111112,61.045833333333334]}"
"EFVP","Vampula","Vampula","Finland","FIN",61.03972222222222,22.591666666666665,"{""type"":""Point"",""coordinates"":[22.591666666666665,61.03972222222222]}"
"EFSE","Selanpaa","Selanpaa","Finland","FIN",61.064166666666665,26.795555555555556,"{""type"":""Point"",""coordinates"":[26.795555555555556,61.064166666666665]}"
"EFKV","Kivijarvi","Kivijarvi","Finland","FIN",63.125277777777775,25.124166666666667,"{""type"":""Point"",""coordinates"":[25.124166666666667,63.125277777777775]}"
"EFKS","Kuusamo","Kuusamo","Finland","FIN",65.99027777777778,29.231944444444444,"{""type"":""Point"",""coordinates"":[29.231944444444444,65.99027777777778]}"
"EFVT","Sulkaharju","Sulkaharju","Finland","FIN",63.397777777777776,24.030555555555555,"{""type"":""Point"",""coordinates"":[24.030555555555555,63.397777777777776]}"
"EFKR","Karsamaki","Karsamaki","Finland","FIN",63.98916666666667,25.74361111111111,"{""type"":""Point"",""coordinates"":[25.74361111111111,63.98916666666667]}"
"EFKO","Kalajoki","Kalajoki","Finland","FIN",64.2286111111111,23.826666666666668,"{""type"":""Point"",""coordinates"":[23.826666666666668,64.2286111111111]}"
"EFKN","Kannus","Kannus","Finland","FIN",63.92055555555555,24.086666666666666,"{""type"":""Point"",""coordinates"":[24.086666666666666,63.92055555555555]}"
"EFKT","Kittila","Kittila","Finland","FIN",67.69861111111112,24.848055555555554,"{""type"":""Point"",""coordinates"":[24.848055555555554,67.69861111111112]}"
"EFKM","Kemijarvi","Kemijarvi","Finland","FIN",66.71583333333334,27.15722222222222,"{""type"":""Point"",""coordinates"":[27.15722222222222,66.71583333333334]}"
"EFVA","Vaasa","Vaasa","Finland","FIN",63.04527777777778,21.764166666666668,"{""type"":""Point"",""coordinates"":[21.764166666666668,63.04527777777778]}"
"EFKY","Kymi","Kymi","Finland","FIN",60.57138888888889,26.89611111111111,"{""type"":""Point"",""coordinates"":[26.89611111111111,60.57138888888889]}"
"EFVL","Vaala","Vaala","Finland","FIN",64.50194444444445,26.76,"{""type"":""Point"",""coordinates"":[26.76,64.50194444444445]}"
"EFKJ","Kauhajoki","Kauhajoki","Finland","FIN",62.46361111111111,22.391111111111112,"{""type"":""Point"",""coordinates"":[22.391111111111112,62.46361111111111]}"
"EFKK","Kokkola-Pietarsaari","Kokkola-Pietarsaari","Finland","FIN",63.72027777777778,23.139166666666664,"{""type"":""Point"",""coordinates"":[23.139166666666664,63.72027777777778]}"
"EFKI","Kajaani","Kajaani","Finland","FIN",64.28416666666666,27.6875,"{""type"":""Point"",""coordinates"":[27.6875,64.28416666666666]}"
"EFME","Menkijarvi","Menkijarvi","Finland","FIN",62.946666666666665,23.51888888888889,"{""type"":""Point"",""coordinates"":[23.51888888888889,62.946666666666665]}"
"EFHN","Hanko","Hanko","Finland","FIN",59.845555555555556,23.08222222222222,"{""type"":""Point"",""coordinates"":[23.08222222222222,59.845555555555556]}"
"EFKH","Kuhmo","Kuhmo","Finland","FIN",64.1125,29.43861111111111,"{""type"":""Point"",""coordinates"":[29.43861111111111,64.1125]}"
"EFHM","Hameenkyro","Hameenkyro","Finland","FIN",61.69027777777777,23.074166666666667,"{""type"":""Point"",""coordinates"":[23.074166666666667,61.69027777777777]}"
"EFLN","Lieksa-Nurmes","Lieksa-Nurmes","Finland","FIN",63.511944444444445,29.629166666666666,"{""type"":""Point"",""coordinates"":[29.629166666666666,63.511944444444445]}"
"EFII","Iisalmi","Iisalmi","Finland","FIN",63.63194444444444,27.122222222222224,"{""type"":""Point"",""coordinates"":[27.122222222222224,63.63194444444444]}"
"EFAA","Aavahelukka","Aavahelukka","Finland","FIN",67.6036111111111,23.971666666666664,"{""type"":""Point"",""coordinates"":[23.971666666666664,67.6036111111111]}"
