"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"NFSW","Yasawa","Nadi","Fiji Is","FJI",-16.759444444444444,177.54583333333332,"{""type"":""Point"",""coordinates"":[177.54583333333332,-16.759444444444444]}"
"NFNW","Wakaya","Suva","Fiji Is","FJI",-17.628611111111113,179.01,"{""type"":""Point"",""coordinates"":[179.01,-17.628611111111113]}"
"NFNO","Koro","Koro","Fiji Is","FJI",-17.34583333333333,179.42194444444445,"{""type"":""Point"",""coordinates"":[179.42194444444445,-17.34583333333333]}"
"NFNL","Labasa","Labasa","Fiji Is","FJI",-16.46861111111111,179.33972222222224,"{""type"":""Point"",""coordinates"":[179.33972222222224,-16.46861111111111]}"
"NFNR","Rotuma","Rotuma","Fiji Is","FJI",-12.482777777777779,177.0711111111111,"{""type"":""Point"",""coordinates"":[177.0711111111111,-12.482777777777779]}"
"NFCI","Cicia","Cicia","Fiji Is","FJI",-17.74361111111111,-179.34194444444447,"{""type"":""Point"",""coordinates"":[-179.34194444444447,-17.74361111111111]}"
"NFNG","Gau","Gau","Fiji Is","FJI",-18.115555555555556,179.33972222222224,"{""type"":""Point"",""coordinates"":[179.33972222222224,-18.115555555555556]}"
"NFNK","Lakeba","Lakeba","Fiji Is","FJI",-18.2,-178.81611111111113,"{""type"":""Point"",""coordinates"":[-178.81611111111113,-18.2]}"
"NFKB","Kaibu","Nadi","Fiji Is","FJI",-17.254444444444445,-179.4886111111111,"{""type"":""Point"",""coordinates"":[-179.4886111111111,-17.254444444444445]}"
"NFFO","Malolo Lailai","Malolo Lailai","Fiji Is","FJI",-17.778055555555554,177.19666666666666,"{""type"":""Point"",""coordinates"":[177.19666666666666,-17.778055555555554]}"
"NFVB","Vanuabalavu","Vanuabalavu","Fiji Is","FJI",-17.245,-178.95916666666665,"{""type"":""Point"",""coordinates"":[-178.95916666666665,-17.245]}"
"NFNH","Laucala","Laucala","Fiji Is","FJI",-16.746666666666666,-179.66666666666666,"{""type"":""Point"",""coordinates"":[-179.66666666666666,-16.746666666666666]}"
"NFMO","Moala","Moala","Fiji Is","FJI",-18.56722222222222,179.9511111111111,"{""type"":""Point"",""coordinates"":[179.9511111111111,-18.56722222222222]}"
"NFNA","Nausori Intl","Nausori","Fiji Is","FJI",-18.044722222222223,178.55944444444447,"{""type"":""Point"",""coordinates"":[178.55944444444447,-18.044722222222223]}"
"NFNM","Matei","Matei","Fiji Is","FJI",-16.690555555555555,-179.8775,"{""type"":""Point"",""coordinates"":[-179.8775,-16.690555555555555]}"
"NFFN","Nadi Intl","Nadi","Fiji Is","FJI",-17.75638888888889,177.44361111111112,"{""type"":""Point"",""coordinates"":[177.44361111111112,-17.75638888888889]}"
"NFKD","Namalata","Kadavu, Fiji Is","Fiji Is","FJI",-19.058055555555555,178.15722222222223,"{""type"":""Point"",""coordinates"":[178.15722222222223,-19.058055555555555]}"
"NFVL","Vatulele Island","Vatulele Island","Fiji Is","FJI",-18.51222222222222,177.63861111111112,"{""type"":""Point"",""coordinates"":[177.63861111111112,-18.51222222222222]}"
"NFNS","Savusavu","Savusavu","Fiji Is","FJI",-16.799722222222226,179.3388888888889,"{""type"":""Point"",""coordinates"":[179.3388888888889,-16.799722222222226]}"
"NFNB","Bureta","Nausori","Fiji Is","FJI",-17.711666666666666,178.75611111111112,"{""type"":""Point"",""coordinates"":[178.75611111111112,-17.711666666666666]}"
