"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"LFYV","Baons le Comte","Yvetot","France","FRA",49.63861111111111,0.7325,"{""type"":""Point"",""coordinates"":[0.7325,49.63861111111111]}"
"LFYS","Sainte Leocadie","Sainte Leocadie","France","FRA",42.447222222222216,2.0108333333333333,"{""type"":""Point"",""coordinates"":[2.0108333333333333,42.447222222222216]}"
"LFYR","Pruniers","Romorantin","France","FRA",47.32083333333334,1.6888888888888889,"{""type"":""Point"",""coordinates"":[1.6888888888888889,47.32083333333334]}"
"LFYG","Niergnies","Cambrai","France","FRA",50.1425,3.265,"{""type"":""Point"",""coordinates"":[3.265,50.1425]}"
"LFXU","Les Mureaux","Les Mureaux","France","FRA",48.99861111111111,1.9416666666666667,"{""type"":""Point"",""coordinates"":[1.9416666666666667,48.99861111111111]}"
"LFXQ","Coetquidan","Coetquidan","France","FRA",47.943888888888885,-2.1819444444444445,"{""type"":""Point"",""coordinates"":[-2.1819444444444445,47.943888888888885]}"
"LFXI","St Christol AB","St Christol","France","FRA",44.052499999999995,5.493888888888889,"{""type"":""Point"",""coordinates"":[5.493888888888889,44.052499999999995]}"
"LFXA","Amberieu AB","Amberieu","France","FRA",45.97972222222222,5.337777777777777,"{""type"":""Point"",""coordinates"":[5.337777777777777,45.97972222222222]}"
"LFTQ","Pouance","Chateaubriant","France","FRA",47.739444444444445,-1.1902777777777778,"{""type"":""Point"",""coordinates"":[-1.1902777777777778,47.739444444444445]}"
"LFTN","La Grand'Combe","La Grand'Combe","France","FRA",44.24305555555556,4.011111111111111,"{""type"":""Point"",""coordinates"":[4.011111111111111,44.24305555555556]}"
"LFTH","Le Palyvestre Navy","Hyeres","France","FRA",43.09722222222222,6.146111111111112,"{""type"":""Point"",""coordinates"":[6.146111111111112,43.09722222222222]}"
"LFSW","Plivot","Epernay","France","FRA",49.004444444444445,4.085277777777778,"{""type"":""Point"",""coordinates"":[4.085277777777778,49.004444444444445]}"
"LFSU","Langres-Rolampont","Langres-Rolampont","France","FRA",47.96416666666667,5.293611111111111,"{""type"":""Point"",""coordinates"":[5.293611111111111,47.96416666666667]}"
"LFST","Entzheim","Strasbourg","France","FRA",48.54194444444444,7.634444444444444,"{""type"":""Point"",""coordinates"":[7.634444444444444,48.54194444444444]}"
"LFSS","Saint Sulpice Des Landes","Saint Sulpice Des Landes","France","FRA",47.791666666666664,-1.6436111111111111,"{""type"":""Point"",""coordinates"":[-1.6436111111111111,47.791666666666664]}"
"LFSP","Pontarlier","Pontarlier","France","FRA",46.90833333333333,6.329166666666667,"{""type"":""Point"",""coordinates"":[6.329166666666667,46.90833333333333]}"
"LFSM","Courcelles","Montbeliard","France","FRA",47.486666666666665,6.791388888888889,"{""type"":""Point"",""coordinates"":[6.791388888888889,47.486666666666665]}"
"LFSL","Souillac","Brive","France","FRA",45.03972222222222,1.4855555555555555,"{""type"":""Point"",""coordinates"":[1.4855555555555555,45.03972222222222]}"
"LFSI","Robinson AB","St Dizier","France","FRA",48.63361111111111,4.908055555555556,"{""type"":""Point"",""coordinates"":[4.908055555555556,48.63361111111111]}"
"LFSG","Mirecourt","Epinal","France","FRA",48.325,6.066666666666666,"{""type"":""Point"",""coordinates"":[6.066666666666666,48.325]}"
"LFSE","Dogneville","Epinal","France","FRA",48.21138888888889,6.448333333333333,"{""type"":""Point"",""coordinates"":[6.448333333333333,48.21138888888889]}"
"LFSD","Longvic","Dijon","France","FRA",47.26583333333333,5.095,"{""type"":""Point"",""coordinates"":[5.095,47.26583333333333]}"
"LFSB","Basle-Mulhouse","Basle-Mulhouse","France","FRA",47.59,7.529166666666667,"{""type"":""Point"",""coordinates"":[7.529166666666667,47.59]}"
"LFZZ","Airbus Trng","Airbus","France","FRA",46.4065,4.021083333333333,"{""type"":""Point"",""coordinates"":[4.021083333333333,46.4065]}"
"LFSO","Ochey AB","Nancy","France","FRA",48.58318611111111,5.954525,"{""type"":""Point"",""coordinates"":[5.954525,48.58318611111111]}"
"LFSA","Thise","Besancon","France","FRA",47.27361111111111,6.083055555555555,"{""type"":""Point"",""coordinates"":[6.083055555555555,47.27361111111111]}"
"LFRW","Le Val St Pere","Avranches","France","FRA",48.66083333333333,-1.4058333333333333,"{""type"":""Point"",""coordinates"":[-1.4058333333333333,48.66083333333333]}"
"LFRU","Ploujean","Morlaix","France","FRA",48.600833333333334,-3.8166666666666664,"{""type"":""Point"",""coordinates"":[-3.8166666666666664,48.600833333333334]}"
"LFRT","Armor","St Brieuc","France","FRA",48.5375,-2.856666666666667,"{""type"":""Point"",""coordinates"":[-2.856666666666667,48.5375]}"
"LFRS","Nantes/Atlantique","Nantes/Atlantique","France","FRA",47.15694444444444,-1.607777777777778,"{""type"":""Point"",""coordinates"":[-1.607777777777778,47.15694444444444]}"
"LFRL","Poulmic Navy","Lanveoc","France","FRA",48.2825,-4.443611111111111,"{""type"":""Point"",""coordinates"":[-4.443611111111111,48.2825]}"
"LFRJ","Landivisiau Navy","Landivisiau","France","FRA",48.53025833333333,-4.151641666666667,"{""type"":""Point"",""coordinates"":[-4.151641666666667,48.53025833333333]}"
"LFRI","Les Ajoncs","La Roche-Sur-Yon","France","FRA",46.7025,-1.3816666666666666,"{""type"":""Point"",""coordinates"":[-1.3816666666666666,46.7025]}"
"LFAK","Les Moeres","Dunkerque","France","FRA",51.04055555555556,2.5502777777777776,"{""type"":""Point"",""coordinates"":[2.5502777777777776,51.04055555555556]}"
"LFRH","Lann-Bihoue","Lorient","France","FRA",47.760555555555555,-3.4400000000000004,"{""type"":""Point"",""coordinates"":[-3.4400000000000004,47.760555555555555]}"
"LFIT","Bourg-St Bernard","Toulouse","France","FRA",43.611111111111114,1.7241666666666668,"{""type"":""Point"",""coordinates"":[1.7241666666666668,43.611111111111114]}"
"LFRG","Normandie","Deauville","France","FRA",49.36333333333334,0.16,"{""type"":""Point"",""coordinates"":[0.16,49.36333333333334]}"
"LFBY","Seyresse","Dax","France","FRA",43.689166666666665,-1.0688888888888888,"{""type"":""Point"",""coordinates"":[-1.0688888888888888,43.689166666666665]}"
"LFHP","Loudes","Le Puy","France","FRA",45.07972222222222,3.763333333333333,"{""type"":""Point"",""coordinates"":[3.763333333333333,45.07972222222222]}"
"LFRF","Mont Saint Michel","Granville","France","FRA",48.882777777777775,-1.5638888888888889,"{""type"":""Point"",""coordinates"":[-1.5638888888888889,48.882777777777775]}"
"LFRE","La Baule-Escoublac","La Baule-Escoublac","France","FRA",47.288333333333334,-2.3469444444444445,"{""type"":""Point"",""coordinates"":[-2.3469444444444445,47.288333333333334]}"
"LFSH","Haguenau","Haguenau","France","FRA",48.79694444444444,7.819166666666667,"{""type"":""Point"",""coordinates"":[7.819166666666667,48.79694444444444]}"
"LFQZ","Gueblange","Dieuze","France","FRA",48.77444444444444,6.714166666666667,"{""type"":""Point"",""coordinates"":[6.714166666666667,48.77444444444444]}"
"LFQW","Frotey","Vesoul","France","FRA",47.63861111111111,6.204166666666667,"{""type"":""Point"",""coordinates"":[6.204166666666667,47.63861111111111]}"
"LFNL","St Martin De Londres","St Martin De Londres","France","FRA",43.80027777777777,3.7816666666666667,"{""type"":""Point"",""coordinates"":[3.7816666666666667,43.80027777777777]}"
"LFQV","Charleville-Mezieres","Charleville-Mezieres","France","FRA",49.785,4.642777777777777,"{""type"":""Point"",""coordinates"":[4.642777777777777,49.785]}"
"LFKL","Brindas","Lyon","France","FRA",45.71055555555556,4.696666666666667,"{""type"":""Point"",""coordinates"":[4.696666666666667,45.71055555555556]}"
"LFRK","Carpiquet","Caen","France","FRA",49.17333333333333,-0.45,"{""type"":""Point"",""coordinates"":[-0.45,49.17333333333333]}"
"LFQT","Calonne","Merville","France","FRA",50.61666666666667,2.64,"{""type"":""Point"",""coordinates"":[2.64,50.61666666666667]}"
"LFQS","Vitry En Artois","Vitry En Artois","France","FRA",50.33833333333334,2.993333333333333,"{""type"":""Point"",""coordinates"":[2.993333333333333,50.33833333333334]}"
"LFQP","Bourscheid","Phalsbourg","France","FRA",48.76815277777778,7.205127777777778,"{""type"":""Point"",""coordinates"":[7.205127777777778,48.76815277777778]}"
"LFFH","Belleau","Chateau-Thierry","France","FRA",49.06666666666667,3.3555555555555556,"{""type"":""Point"",""coordinates"":[3.3555555555555556,49.06666666666667]}"
"LFOX","Mondesir","Etampes","France","FRA",48.38111111111111,2.073888888888889,"{""type"":""Point"",""coordinates"":[2.073888888888889,48.38111111111111]}"
"LFQL","Benifontaine","Lens","France","FRA",50.46638888888889,2.819722222222222,"{""type"":""Point"",""coordinates"":[2.819722222222222,50.46638888888889]}"
"LFRQ","Pluguffan","Quimper","France","FRA",47.975,-4.167777777777778,"{""type"":""Point"",""coordinates"":[-4.167777777777778,47.975]}"
"LFQK","Ecury-Sur-Coole","Chalons","France","FRA",48.90555555555555,4.352777777777778,"{""type"":""Point"",""coordinates"":[4.352777777777778,48.90555555555555]}"
"LFFT","Neufchateau","Neufchateau","France","FRA",48.361666666666665,5.720277777777778,"{""type"":""Point"",""coordinates"":[5.720277777777778,48.361666666666665]}"
"LFQF","Bellevue","Autun","France","FRA",46.971111111111114,4.261111111111111,"{""type"":""Point"",""coordinates"":[4.261111111111111,46.971111111111114]}"
"LFQC","Croismare","Luneville","France","FRA",48.593611111111116,6.542222222222222,"{""type"":""Point"",""coordinates"":[6.542222222222222,48.593611111111116]}"
"LFMI","Le Tube","Istres","France","FRA",43.522394444444444,4.924236111111111,"{""type"":""Point"",""coordinates"":[4.924236111111111,43.522394444444444]}"
"LFLJ","Courchevel","Courchevel","France","FRA",45.395833333333336,6.6325,"{""type"":""Point"",""coordinates"":[6.6325,45.395833333333336]}"
"LFQB","Barberey","Troyes","France","FRA",48.32166666666667,4.016666666666667,"{""type"":""Point"",""coordinates"":[4.016666666666667,48.32166666666667]}"
"LFQA","Prunay","Reims","France","FRA",49.20861111111111,4.156666666666667,"{""type"":""Point"",""coordinates"":[4.156666666666667,49.20861111111111]}"
