"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"FOOS","Sette-Cama","Sette-Cama","Gabon","GAB",-2.533333333333333,9.766666666666667,"{""type"":""Point"",""coordinates"":[9.766666666666667,-2.533333333333333]}"
"FOON","M'Vengue","Franceville","Gabon","GAB",-1.6519444444444444,13.434722222222222,"{""type"":""Point"",""coordinates"":[13.434722222222222,-1.6519444444444444]}"
"FOOT","Tchibanga","Tchibanga","Gabon","GAB",-2.8882222222222222,10.955416666666666,"{""type"":""Point"",""coordinates"":[10.955416666666666,-2.8882222222222222]}"
"FOOL","Leon M'BA","Libreville","Gabon","GAB",0.45833333333333337,9.412222222222223,"{""type"":""Point"",""coordinates"":[9.412222222222223,0.45833333333333337]}"
"FOOH","Omboue Hospital","Omboue","Gabon","GAB",-1.5833333333333335,9.266666666666667,"{""type"":""Point"",""coordinates"":[9.266666666666667,-1.5833333333333335]}"
"FOOM","Mitzic","Mitzic","Gabon","GAB",0.7833333333333333,11.55,"{""type"":""Point"",""coordinates"":[11.55,0.7833333333333333]}"
"FOOG","Port Gentil","Port Gentil","Gabon","GAB",-0.7192777777777778,8.75136111111111,"{""type"":""Point"",""coordinates"":[8.75136111111111,-0.7192777777777778]}"
"FOOE","Mekambo","Mekambo","Gabon","GAB",0.9666666666666667,13.95,"{""type"":""Point"",""coordinates"":[13.95,0.9666666666666667]}"
"FOOB","Bitam","Bitam","Gabon","GAB",2.0772222222222223,11.492111111111111,"{""type"":""Point"",""coordinates"":[11.492111111111111,2.0772222222222223]}"
"FOGE","Ndende","Ndende","Gabon","GAB",-2.3666666666666667,11.416666666666666,"{""type"":""Point"",""coordinates"":[11.416666666666666,-2.3666666666666667]}"
"FOGV","Minvoul","Minvoul","Gabon","GAB",2.15,12.116666666666667,"{""type"":""Point"",""coordinates"":[12.116666666666667,2.15]}"
"FOGI","Moabi","Moabi","Gabon","GAB",-2.4333333333333336,11,"{""type"":""Point"",""coordinates"":[11,-2.4333333333333336]}"
"FOGO","Oyem","Oyem","Gabon","GAB",1.5369444444444442,11.57861111111111,"{""type"":""Point"",""coordinates"":[11.57861111111111,1.5369444444444442]}"
"FOGQ","Okondja","Okondja","Gabon","GAB",-0.6641666666666667,13.672777777777776,"{""type"":""Point"",""coordinates"":[13.672777777777776,-0.6641666666666667]}"
"FOGM","Mouila Ville","Mouila","Gabon","GAB",-1.8458972222222223,11.056775,"{""type"":""Point"",""coordinates"":[11.056775,-1.8458972222222223]}"
"FOOR","Lastourville","Lastourville","Gabon","GAB",-0.8333333333333334,12.75,"{""type"":""Point"",""coordinates"":[12.75,-0.8333333333333334]}"
"FOGB","Booue","Booue","Gabon","GAB",-0.1,11.95,"{""type"":""Point"",""coordinates"":[11.95,-0.1]}"
"FOGF","Fougamou","Fougamou","Gabon","GAB",-1.2833333333333332,10.616666666666667,"{""type"":""Point"",""coordinates"":[10.616666666666667,-1.2833333333333332]}"
"FOGR","Lambarene","Lambarene","Gabon","GAB",-0.7047249999999999,10.24504722222222,"{""type"":""Point"",""coordinates"":[10.24504722222222,-0.7047249999999999]}"
"FOOD","Bangombe","Moanda","Gabon","GAB",-1.5263888888888888,13.251111111111111,"{""type"":""Point"",""coordinates"":[13.251111111111111,-1.5263888888888888]}"
