"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"EGYM","Marham","Marham","UK","GBR",52.648405555555556,0.5506722222222222,"{""type"":""Point"",""coordinates"":[0.5506722222222222,52.648405555555556]}"
"EGYE","Barkston Heath","Barkston Heath","UK","GBR",52.962983333333334,-0.5603222222222223,"{""type"":""Point"",""coordinates"":[-0.5603222222222223,52.962983333333334]}"
"EGXZ","Topcliffe","Topcliffe","UK","GBR",54.2055,-1.3821666666666668,"{""type"":""Point"",""coordinates"":[-1.3821666666666668,54.2055]}"
"EGXW","Waddington","Waddington","UK","GBR",53.16616111111111,-0.523838888888889,"{""type"":""Point"",""coordinates"":[-0.523838888888889,53.16616111111111]}"
"EGXT","Wittering","Wittering","UK","GBR",52.613055555555555,-0.4759055555555556,"{""type"":""Point"",""coordinates"":[-0.4759055555555556,52.613055555555555]}"
"EGXD","Dishforth","Dishforth","UK","GBR",54.136852777777776,-1.4199694444444446,"{""type"":""Point"",""coordinates"":[-1.4199694444444446,54.136852777777776]}"
"EGWN","Halton AB","Halton","UK","GBR",51.7925,-0.7378333333333332,"{""type"":""Point"",""coordinates"":[-0.7378333333333332,51.7925]}"
"EGWE","Henlow","Henlow","UK","GBR",52.01954722222222,-0.3018194444444444,"{""type"":""Point"",""coordinates"":[-0.3018194444444444,52.01954722222222]}"
"EGUY","Wyton","Wyton","UK","GBR",52.35711388888889,-0.10782222222222222,"{""type"":""Point"",""coordinates"":[-0.10782222222222222,52.35711388888889]}"
"EGUW","Wattisham","Wattisham","UK","GBR",52.127027777777776,0.9554138888888889,"{""type"":""Point"",""coordinates"":[0.9554138888888889,52.127027777777776]}"
"EGWU","Northolt","Northolt","UK","GBR",51.55271388888889,-0.41959722222222223,"{""type"":""Point"",""coordinates"":[-0.41959722222222223,51.55271388888889]}"
"EGUL","Lakenheath AB","Lakenheath","UK","GBR",52.40940277777778,0.5610111111111111,"{""type"":""Point"",""coordinates"":[0.5610111111111111,52.40940277777778]}"
"EGVA","Fairford AB","Fairford","UK","GBR",51.68351944444444,-1.7899916666666666,"{""type"":""Point"",""coordinates"":[-1.7899916666666666,51.68351944444444]}"
