"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"LGTT","Tatoi","Dekelia","Greece","GRC",38.10722222222223,23.766111111111112,"{""type"":""Point"",""coordinates"":[23.766111111111112,38.10722222222223]}"
"LGSY","Skiros AB","Skiros","Greece","GRC",38.9675,24.4875,"{""type"":""Point"",""coordinates"":[24.4875,38.9675]}"
"LGTL","Kasteli","Kasteli","Greece","GRC",35.19305555555555,25.329166666666666,"{""type"":""Point"",""coordinates"":[25.329166666666666,35.19305555555555]}"
"LGZA","Dionisios Solomos","Zakinthos","Greece","GRC",37.75111111111111,20.884166666666665,"{""type"":""Point"",""coordinates"":[20.884166666666665,37.75111111111111]}"
"LGSV","Stefanovikion Army","Stefanovikion","Greece","GRC",39.475,22.783333333333335,"{""type"":""Point"",""coordinates"":[22.783333333333335,39.475]}"
"LGST","Vitsentzos Kornaros","Sitia","Greece","GRC",35.21611111111111,26.101111111111113,"{""type"":""Point"",""coordinates"":[26.101111111111113,35.21611111111111]}"
"LGKZ","Filippos","Kozani","Greece","GRC",40.28583333333333,21.841666666666665,"{""type"":""Point"",""coordinates"":[21.841666666666665,40.28583333333333]}"
"LGSR","Santorini","Santorini","Greece","GRC",36.399166666666666,25.479166666666664,"{""type"":""Point"",""coordinates"":[25.479166666666664,36.399166666666666]}"
"LGTG","Tanagra","Tanagra","Greece","GRC",38.333333333333336,23.55,"{""type"":""Point"",""coordinates"":[23.55,38.333333333333336]}"
"LGSO","Dimitrios Vikelas","Syros","Greece","GRC",37.42305555555555,24.95,"{""type"":""Point"",""coordinates"":[24.95,37.42305555555555]}"
"LGRX","Araxos","Araxos","Greece","GRC",38.151111111111106,21.425555555555558,"{""type"":""Point"",""coordinates"":[21.425555555555558,38.151111111111106]}"
"LGAX","Alexandria","Alexandria","Greece","GRC",40.651111111111106,22.48888888888889,"{""type"":""Point"",""coordinates"":[22.48888888888889,40.651111111111106]}"
"LGPZ","Aktion","Preveza","Greece","GRC",38.925555555555555,20.765,"{""type"":""Point"",""coordinates"":[20.765,38.925555555555555]}"
"LGTS","Makedonia","Thessaloniki","Greece","GRC",40.51972222222222,22.970916666666664,"{""type"":""Point"",""coordinates"":[22.970916666666664,40.51972222222222]}"
"LGMG","Megara","Megara","Greece","GRC",37.981388888888894,23.366111111111113,"{""type"":""Point"",""coordinates"":[23.366111111111113,37.981388888888894]}"
"LGNX","Naxos","Naxos","Greece","GRC",37.08111111111111,25.368055555555557,"{""type"":""Point"",""coordinates"":[25.368055555555557,37.08111111111111]}"
"LGMT","Odysseas Elytis","Mitilini","Greece","GRC",39.05777777777777,26.59861111111111,"{""type"":""Point"",""coordinates"":[26.59861111111111,39.05777777777777]}"
"LGBL","Nea Anchialos","Almiros","Greece","GRC",39.21944444444445,22.794444444444448,"{""type"":""Point"",""coordinates"":[22.794444444444448,39.21944444444445]}"
"LGAD","Andravida","Andravida","Greece","GRC",37.92527777777777,21.29138888888889,"{""type"":""Point"",""coordinates"":[21.29138888888889,37.92527777777777]}"
"LGML","Milos","Milos","Greece","GRC",36.69694444444444,24.47694444444444,"{""type"":""Point"",""coordinates"":[24.47694444444444,36.69694444444444]}"
"LGSM","Aristarchos of Samos","Samos","Greece","GRC",37.689166666666665,26.91222222222222,"{""type"":""Point"",""coordinates"":[26.91222222222222,37.689166666666665]}"
