"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"SYOR","Orinduik","Orinduik","Guyana","GUY",4.7266305555555554,-60.03392222222222,"{""type"":""Point"",""coordinates"":[-60.03392222222222,4.7266305555555554]}"
"SYMD","Mahdia","Mahdia","Guyana","GUY",5.277155555555556,-59.15155,"{""type"":""Point"",""coordinates"":[-59.15155,5.277155555555556]}"
"SYMP","Mountain Point","Mountain Point Guyana","Guyana","GUY",3,-59.63333333333333,"{""type"":""Point"",""coordinates"":[-59.63333333333333,3]}"
"SYLD","Linden","Linden","Guyana","GUY",5.9660166666666665,-58.270469444444444,"{""type"":""Point"",""coordinates"":[-58.270469444444444,5.9660166666666665]}"
"SYAW","Awaruwaunau","Awaruwaunau","Guyana","GUY",2.6475027777777775,-59.19444444444444,"{""type"":""Point"",""coordinates"":[-59.19444444444444,2.6475027777777775]}"
"SYKT","Kato","Kato","Guyana","GUY",4.651400000000001,-59.82879166666667,"{""type"":""Point"",""coordinates"":[-59.82879166666667,4.651400000000001]}"
"SYAH","Aishalton","Aishalton","Guyana","GUY",2.4727555555555556,-59.321575,"{""type"":""Point"",""coordinates"":[-59.321575,2.4727555555555556]}"
"SYKM","Kamarang","Kamarang","Guyana","GUY",5.863824999999999,-60.617108333333334,"{""type"":""Point"",""coordinates"":[-60.617108333333334,5.863824999999999]}"
"SYAN","Annai","Annai","Guyana","GUY",3.9590916666666667,-59.12460277777778,"{""type"":""Point"",""coordinates"":[-59.12460277777778,3.9590916666666667]}"
"SYCJ","Cheddi Jagan Intl","Georgetown","Guyana","GUY",6.498927777777777,-58.254352777777775,"{""type"":""Point"",""coordinates"":[-58.254352777777775,6.498927777777777]}"
"SYKK","Kurukabaru","Kurukabaru Guyana","Guyana","GUY",4.714094444444445,-59.911274999999996,"{""type"":""Point"",""coordinates"":[-59.911274999999996,4.714094444444445]}"
"SYIB","Imbaimadai","Imbaimadai","Guyana","GUY",5.704377777777778,-60.2985,"{""type"":""Point"",""coordinates"":[-60.2985,5.704377777777778]}"
"SYEB","Ebini","Ebini","Guyana","GUY",5.5682833333333335,-57.77847777777777,"{""type"":""Point"",""coordinates"":[-57.77847777777777,5.5682833333333335]}"
"SYKA","Kaieteur","Kaieteur","Guyana","GUY",5.1772583333333335,-59.489025,"{""type"":""Point"",""coordinates"":[-59.489025,5.1772583333333335]}"
"SYKR","Karanambo","Karanambo","Guyana","GUY",3.751588888888889,-59.310158333333334,"{""type"":""Point"",""coordinates"":[-59.310158333333334,3.751588888888889]}"
"SYLP","Lumidpau","Lumidpau","Guyana","GUY",2.394772222222222,-59.440825,"{""type"":""Point"",""coordinates"":[-59.440825,2.394772222222222]}"
"SYAP","Apoteri","Apoteri","Guyana","GUY",4.015155555555555,-58.60384166666667,"{""type"":""Point"",""coordinates"":[-58.60384166666667,4.015155555555555]}"
"SYGO","Ogle Intl","Georgetown","Guyana","GUY",6.805911111111111,-58.10760277777778,"{""type"":""Point"",""coordinates"":[-58.10760277777778,6.805911111111111]}"
"SYLT","Lethem","Lethem","Guyana","GUY",3.368533333333333,-59.796549999999996,"{""type"":""Point"",""coordinates"":[-59.796549999999996,3.368533333333333]}"
