"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"MHSC","Coronel Enrique Soto Cano AB","Comayagua","Honduras","HND",14.382375,-87.6211611111111,"{""type"":""Point"",""coordinates"":[-87.6211611111111,14.382375]}"
"MHTG","Toncontin Intl","Tegucigalpa","Honduras","HND",14.060255555555557,-87.21741111111112,"{""type"":""Point"",""coordinates"":[-87.21741111111112,14.060255555555557]}"
"MHRO","Juan Manuel Galvez Intl","Roatan","Honduras","HND",16.317283333333332,-86.52229444444444,"{""type"":""Point"",""coordinates"":[-86.52229444444444,16.317283333333332]}"
"MHLE","La Esperanza","La Esperanza","Honduras","HND",14.266666666666667,-88.16666666666667,"{""type"":""Point"",""coordinates"":[-88.16666666666667,14.266666666666667]}"
"MHPL","Puerto Lempira","Puerto Lempira","Honduras","HND",15.271111111111113,-83.78388888888888,"{""type"":""Point"",""coordinates"":[-83.78388888888888,15.271111111111113]}"
"MHLM","Ramon Villeda Morales Intl","San Pedro Sula","Honduras","HND",15.451958333333332,-87.92415277777778,"{""type"":""Point"",""coordinates"":[-87.92415277777778,15.451958333333332]}"
1795,"Bonito Oriental","Bonito Oriental","Honduras","HND",15.747222222222222,-85.72027777777778,"{""type"":""Point"",""coordinates"":[-85.72027777777778,15.747222222222222]}"
"MHLC","Goloson Intl","La Ceiba","Honduras","HND",15.742363888888889,-86.85330277777777,"{""type"":""Point"",""coordinates"":[-86.85330277777777,15.742363888888889]}"
"MHCA","Catacamas","Catacamas","Honduras","HND",14.916666666666666,-85.9,"{""type"":""Point"",""coordinates"":[-85.9,14.916666666666666]}"
"MHTE","Tela","Tela","Honduras","HND",15.776000000000002,-87.47583333333334,"{""type"":""Point"",""coordinates"":[-87.47583333333334,15.776000000000002]}"
"MHIC","Islas Del Cisne","Islas Del Cisne I.","Honduras","HND",17.4,-83.93333333333334,"{""type"":""Point"",""coordinates"":[-83.93333333333334,17.4]}"
1806,"La Lima","La Lima","Honduras","HND",15.443333333333333,-87.89833333333334,"{""type"":""Point"",""coordinates"":[-87.89833333333334,15.443333333333333]}"
1796,"La Laguna","Guanaja","Honduras","HND",16.445555555555554,-85.90777777777778,"{""type"":""Point"",""coordinates"":[-85.90777777777778,16.445555555555554]}"
