"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"LDZK","Gubasevo","Zabok","Croatia","HRV",46.012772222222225,15.860127777777777,"{""type"":""Point"",""coordinates"":[15.860127777777777,46.012772222222225]}"
"LDVC","Pribislavec","Cakovec","Croatia","HRV",46.392094444444446,16.500333333333334,"{""type"":""Point"",""coordinates"":[16.500333333333334,46.392094444444446]}"
"LDST","Port Split","Split","Croatia","HRV",43.50345,16.42400277777778,"{""type"":""Point"",""coordinates"":[16.42400277777778,43.50345]}"
"LDRR","Rab","Rab","Croatia","HRV",44.73491388888889,14.764372222222223,"{""type"":""Point"",""coordinates"":[14.764372222222223,44.73491388888889]}"
"LDZA","Pleso","Zagreb","Croatia","HRV",45.74293055555555,16.06877777777778,"{""type"":""Point"",""coordinates"":[16.06877777777778,45.74293055555555]}"
"LDSS","Sinj","Sinj","Croatia","HRV",43.700430555555556,16.671325,"{""type"":""Point"",""coordinates"":[16.671325,43.700430555555556]}"
"LDVR","Daruvar","Daruvar","Croatia","HRV",45.58507222222222,17.21139722222222,"{""type"":""Point"",""coordinates"":[17.21139722222222,45.58507222222222]}"
"LDOC","Cepin","Osijek","Croatia","HRV",45.54103611111111,18.643405555555557,"{""type"":""Point"",""coordinates"":[18.643405555555557,45.54103611111111]}"
"LDSR","Resnik","Split","Croatia","HRV",43.52605,16.313497222222225,"{""type"":""Point"",""coordinates"":[16.313497222222225,43.52605]}"
"LDSP","Kastela","Split","Croatia","HRV",43.53894444444444,16.29796388888889,"{""type"":""Point"",""coordinates"":[16.29796388888889,43.53894444444444]}"
"LDZD","Zemunik","Zadar","Croatia","HRV",44.108269444444446,15.346697222222224,"{""type"":""Point"",""coordinates"":[15.346697222222224,44.108269444444446]}"
"LDSU","Ubli","Lastovo","Croatia","HRV",42.75089444444444,16.813177777777778,"{""type"":""Point"",""coordinates"":[16.813177777777778,42.75089444444444]}"
"LDSL","Vela Luka","Korcula","Croatia","HRV",42.963008333333335,16.692175,"{""type"":""Point"",""coordinates"":[16.692175,42.963008333333335]}"
"LDOB","Borovo Naselje","Vukovar","Croatia","HRV",45.38646388888889,18.96258333333333,"{""type"":""Point"",""coordinates"":[18.96258333333333,45.38646388888889]}"
"LDRO","Otocac","Otocac","Croatia","HRV",44.847055555555556,15.2871,"{""type"":""Point"",""coordinates"":[15.2871,44.847055555555556]}"
"LDRI","Krk Island","Rijeka","Croatia","HRV",45.21688888888889,14.570266666666667,"{""type"":""Point"",""coordinates"":[14.570266666666667,45.21688888888889]}"
"LDLO","Losinj","Losinj Island","Croatia","HRV",44.56590555555555,14.393188888888888,"{""type"":""Point"",""coordinates"":[14.393188888888888,44.56590555555555]}"
"LDPV","Crljenka","Vrsar","Croatia","HRV",45.1417,13.630480555555556,"{""type"":""Point"",""coordinates"":[13.630480555555556,45.1417]}"
"LDRG","Grobnicko Polje","Grobnik","Croatia","HRV",45.379558333333335,14.503494444444444,"{""type"":""Point"",""coordinates"":[14.503494444444444,45.379558333333335]}"
"LDOV","Sopot","Vinkovci","Croatia","HRV",45.250775,18.758769444444443,"{""type"":""Point"",""coordinates"":[18.758769444444443,45.250775]}"
"LDPP","Pula","Pula","Croatia","HRV",44.882575,13.840297222222222,"{""type"":""Point"",""coordinates"":[13.840297222222222,44.882575]}"
"LDSB","Brac Island","Brac","Croatia","HRV",43.285719444444446,16.679719444444444,"{""type"":""Point"",""coordinates"":[16.679719444444444,43.285719444444446]}"
"LDZL","Lucko","Zagreb","Croatia","HRV",45.766777777777776,15.848694444444446,"{""type"":""Point"",""coordinates"":[15.848694444444446,45.766777777777776]}"
"LDZE","Zvekovac","Zvekovac","Croatia","HRV",45.823172222222226,16.500125,"{""type"":""Point"",""coordinates"":[16.500125,45.823172222222226]}"
"LDOS","Klisa","Osijek","Croatia","HRV",45.46266666666667,18.810155555555557,"{""type"":""Point"",""coordinates"":[18.810155555555557,45.46266666666667]}"
"LDDU","Cilipi","Dubrovnik","Croatia","HRV",42.56135277777778,18.268244444444445,"{""type"":""Point"",""coordinates"":[18.268244444444445,42.56135277777778]}"
"LDPL","Pula","Pula","Croatia","HRV",44.89353333333333,13.922191666666667,"{""type"":""Point"",""coordinates"":[13.922191666666667,44.89353333333333]}"
"LDZJ","Brezovac","Bjelovar","Croatia","HRV",45.860841666666666,16.83574722222222,"{""type"":""Point"",""coordinates"":[16.83574722222222,45.860841666666666]}"
"LDSH","Hvar","Hvar","Croatia","HRV",43.18156944444444,16.63341388888889,"{""type"":""Point"",""coordinates"":[16.63341388888889,43.18156944444444]}"
"LDOR","Jelas","Slavonski Brod","Croatia","HRV",45.155877777777775,17.991925000000002,"{""type"":""Point"",""coordinates"":[17.991925000000002,45.155877777777775]}"
"LDSJ","Jelsa","Hvar","Croatia","HRV",43.17275,16.70525,"{""type"":""Point"",""coordinates"":[16.70525,43.17275]}"
