"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"WPOC","Oecussi","Oecussi","Indonesia","IDN",-9.198055555555555,124.33999999999999,"{""type"":""Point"",""coordinates"":[124.33999999999999,-9.198055555555555]}"
"WPEC","Cakung","Baucau","Indonesia","IDN",-8.485469444444444,126.39932777777778,"{""type"":""Point"",""coordinates"":[126.39932777777778,-8.485469444444444]}"
"WPDB","Suai","Suai","Indonesia","IDN",-9.303972222222223,125.28686111111111,"{""type"":""Point"",""coordinates"":[125.28686111111111,-9.303972222222223]}"
"WITT","Sultan Iskandar Muda","Banda Aceh","Indonesia","IDN",5.516944444444444,95.42,"{""type"":""Point"",""coordinates"":[95.42,5.516944444444444]}"
"WITK","Takengon","Rembele","Indonesia","IDN",4.722722222222222,96.85294444444443,"{""type"":""Point"",""coordinates"":[96.85294444444443,4.722722222222222]}"
"WIPP","Sultan M Badaruddin II","Palembang","Indonesia","IDN",-2.9012249999999997,104.70004444444444,"{""type"":""Point"",""coordinates"":[104.70004444444444,-2.9012249999999997]}"
"WIPB","Silampari","Lubuk Linggau","Indonesia","IDN",-3.2841666666666667,102.91416666666667,"{""type"":""Point"",""coordinates"":[102.91416666666667,-3.2841666666666667]}"
"WIOU","Sungai Kunyit","Sungai Kunyit","Indonesia","IDN",-0.016666666666666666,109.33333333333333,"{""type"":""Point"",""coordinates"":[109.33333333333333,-0.016666666666666666]}"
"WIOT","Sungai Dampak","Sungai Dampak","Indonesia","IDN",-0.45,112.2,"{""type"":""Point"",""coordinates"":[112.2,-0.45]}"
"WIOS","Susilo","Sintang","Indonesia","IDN",0.06666666666666667,111.48333333333333,"{""type"":""Point"",""coordinates"":[111.48333333333333,0.06666666666666667]}"
"WIOL","Tanjung Lokang","Tanjung Lokang","Indonesia","IDN",0.7833333333333333,113.66666666666667,"{""type"":""Point"",""coordinates"":[113.66666666666667,0.7833333333333333]}"
"WIOE","Tanjung Beringin","Tanjung Beringin","Indonesia","IDN",-0.3333333333333333,112.16666666666667,"{""type"":""Point"",""coordinates"":[112.16666666666667,-0.3333333333333333]}"
"WIMU","Alas Lauser","Kuta Cane","Indonesia","IDN",3.3872222222222224,97.86166666666666,"{""type"":""Point"",""coordinates"":[97.86166666666666,3.3872222222222224]}"
"WIMS","Dr. Ferdinand Lumban Tobing","Sibolga","Indonesia","IDN",1.5552777777777778,98.8913888888889,"{""type"":""Point"",""coordinates"":[98.8913888888889,1.5552777777777778]}"
"WIMM","Kualanamu International","Medan","Indonesia","IDN",3.6422222222222222,98.88527777777779,"{""type"":""Point"",""coordinates"":[98.88527777777779,3.6422222222222222]}"
"WIML","Lasikin","Sinabang","Indonesia","IDN",2.4119444444444444,96.32888888888888,"{""type"":""Point"",""coordinates"":[96.32888888888888,2.4119444444444444]}"
"WIMI","Syekh Hamzah Fansyuri","Singkil","Indonesia","IDN",2.2725,97.96083333333334,"{""type"":""Point"",""coordinates"":[97.96083333333334,2.2725]}"
"WIMG","Tabing","Padang","Indonesia","IDN",-0.8755555555555555,100.35055555555554,"{""type"":""Point"",""coordinates"":[100.35055555555554,-0.8755555555555555]}"
"WILM","Astra Ksetra","Manggala","Indonesia","IDN",-4.6,105.25,"{""type"":""Point"",""coordinates"":[105.25,-4.6]}"
"WILB","Tamling","Taman Belimbing","Indonesia","IDN",-5.918611111111112,104.56166666666667,"{""type"":""Point"",""coordinates"":[104.56166666666667,-5.918611111111112]}"
"WIKT","H.A.S. Hanandjoeddin","Tanjung Pandan","Indonesia","IDN",-2.745,107.75305555555556,"{""type"":""Point"",""coordinates"":[107.75305555555556,-2.745]}"
"WIOA","Sirang","Sirang","Indonesia","IDN",-0.05,111.11666666666666,"{""type"":""Point"",""coordinates"":[111.11666666666666,-0.05]}"
"WIKK","Depati Amir","Pangkal Pinang","Indonesia","IDN",-2.1625,106.13805555555557,"{""type"":""Point"",""coordinates"":[106.13805555555557,-2.1625]}"
"WIJJ","Sultan Thaha","Jambi","Indonesia","IDN",-1.6355555555555554,103.64305555555556,"{""type"":""Point"",""coordinates"":[103.64305555555556,-1.6355555555555554]}"
"WIJI","Depati Parbo","Kerinci","Indonesia","IDN",-2.091111111111111,101.46277777777777,"{""type"":""Point"",""coordinates"":[101.46277777777777,-2.091111111111111]}"
"WIMT","Teuku Cut Ali","Tapak Tuan","Indonesia","IDN",3.1708333333333334,97.28888888888889,"{""type"":""Point"",""coordinates"":[97.28888888888889,3.1708333333333334]}"
"WIII","Soekarno-Hatta Intl","Jakarta","Indonesia","IDN",-6.123611111111111,106.66111111111111,"{""type"":""Point"",""coordinates"":[106.66111111111111,-6.123611111111111]}"
"WIHC","Lapangan Terbang Olahraga Dirgantara (LAPTERA)","Cibubur","Indonesia","IDN",-6.356944444444444,106.89694444444446,"{""type"":""Point"",""coordinates"":[106.89694444444446,-6.356944444444444]}"
"WIGG","Fatmawati Soekarno","Bengkulu","Indonesia","IDN",-3.861111111111111,102.33944444444444,"{""type"":""Point"",""coordinates"":[102.33944444444444,-3.861111111111111]}"
"WIEE","Minangkabau Intl","Padang Pariaman","Indonesia","IDN",-0.7883333333333333,100.2863888888889,"{""type"":""Point"",""coordinates"":[100.2863888888889,-0.7883333333333333]}"
"WIDS","Dabo","Singkep","Indonesia","IDN",-0.47833333333333333,104.5775,"{""type"":""Point"",""coordinates"":[104.5775,-0.47833333333333333]}"
"WIDO","Ranai","Ranai","Indonesia","IDN",3.913333333333333,108.38833333333334,"{""type"":""Point"",""coordinates"":[108.38833333333334,3.913333333333333]}"
"WIDN","Raja Haji Fisabilillah","Tanjung Pinang","Indonesia","IDN",0.9188888888888889,104.52722222222222,"{""type"":""Point"",""coordinates"":[104.52722222222222,0.9188888888888889]}"
"WIDM","Matak","Tarempa","Indonesia","IDN",3.3469444444444445,106.25833333333334,"{""type"":""Point"",""coordinates"":[106.25833333333334,3.3469444444444445]}"
"WICC","Husein Sastranegara","Bandung","Indonesia","IDN",-6.901944444444445,107.5761111111111,"{""type"":""Point"",""coordinates"":[107.5761111111111,-6.901944444444445]}"
"WIBL","Sultan Syarif Haroen Setia Negara","Pelalawan","Indonesia","IDN",0.5047222222222222,101.92277777777778,"{""type"":""Point"",""coordinates"":[101.92277777777778,0.5047222222222222]}"
"WIBG","Pasir Pangaran","Pasir Pangaraian","Indonesia","IDN",0.8466666666666667,100.37027777777777,"{""type"":""Point"",""coordinates"":[100.37027777777777,0.8466666666666667]}"
"WIBB","Sultan Syarif Kasim II","Pekanbaru","Indonesia","IDN",0.4633333333333333,101.44666666666667,"{""type"":""Point"",""coordinates"":[101.44666666666667,0.4633333333333333]}"
"WAYY","Moses Kilangin","Timika","Indonesia","IDN",-4.5313888888888885,136.88833333333332,"{""type"":""Point"",""coordinates"":[136.88833333333332,-4.5313888888888885]}"
"WAYW","Waren","Waren","Indonesia","IDN",-2.2125000000000004,136.4402777777778,"{""type"":""Point"",""coordinates"":[136.4402777777778,-2.2125000000000004]}"
"WAYO","Obano","Obano","Indonesia","IDN",-3.9166666666666665,136.21666666666667,"{""type"":""Point"",""coordinates"":[136.21666666666667,-3.9166666666666665]}"
"WAYI","Bilai","Bilai","Indonesia","IDN",-3.7333333333333334,136.83333333333334,"{""type"":""Point"",""coordinates"":[136.83333333333334,-3.7333333333333334]}"
"WAYN","Jita","Jita","Indonesia","IDN",-4.8575,137.7011111111111,"{""type"":""Point"",""coordinates"":[137.7011111111111,-4.8575]}"
"WAYE","Enarotali","Enarotali","Indonesia","IDN",-3.9255555555555555,136.37861111111113,"{""type"":""Point"",""coordinates"":[136.37861111111113,-3.9255555555555555]}"
"WAGI","Iskandar","Pangkalan Bun","Indonesia","IDN",-2.704166666666667,111.67055555555557,"{""type"":""Point"",""coordinates"":[111.67055555555557,-2.704166666666667]}"
"WAWW","Halu Oleo","Kendari","Indonesia","IDN",-4.0841666666666665,122.40861111111111,"{""type"":""Point"",""coordinates"":[122.40861111111111,-4.0841666666666665]}"
"WAWC","Tomia","Maranggo","Indonesia","IDN",-5.766188888888889,123.91943333333334,"{""type"":""Point"",""coordinates"":[123.91943333333334,-5.766188888888889]}"
"WAVV","Wamena","Wamena","Indonesia","IDN",-4.0975,138.95138888888889,"{""type"":""Point"",""coordinates"":[138.95138888888889,-4.0975]}"
"WAVG","Karubaga","Karubaga","Indonesia","IDN",-3.686569444444445,138.47936388888888,"{""type"":""Point"",""coordinates"":[138.47936388888888,-3.686569444444445]}"
"WAUB","Stenkol","Bintuni","Indonesia","IDN",-2.1008333333333336,133.51361111111112,"{""type"":""Point"",""coordinates"":[133.51361111111112,-2.1008333333333336]}"
"WAVB","Jayawijaya","Bokondini","Indonesia","IDN",-3.6847805555555557,138.67731944444444,"{""type"":""Point"",""coordinates"":[138.67731944444444,-3.6847805555555557]}"
"WAUW","Wasior","Wasior","Indonesia","IDN",-2.7222666666666666,134.50632777777778,"{""type"":""Point"",""coordinates"":[134.50632777777778,-2.7222666666666666]}"
"WAJC","Dabra","Dabra","Indonesia","IDN",-3.270375,138.61219166666666,"{""type"":""Point"",""coordinates"":[138.61219166666666,-3.270375]}"
"WAKT","Tanah Merah","Tanah Merah","Indonesia","IDN",-6.096191666666666,140.29986666666667,"{""type"":""Point"",""coordinates"":[140.29986666666667,-6.096191666666666]}"
"WASI","Inanwatan","Inanwatan","Indonesia","IDN",-2.1267472222222223,132.16313055555557,"{""type"":""Point"",""coordinates"":[132.16313055555557,-2.1267472222222223]}"
"WAUU","Rendani","Manokwari","Indonesia","IDN",-0.8938888888888888,134.05027777777778,"{""type"":""Point"",""coordinates"":[134.05027777777778,-0.8938888888888888]}"
"WAUR","Abresso","Ransiki","Indonesia","IDN",-1.5,134.18333333333334,"{""type"":""Point"",""coordinates"":[134.18333333333334,-1.5]}"
"WAUM","Jahabra","Merdei","Indonesia","IDN",-1.5914277777777779,133.29574166666666,"{""type"":""Point"",""coordinates"":[133.29574166666666,-1.5914277777777779]}"
"WATT","El Tari","Kupang","Indonesia","IDN",-10.177777777777777,123.66388888888889,"{""type"":""Point"",""coordinates"":[123.66388888888889,-10.177777777777777]}"
"WASU","Ayamaru","Kambuaya","Indonesia","IDN",-1.3163888888888888,132.28555555555556,"{""type"":""Point"",""coordinates"":[132.28555555555556,-1.3163888888888888]}"
"WASK","Utarom","Kaimana","Indonesia","IDN",-3.644722222222222,133.69555555555556,"{""type"":""Point"",""coordinates"":[133.69555555555556,-3.644722222222222]}"
"WICM","Wiriadinata","Tasikmalaya","Indonesia","IDN",-7.346444444444444,108.24602777777778,"{""type"":""Point"",""coordinates"":[108.24602777777778,-7.346444444444444]}"
"WASA","Ayawasi","Ayawasi","Indonesia","IDN",-1.1596833333333332,132.46534444444444,"{""type"":""Point"",""coordinates"":[132.46534444444444,-1.1596833333333332]}"
"WATR","David Constantijn Saudale","Rote","Indonesia","IDN",-10.766944444444444,123.07416666666666,"{""type"":""Point"",""coordinates"":[123.07416666666666,-10.766944444444444]}"
"WATU","Umbu Mehang Kunda","Waingapu","Indonesia","IDN",-9.668055555555554,120.29888888888888,"{""type"":""Point"",""coordinates"":[120.29888888888888,-9.668055555555554]}"
"WADE","Letkol Wisnu","Buleleng","Indonesia","IDN",-8.140277777777778,114.62166666666666,"{""type"":""Point"",""coordinates"":[114.62166666666666,-8.140277777777778]}"
"WARI","Iswahyudi","Madiun","Indonesia","IDN",-7.609999999999999,111.43333333333334,"{""type"":""Point"",""coordinates"":[111.43333333333334,-7.609999999999999]}"
"WAST","Teminabuan","Teminabuan","Indonesia","IDN",-1.4454416666666667,132.02051111111112,"{""type"":""Point"",""coordinates"":[132.02051111111112,-1.4454416666666667]}"
"WAVM","Manggelum","Manggelum","Indonesia","IDN",-5.416111111111111,140.4363888888889,"{""type"":""Point"",""coordinates"":[140.4363888888889,-5.416111111111111]}"
"WARR","Juanda","Surabaya","Indonesia","IDN",-7.383611111111112,112.78,"{""type"":""Point"",""coordinates"":[112.78,-7.383611111111112]}"
"WARE","Noto Hadinegoro","Jember","Indonesia","IDN",-8.242222222222221,113.69444444444444,"{""type"":""Point"",""coordinates"":[113.69444444444444,-8.242222222222221]}"
"WAQU","Long Layu","Long Layu","Indonesia","IDN",3.8833333333333333,116.46666666666667,"{""type"":""Point"",""coordinates"":[116.46666666666667,3.8833333333333333]}"
"WAFD","Bua","South Sulawesi","Indonesia","IDN",-3.0844444444444448,120.245,"{""type"":""Point"",""coordinates"":[120.245,-3.0844444444444448]}"
"WAFP","Kasiguncu","Poso","Indonesia","IDN",-1.4186111111111113,120.6575,"{""type"":""Point"",""coordinates"":[120.6575,-1.4186111111111113]}"
"WIDT","Raja Haji Abdullah","Tanjung Balai Karimun","Indonesia","IDN",1.0527777777777778,103.39277777777778,"{""type"":""Point"",""coordinates"":[103.39277777777778,1.0527777777777778]}"
"WAQT","Kalimarau","Tanjung Redeb","Indonesia","IDN",2.1533333333333333,117.43111111111112,"{""type"":""Point"",""coordinates"":[117.43111111111112,2.1533333333333333]}"
"WIEB","Rokot","Sipora","Indonesia","IDN",-2.0972222222222223,99.7038888888889,"{""type"":""Point"",""coordinates"":[99.7038888888889,-2.0972222222222223]}"
"WASS","Domine Eduard Osok","Sorong","Indonesia","IDN",-0.8916666666666666,131.28694444444443,"{""type"":""Point"",""coordinates"":[131.28694444444443,-0.8916666666666666]}"
"WAOO","Syamsudin Noor","Banjarmasin","Indonesia","IDN",-3.439802777777778,114.75282777777778,"{""type"":""Point"",""coordinates"":[114.75282777777778,-3.439802777777778]}"
"WAQQ","Juwata","Tarakan","Indonesia","IDN",3.326666666666666,117.56944444444444,"{""type"":""Point"",""coordinates"":[117.56944444444444,3.326666666666666]}"
"WATQ","Kisar","Kisar Island","Indonesia","IDN",-8.016111111111112,127.20055555555555,"{""type"":""Point"",""coordinates"":[127.20055555555555,-8.016111111111112]}"
"WAAA","Sultan Hasanuddin","Makassar","Indonesia","IDN",-5.060833333333333,119.55444444444444,"{""type"":""Point"",""coordinates"":[119.55444444444444,-5.060833333333333]}"
"WAVT","Tiom","Tiom","Indonesia","IDN",-3.924888888888889,138.45408333333333,"{""type"":""Point"",""coordinates"":[138.45408333333333,-3.924888888888889]}"
"WAQK","Mangkajang","Mangkajang","Indonesia","IDN",2.005,117.74194444444444,"{""type"":""Point"",""coordinates"":[117.74194444444444,2.005]}"
"WAHS","Ahmad Yani","Semarang","Indonesia","IDN",-6.976413888888889,110.37715555555555,"{""type"":""Point"",""coordinates"":[110.37715555555555,-6.976413888888889]}"
"WATM","Mali","Alor","Indonesia","IDN",-8.136666666666667,124.5936111111111,"{""type"":""Point"",""coordinates"":[124.5936111111111,-8.136666666666667]}"
"WAFN","Seko","North Lawu","Indonesia","IDN",-2.2719444444444443,119.89500000000001,"{""type"":""Point"",""coordinates"":[119.89500000000001,-2.2719444444444443]}"
"WIBD","Pinang Kampai","Dumai","Indonesia","IDN",1.5516666666666667,101.20416666666667,"{""type"":""Point"",""coordinates"":[101.20416666666667,1.5516666666666667]}"
"WAQG","Binuang","Binuang","Indonesia","IDN",3.7147222222222225,115.85166666666666,"{""type"":""Point"",""coordinates"":[115.85166666666666,3.7147222222222225]}"
"WIOG","Nanga Pinoh I","Nanga Pinoh I","Indonesia","IDN",-0.34888888888888886,111.7475,"{""type"":""Point"",""coordinates"":[111.7475,-0.34888888888888886]}"
"WAQB","Bunyu","Bunyu","Indonesia","IDN",3.466666666666667,117.86666666666666,"{""type"":""Point"",""coordinates"":[117.86666666666666,3.466666666666667]}"
"WAFY","Pogogul","Buol","Indonesia","IDN",1.1008333333333333,121.41611111111112,"{""type"":""Point"",""coordinates"":[121.41611111111112,1.1008333333333333]}"
"WATC","Seda","Maumere","Indonesia","IDN",-8.637777777777778,122.2375,"{""type"":""Point"",""coordinates"":[122.2375,-8.637777777777778]}"
"WAKD","Mindiptana","Mindiptana","Indonesia","IDN",-5.879222222222222,140.708475,"{""type"":""Point"",""coordinates"":[140.708475,-5.879222222222222]}"
"WAEO","Falabisahaya","Mangole","Indonesia","IDN",-1.7822222222222222,125.48222222222222,"{""type"":""Point"",""coordinates"":[125.48222222222222,-1.7822222222222222]}"
"WAQA","Nunukan","Nunukan","Indonesia","IDN",4.133333333333334,117.66666666666667,"{""type"":""Point"",""coordinates"":[117.66666666666667,4.133333333333334]}"
"WAMG","Djalaluddin","Gorontalo","Indonesia","IDN",0.6383333333333333,122.85222222222221,"{""type"":""Point"",""coordinates"":[122.85222222222221,0.6383333333333333]}"
"WAPL","Dumatubun","Langgur","Indonesia","IDN",-5.661666666666667,132.73,"{""type"":""Point"",""coordinates"":[132.73,-5.661666666666667]}"
"WAPA","Amahai","Maluku","Indonesia","IDN",-3.3461111111111115,128.9272222222222,"{""type"":""Point"",""coordinates"":[128.9272222222222,-3.3461111111111115]}"
"WARA","Abdul Rachman Saleh","Malang","Indonesia","IDN",-7.929444444444445,112.71194444444444,"{""type"":""Point"",""coordinates"":[112.71194444444444,-7.929444444444445]}"
"WAMN","Melonguane","Melonguane","Indonesia","IDN",4.006111111111111,126.67472222222223,"{""type"":""Point"",""coordinates"":[126.67472222222223,4.006111111111111]}"
"WAYK","Kokonao","Kokonao","Indonesia","IDN",-4.711477777777778,136.4361388888889,"{""type"":""Point"",""coordinates"":[136.4361388888889,-4.711477777777778]}"
"WALQ","Pujungan","Muara Badak","Indonesia","IDN",-0.3055555555555555,117.41527777777779,"{""type"":""Point"",""coordinates"":[117.41527777777779,-0.3055555555555555]}"
"WAKO","Okaba","Okaba","Indonesia","IDN",-8.094919444444445,139.72240277777777,"{""type"":""Point"",""coordinates"":[139.72240277777777,-8.094919444444445]}"
"WAYG","Akimuga","Akimuga","Indonesia","IDN",-4.6029833333333325,137.6591,"{""type"":""Point"",""coordinates"":[137.6591,-4.6029833333333325]}"
"WAUE","Werur","Werur","Indonesia","IDN",-0.4197222222222222,132.1888888888889,"{""type"":""Point"",""coordinates"":[132.1888888888889,-0.4197222222222222]}"
"WIOY","Suti","Suti","Indonesia","IDN",0.8833333333333333,109.83333333333333,"{""type"":""Point"",""coordinates"":[109.83333333333333,0.8833333333333333]}"
"WALL","Sultan Aji Muhammad Sulaiman Sepinggan","Balikpapan","Indonesia","IDN",-1.2672222222222222,116.8938888888889,"{""type"":""Point"",""coordinates"":[116.8938888888889,-1.2672222222222222]}"
"WATB","Bajawa","Soa","Indonesia","IDN",-8.708888888888888,121.05722222222222,"{""type"":""Point"",""coordinates"":[121.05722222222222,-8.708888888888888]}"
"WITN","Maimum Saleh","Sabang","Indonesia","IDN",5.8758333333333335,95.33583333333333,"{""type"":""Point"",""coordinates"":[95.33583333333333,5.8758333333333335]}"
"WAPI","Olilit","Saumlaki","Indonesia","IDN",-7.95,131.3,"{""type"":""Point"",""coordinates"":[131.3,-7.95]}"
"WAKE","Bade","Bade","Indonesia","IDN",-7.175386111111111,139.58440555555558,"{""type"":""Point"",""coordinates"":[139.58440555555558,-7.175386111111111]}"
"WAGT","Tumbang Samba","Tumbang Samba","Indonesia","IDN",-1.4691666666666667,113.08333333333333,"{""type"":""Point"",""coordinates"":[113.08333333333333,-1.4691666666666667]}"
"WAEL","Oesman Sadik","South Halmahera","Indonesia","IDN",-0.6372222222222222,127.50194444444445,"{""type"":""Point"",""coordinates"":[127.50194444444445,-0.6372222222222222]}"
"WAKL","Bomakia","Bomakia","Indonesia","IDN",-5.805,139.86777777777777,"{""type"":""Point"",""coordinates"":[139.86777777777777,-5.805]}"
"WAYB","Sugapa","Bilorai","Indonesia","IDN",-3.739777777777778,137.03092500000002,"{""type"":""Point"",""coordinates"":[137.03092500000002,-3.739777777777778]}"
"WAWB","Betoambari","Bau Bau","Indonesia","IDN",-5.486944444444444,122.56916666666666,"{""type"":""Point"",""coordinates"":[122.56916666666666,-5.486944444444444]}"
"WATO","Komodo","Labuhan Bajo","Indonesia","IDN",-8.486666666666666,119.88722222222223,"{""type"":""Point"",""coordinates"":[119.88722222222223,-8.486666666666666]}"
"WATL","Gewayantana","Larantuka","Indonesia","IDN",-8.275,123,"{""type"":""Point"",""coordinates"":[123,-8.275]}"
"WAQD","Tj. Harapan","Tanjung Selor","Indonesia","IDN",2.8358333333333334,117.3736111111111,"{""type"":""Point"",""coordinates"":[117.3736111111111,2.8358333333333334]}"
"WILW","Way Jepara","Way Kambas","Indonesia","IDN",-5.0488888888888885,105.65222222222222,"{""type"":""Point"",""coordinates"":[105.65222222222222,-5.0488888888888885]}"
"WALS","Temindung","Samarinda","Indonesia","IDN",-0.48194444444444445,117.15666666666667,"{""type"":""Point"",""coordinates"":[117.15666666666667,-0.48194444444444445]}"
"WAFM","Andi Jemma","Masamba","Indonesia","IDN",-2.5541666666666667,120.32444444444444,"{""type"":""Point"",""coordinates"":[120.32444444444444,-2.5541666666666667]}"
"WAJI","Orai","Sarmi","Indonesia","IDN",-1.8747777777777779,138.7545111111111,"{""type"":""Point"",""coordinates"":[138.7545111111111,-1.8747777777777779]}"
"WADY","Blimbingsari","Banyuwangi","Indonesia","IDN",-8.310555555555556,114.33999999999999,"{""type"":""Point"",""coordinates"":[114.33999999999999,-8.310555555555556]}"
"WAFW","Syukuran Aminuddin Amir","Luwuk","Indonesia","IDN",-1.0402777777777779,122.77166666666666,"{""type"":""Point"",""coordinates"":[122.77166666666666,-1.0402777777777779]}"
"WAMM","Ratulangi","Manado","Indonesia","IDN",1.5455555555555553,124.92500000000001,"{""type"":""Point"",""coordinates"":[124.92500000000001,1.5455555555555553]}"
"WAGS","H. Asan","Sampit","Indonesia","IDN",-2.501388888888889,112.97555555555556,"{""type"":""Point"",""coordinates"":[112.97555555555556,-2.501388888888889]}"
"WAFJ","Tampa Padang","Mamuju","Indonesia","IDN",-2.5833333333333335,119.03333333333333,"{""type"":""Point"",""coordinates"":[119.03333333333333,-2.5833333333333335]}"
"WAHQ","Adi Soemarmo","Solo","Indonesia","IDN",-7.513563888888889,110.75049444444444,"{""type"":""Point"",""coordinates"":[110.75049444444444,-7.513563888888889]}"
"WAJO","Oksibil","Oksibil","Indonesia","IDN",-4.907069444444445,140.63015555555558,"{""type"":""Point"",""coordinates"":[140.63015555555558,-4.907069444444445]}"
"WIOF","Sungai Tontang","Sungai Tontang","Indonesia","IDN",-0.5833333333333334,110.46666666666667,"{""type"":""Point"",""coordinates"":[110.46666666666667,-0.5833333333333334]}"
"WAJS","Senggeh","Senggeh","Indonesia","IDN",-3.4428500000000004,140.7782138888889,"{""type"":""Point"",""coordinates"":[140.7782138888889,-3.4428500000000004]}"
"WAQM","Malinau","Malinau","Indonesia","IDN",3.5833333333333335,116.63333333333334,"{""type"":""Point"",""coordinates"":[116.63333333333334,3.5833333333333335]}"
"WICD","Cakrabhuwana","Cirebon","Indonesia","IDN",-6.756111111111111,108.53833333333333,"{""type"":""Point"",""coordinates"":[108.53833333333333,-6.756111111111111]}"
"WAJG","Batom","Batom","Indonesia","IDN",-4.444061111111111,140.88163055555557,"{""type"":""Point"",""coordinates"":[140.88163055555557,-4.444061111111111]}"
"WIBJ","Japura","Rengat","Indonesia","IDN",-0.3516666666666666,102.33444444444444,"{""type"":""Point"",""coordinates"":[102.33444444444444,-0.3516666666666666]}"
"WAYA","Alama","Alama","Indonesia","IDN",-4.333333333333333,137.83333333333334,"{""type"":""Point"",""coordinates"":[137.83333333333334,-4.333333333333333]}"
"WIPM","Pagar Alam","Pagar Alam","Indonesia","IDN",-4.0247222222222225,103.3786111111111,"{""type"":""Point"",""coordinates"":[103.3786111111111,-4.0247222222222225]}"
