"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"VOVZ","Vishakhapatnam","Vishakhapatnam","India","IND",17.722166666666666,83.22277777777778,"{""type"":""Point"",""coordinates"":[83.22277777777778,17.722166666666666]}"
"VOTV","Thiruvananthapuram","Thiruvananthapuram","India","IND",8.479444444444445,76.92,"{""type"":""Point"",""coordinates"":[76.92,8.479444444444445]}"
"VOTP","Tirupati","Tirupati","India","IND",13.633055555555556,79.54194444444444,"{""type"":""Point"",""coordinates"":[79.54194444444444,13.633055555555556]}"
"VOTK","Tuticorin","Tuticorin","India","IND",8.722283333333333,78.02616666666667,"{""type"":""Point"",""coordinates"":[78.02616666666667,8.722283333333333]}"
"VOYK","Yelahanka","Yelahanka","India","IND",13.135519444444444,77.60603055555555,"{""type"":""Point"",""coordinates"":[77.60603055555555,13.135519444444444]}"
"VOSX","Sulur","Sulur","India","IND",11.01351111111111,77.15969722222223,"{""type"":""Point"",""coordinates"":[77.15969722222223,11.01351111111111]}"
"VOMY","Mysore","Mysore","India","IND",12.232452777777779,76.6563388888889,"{""type"":""Point"",""coordinates"":[76.6563388888889,12.232452777777779]}"
"VOMM","Chennai Intl","Chennai","India","IND",12.995,80.17555555555556,"{""type"":""Point"",""coordinates"":[80.17555555555556,12.995]}"
"VOHY","Begumpet","Hyderabad","India","IND",17.453055555555554,78.45805555555556,"{""type"":""Point"",""coordinates"":[78.45805555555556,17.453055555555554]}"
"VOHB","Hubli","Hubli","India","IND",15.361944444444443,75.08444444444444,"{""type"":""Point"",""coordinates"":[75.08444444444444,15.361944444444443]}"
"VOCX","Car Nicobar","Car Nicobar","India","IND",9.152508333333333,92.81962777777777,"{""type"":""Point"",""coordinates"":[92.81962777777777,9.152508333333333]}"
"VOGO","Dabolim","Goa","India","IND",15.380836111111112,73.82706388888889,"{""type"":""Point"",""coordinates"":[73.82706388888889,15.380836111111112]}"
"VOCB","Coimbatore","Coimbatore","India","IND",11.026944444444446,77.04166666666667,"{""type"":""Point"",""coordinates"":[77.04166666666667,11.026944444444446]}"
"VOBZ","Vijayawada","Vijayawada","India","IND",16.533611111111114,80.80333333333333,"{""type"":""Point"",""coordinates"":[80.80333333333333,16.533611111111114]}"
"VOBL","Kempegowda Intl","Bengaluru","India","IND",13.19888888888889,77.70555555555556,"{""type"":""Point"",""coordinates"":[77.70555555555556,13.19888888888889]}"
"VOAT","Agatti","Agatti","India","IND",10.824166666666667,72.17666666666668,"{""type"":""Point"",""coordinates"":[72.17666666666668,10.824166666666667]}"
"VIUX","Udhampur","Udhampur","India","IND",32.90218888888889,75.156225,"{""type"":""Point"",""coordinates"":[75.156225,32.90218888888889]}"
"VISG","Suratgarh","Suratgarh","India","IND",29.387774999999998,73.90392222222223,"{""type"":""Point"",""coordinates"":[73.90392222222223,29.387774999999998]}"
"VISA","Sirsa","Sirsa","India","IND",29.560580555555557,75.006075,"{""type"":""Point"",""coordinates"":[75.006075,29.560580555555557]}"
"VIPT","Pantnagar","Pantnagar","India","IND",29.03222222222222,79.4725,"{""type"":""Point"",""coordinates"":[79.4725,29.03222222222222]}"
"VOHK","Hakimpet","Hakimpet","India","IND",17.553491666666666,78.5249,"{""type"":""Point"",""coordinates"":[78.5249,17.553491666666666]}"
"VIPK","Pathankot","Pathankot","India","IND",32.23377777777778,75.63462777777778,"{""type"":""Point"",""coordinates"":[75.63462777777778,32.23377777777778]}"
"VILH","Leh","Leh","India","IND",34.13666666666666,77.54666666666667,"{""type"":""Point"",""coordinates"":[77.54666666666667,34.13666666666666]}"
"VOML","Mangalore","Mangalore","India","IND",12.961944444444443,74.88972222222223,"{""type"":""Point"",""coordinates"":[74.88972222222223,12.961944444444443]}"
"VIKO","Kota","Kota","India","IND",25.160083333333333,75.84783333333333,"{""type"":""Point"",""coordinates"":[75.84783333333333,25.160083333333333]}"
"VIKL","Kargil","Kargil","India","IND",34.52427222222222,76.15590833333334,"{""type"":""Point"",""coordinates"":[76.15590833333334,34.52427222222222]}"
"VOND","Nanded","Nanded","India","IND",19.181036111111112,77.32254722222221,"{""type"":""Point"",""coordinates"":[77.32254722222221,19.181036111111112]}"
"VIJU","Jammu","Jammu","India","IND",32.69333333333333,74.83999999999999,"{""type"":""Point"",""coordinates"":[74.83999999999999,32.69333333333333]}"
"VIJR","Jaisalmer","Jaisalmer","India","IND",26.89,70.86666666666666,"{""type"":""Point"",""coordinates"":[70.86666666666666,26.89]}"
"VEGY","Gaya","Gaya","India","IND",24.748055555555556,84.94250000000001,"{""type"":""Point"",""coordinates"":[84.94250000000001,24.748055555555556]}"
"VIJP","Jaipur","Jaipur","India","IND",26.824166666666667,75.8025,"{""type"":""Point"",""coordinates"":[75.8025,26.824166666666667]}"
"VIHX","Halwara","Halwara","India","IND",30.748533333333334,75.6297861111111,"{""type"":""Point"",""coordinates"":[75.6297861111111,30.748533333333334]}"
"VOTR","Tiruchirappalli","Tiruchirappalli","India","IND",10.765555555555556,78.715,"{""type"":""Point"",""coordinates"":[78.715,10.765555555555556]}"
"VIGG","Kangra","Kangra","India","IND",32.165277777777774,76.26194444444444,"{""type"":""Point"",""coordinates"":[76.26194444444444,32.165277777777774]}"
"VIDN","Dehradun","Dehradun","India","IND",30.190555555555555,78.18222222222222,"{""type"":""Point"",""coordinates"":[78.18222222222222,30.190555555555555]}"
"VEBI","Barapani","Barapani","India","IND",25.703333333333333,91.97805555555556,"{""type"":""Point"",""coordinates"":[91.97805555555556,25.703333333333333]}"
"VIGR","Maharajpur","Gwalior","India","IND",26.291666666666668,78.22833333333334,"{""type"":""Point"",""coordinates"":[78.22833333333334,26.291666666666668]}"
"VIDX","Hindan","Hindan","India","IND",28.707702777777776,77.35891111111111,"{""type"":""Point"",""coordinates"":[77.35891111111111,28.707702777777776]}"
"VICX","Chakeri","Kanpur","India","IND",26.4043,80.41011944444445,"{""type"":""Point"",""coordinates"":[80.41011944444445,26.4043]}"
