"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"EIBR","Birr","Birr","Ireland","IRL",53.07083333333334,-7.89861111111111,"{""type"":""Point"",""coordinates"":[-7.89861111111111,53.07083333333334]}"
"EIMH","Ballyboy","Athboy","Ireland","IRL",53.63777777777778,-6.878611111111112,"{""type"":""Point"",""coordinates"":[-6.878611111111112,53.63777777777778]}"
"EIWF","Waterford","Waterford","Ireland","IRL",52.18722222222222,-7.086944444444444,"{""type"":""Point"",""coordinates"":[-7.086944444444444,52.18722222222222]}"
"EINC","Newcastle","Newcastle","Ireland","IRL",53.07277777777778,-6.036388888888888,"{""type"":""Point"",""coordinates"":[-6.036388888888888,53.07277777777778]}"
"EIKY","Kerry","Kerry","Ireland","IRL",52.18083333333333,-9.523888888888889,"{""type"":""Point"",""coordinates"":[-9.523888888888889,52.18083333333333]}"
"EIKN","Knock","Ireland West","Ireland","IRL",53.91027777777778,-8.81861111111111,"{""type"":""Point"",""coordinates"":[-8.81861111111111,53.91027777777778]}"
"EIME","Casement","Baldonnel","Ireland","IRL",53.30305555555555,-6.455277777777778,"{""type"":""Point"",""coordinates"":[-6.455277777777778,53.30305555555555]}"
"EIKH","Kilrush","Kilrush","Ireland","IRL",53.06361111111111,-6.855277777777777,"{""type"":""Point"",""coordinates"":[-6.855277777777777,53.06361111111111]}"
"EISG","Sligo","Sligo","Ireland","IRL",54.280277777777776,-8.599166666666667,"{""type"":""Point"",""coordinates"":[-8.599166666666667,54.280277777777776]}"
"EIIR","Inisheer","Inisheer","Ireland","IRL",53.06444444444444,-9.510833333333334,"{""type"":""Point"",""coordinates"":[-9.510833333333334,53.06444444444444]}"
"EICK","Cork","Cork","Ireland","IRL",51.84138888888889,-8.49111111111111,"{""type"":""Point"",""coordinates"":[-8.49111111111111,51.84138888888889]}"
"EIDL","Donegal","Donegal","Ireland","IRL",55.04416666666666,-8.341111111111111,"{""type"":""Point"",""coordinates"":[-8.341111111111111,55.04416666666666]}"
"EITT","Trevet","Trevet","Ireland","IRL",53.54361111111111,-6.531944444444444,"{""type"":""Point"",""coordinates"":[-6.531944444444444,53.54361111111111]}"
"EIBN","Bantry","Bantry","Ireland","IRL",51.67722222222222,-9.486944444444443,"{""type"":""Point"",""coordinates"":[-9.486944444444443,51.67722222222222]}"
"EIAB","Abbeyshrule","Abbeyshrule","Ireland","IRL",53.59138888888889,-7.642777777777777,"{""type"":""Point"",""coordinates"":[-7.642777777777777,53.59138888888889]}"
"EICN","Coonagh","Coonagh","Ireland","IRL",52.66638888888889,-8.681944444444444,"{""type"":""Point"",""coordinates"":[-8.681944444444444,52.66638888888889]}"
"EICA","Connemara","Connemara","Ireland","IRL",53.230555555555554,-9.468333333333334,"{""type"":""Point"",""coordinates"":[-9.468333333333334,53.230555555555554]}"
"EICM","Galway","Galway","Ireland","IRL",53.30027777777777,-8.941666666666666,"{""type"":""Point"",""coordinates"":[-8.941666666666666,53.30027777777777]}"
"EINN","Shannon","Shannon","Ireland","IRL",52.70197777777778,-8.924816666666667,"{""type"":""Point"",""coordinates"":[-8.924816666666667,52.70197777777778]}"
"EIDW","Dublin Intl","Dublin","Ireland","IRL",53.421388888888885,-6.27,"{""type"":""Point"",""coordinates"":[-6.27,53.421388888888885]}"
"EICL","Clonbullogue","Clonbullogue","Ireland","IRL",53.249722222222225,-7.123333333333333,"{""type"":""Point"",""coordinates"":[-7.123333333333333,53.249722222222225]}"
"EITM","Trim","Trim","Ireland","IRL",53.575,-6.738611111111111,"{""type"":""Point"",""coordinates"":[-6.738611111111111,53.575]}"
"EIRT","Rathcoole","Rathcoole","Ireland","IRL",52.105555555555554,-8.983333333333333,"{""type"":""Point"",""coordinates"":[-8.983333333333333,52.105555555555554]}"
"EIIM","Inishmore","Inishmore","Ireland","IRL",53.106944444444444,-9.653055555555556,"{""type"":""Point"",""coordinates"":[-9.653055555555556,53.106944444444444]}"
"EIMN","Inishmaan","Inishmaan","Ireland","IRL",53.09305555555556,-9.568055555555555,"{""type"":""Point"",""coordinates"":[-9.568055555555555,53.09305555555556]}"
"EIBT","Belmullet","Belmullet","Ireland","IRL",54.22277777777778,-10.030833333333334,"{""type"":""Point"",""coordinates"":[-10.030833333333334,54.22277777777778]}"
"EIKK","Kilkenny","Kilkenny","Ireland","IRL",52.65083333333333,-7.296111111111111,"{""type"":""Point"",""coordinates"":[-7.296111111111111,52.65083333333333]}"
"EIWT","Weston","Weston","Ireland","IRL",53.352222222222224,-6.488333333333333,"{""type"":""Point"",""coordinates"":[-6.488333333333333,53.352222222222224]}"
"EI01","Hacketstown","Hacketstown","Ireland","IRL",52.85502777777778,-6.5473333333333334,"{""type"":""Point"",""coordinates"":[-6.5473333333333334,52.85502777777778]}"
