"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"OIZS","Saravan","Saravan","Iran","IRN",27.40833333333333,62.32055555555556,"{""type"":""Point"",""coordinates"":[62.32055555555556,27.40833333333333]}"
"OIZB","Zabol","Zabol","Iran","IRN",31.098333333333333,61.54388888888889,"{""type"":""Point"",""coordinates"":[61.54388888888889,31.098333333333333]}"
"OIYY","Shahid Sadooghi Intl","Yazd","Iran","IRN",31.90611111111111,54.27638888888889,"{""type"":""Point"",""coordinates"":[54.27638888888889,31.90611111111111]}"
"OIZI","Iran Shahr","Iran Shahr","Iran","IRN",27.228888888888886,60.721111111111114,"{""type"":""Point"",""coordinates"":[60.721111111111114,27.228888888888886]}"
"OITZ","Zanjan","Zanjan","Iran","IRN",36.77472222222222,48.35916666666667,"{""type"":""Point"",""coordinates"":[48.35916666666667,36.77472222222222]}"
"OIZC","Konarak","Chah Bahar","Iran","IRN",25.444444444444446,60.38361111111111,"{""type"":""Point"",""coordinates"":[60.38361111111111,25.444444444444446]}"
"OITP","Parsabade Moghan","Parsabade Moghan","Iran","IRN",39.60527777777778,47.876111111111115,"{""type"":""Point"",""coordinates"":[47.876111111111115,39.60527777777778]}"
"OITK","Khoy","Khoy","Iran","IRN",38.42222222222222,44.97666666666667,"{""type"":""Point"",""coordinates"":[44.97666666666667,38.42222222222222]}"
"OISY","Yasouj","Yasouj","Iran","IRN",30.696944444444444,51.55,"{""type"":""Point"",""coordinates"":[51.55,30.696944444444444]}"
"OISJ","Jahrom","Jahrom","Iran","IRN",28.586666666666666,53.58111111111111,"{""type"":""Point"",""coordinates"":[53.58111111111111,28.586666666666666]}"
"OINR","Ramsar","Ramsar","Iran","IRN",36.909166666666664,50.68,"{""type"":""Point"",""coordinates"":[50.68,36.909166666666664]}"
"OIMT","Tabas","Tabas","Iran","IRN",33.668055555555554,56.89333333333333,"{""type"":""Point"",""coordinates"":[56.89333333333333,33.668055555555554]}"
"OIMS","Sabzevar","Sabzevar","Iran","IRN",36.16861111111111,57.59638888888889,"{""type"":""Point"",""coordinates"":[57.59638888888889,36.16861111111111]}"
"OIIE","Imam Khomaini Intl","Tehran","Iran","IRN",35.41611111111111,51.15222222222222,"{""type"":""Point"",""coordinates"":[51.15222222222222,35.41611111111111]}"
"OIMJ","Shahroud","Shahroud","Iran","IRN",36.42527777777777,55.10416666666667,"{""type"":""Point"",""coordinates"":[55.10416666666667,36.42527777777777]}"
"OICS","Sanandaj","Sanandaj","Iran","IRN",35.25083333333333,47.01111111111111,"{""type"":""Point"",""coordinates"":[47.01111111111111,35.25083333333333]}"
"OIBP","Persian Gulf","Pars Special Zone","Iran","IRN",27.379444444444445,52.73777777777778,"{""type"":""Point"",""coordinates"":[52.73777777777778,27.379444444444445]}"
"OIKM","Bam","Bam","Iran","IRN",29.084166666666665,58.44972222222222,"{""type"":""Point"",""coordinates"":[58.44972222222222,29.084166666666665]}"
"OIKJ","Jiroft","Jiroft","Iran","IRN",28.7275,57.67027777777778,"{""type"":""Point"",""coordinates"":[57.67027777777778,28.7275]}"
"OIKB","Bandar Abbass Intl","Bandar Abbass","Iran","IRN",27.21861111111111,56.37777777777778,"{""type"":""Point"",""coordinates"":[56.37777777777778,27.21861111111111]}"
"OIBK","Kish","Kish Island","Iran","IRN",26.5275,53.97916666666667,"{""type"":""Point"",""coordinates"":[53.97916666666667,26.5275]}"
"OIIS","Semnan","Semnan","Iran","IRN",35.611666666666665,53.498333333333335,"{""type"":""Point"",""coordinates"":[53.498333333333335,35.611666666666665]}"
"OIAA","Abadan","Abadan","Iran","IRN",30.371111111111112,48.22833333333333,"{""type"":""Point"",""coordinates"":[48.22833333333333,30.371111111111112]}"
"OIKP","Havadarya","Bandar Abbass","Iran","IRN",27.159444444444443,56.17194444444444,"{""type"":""Point"",""coordinates"":[56.17194444444444,27.159444444444443]}"
"OIIK","Ghazvin","Ghazvin","Iran","IRN",36.24111111111111,50.0425,"{""type"":""Point"",""coordinates"":[50.0425,36.24111111111111]}"
"OIKR","Rafsanjan","Rafsanjan","Iran","IRN",30.297500000000003,56.05083333333333,"{""type"":""Point"",""coordinates"":[56.05083333333333,30.297500000000003]}"
