"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"BITN","Thorshofn","Thorshofn","Iceland","ISL",66.21833333333333,-15.334722222222222,"{""type"":""Point"",""coordinates"":[-15.334722222222222,66.21833333333333]}"
"BIVM","Vestmannaeyjar","Vestmannaeyjar","Iceland","ISL",63.425,-20.279166666666665,"{""type"":""Point"",""coordinates"":[-20.279166666666665,63.425]}"
"BISA","Saudarflugvollur","Saudarflugvollur","Iceland","ISL",64.83333333333333,-16.033333333333335,"{""type"":""Point"",""coordinates"":[-16.033333333333335,64.83333333333333]}"
"BIRG","Raufarhofn","Raufarhofn","Iceland","ISL",66.4063888888889,-15.918333333333333,"{""type"":""Point"",""coordinates"":[-15.918333333333333,66.4063888888889]}"
"BIRF","Rif","Rif","Iceland","ISL",64.9113888888889,-23.823055555555555,"{""type"":""Point"",""coordinates"":[-23.823055555555555,64.9113888888889]}"
"BITE","Thingeyri","Thingeyri","Iceland","ISL",65.87027777777777,-23.559722222222224,"{""type"":""Point"",""coordinates"":[-23.559722222222224,65.87027777777777]}"
"BIGJ","Gjogur","Gjogur","Iceland","ISL",65.99527777777777,-21.326944444444443,"{""type"":""Point"",""coordinates"":[-21.326944444444443,65.99527777777777]}"
"BIKF","Keflavik","Keflavik","Iceland","ISL",63.985,-22.605555555555558,"{""type"":""Point"",""coordinates"":[-22.605555555555558,63.985]}"
"BIKR","Saudarkrokur","Saudarkrokur","Iceland","ISL",65.73166666666667,-19.572777777777777,"{""type"":""Point"",""coordinates"":[-19.572777777777777,65.73166666666667]}"
"BIIS","Isafjordur","Isafjordur","Iceland","ISL",66.05805555555555,-23.135277777777777,"{""type"":""Point"",""coordinates"":[-23.135277777777777,66.05805555555555]}"
"BIVO","Vopnafjordur","Vopnafjordur","Iceland","ISL",65.72055555555556,-14.850555555555555,"{""type"":""Point"",""coordinates"":[-14.850555555555555,65.72055555555556]}"
"BIHU","Husavik","Husavik","Iceland","ISL",65.9525,-17.425833333333333,"{""type"":""Point"",""coordinates"":[-17.425833333333333,65.9525]}"
"BIHN","Hornafirdi","Hofn","Iceland","ISL",64.29555555555555,-15.227222222222222,"{""type"":""Point"",""coordinates"":[-15.227222222222222,64.29555555555555]}"
"BIRL","Reykjahlid","Reykjahlid","Iceland","ISL",65.65527777777778,-16.918055555555558,"{""type"":""Point"",""coordinates"":[-16.918055555555558,65.65527777777778]}"
"BIKP","Kopasker","Kopasker","Iceland","ISL",66.31083333333333,-16.466666666666665,"{""type"":""Point"",""coordinates"":[-16.466666666666665,66.31083333333333]}"
"BIRK","Reykjavik","Reykjavik","Iceland","ISL",64.13,-21.940555555555555,"{""type"":""Point"",""coordinates"":[-21.940555555555555,64.13]}"
"BIDV","Djupivogur","Djupivogur","Iceland","ISL",64.64416666666668,-14.28277777777778,"{""type"":""Point"",""coordinates"":[-14.28277777777778,64.64416666666668]}"
"BIBV","Breiddalsvik","Breiddalsvik","Iceland","ISL",64.78999999999999,-14.022777777777778,"{""type"":""Point"",""coordinates"":[-14.022777777777778,64.78999999999999]}"
"BIEG","Egilsstadir","Egilsstadir","Iceland","ISL",65.28333333333333,-14.401388888888889,"{""type"":""Point"",""coordinates"":[-14.401388888888889,65.28333333333333]}"
"BISF","Selfoss","Selfoss","Iceland","ISL",63.92916666666667,-21.03777777777778,"{""type"":""Point"",""coordinates"":[-21.03777777777778,63.92916666666667]}"
"BIHK","Holmavik","Holmavik","Iceland","ISL",65.70472222222223,-21.69638888888889,"{""type"":""Point"",""coordinates"":[-21.69638888888889,65.70472222222223]}"
"BINF","Nordfjordur","Nordfjordur","Iceland","ISL",65.13166666666666,-13.746944444444443,"{""type"":""Point"",""coordinates"":[-13.746944444444443,65.13166666666666]}"
"BIGR","Grimsey","Grimsey","Iceland","ISL",66.5461111111111,-18.01722222222222,"{""type"":""Point"",""coordinates"":[-18.01722222222222,66.5461111111111]}"
"BIBL","Blonduos","Blonduos","Iceland","ISL",65.64500000000001,-20.2875,"{""type"":""Point"",""coordinates"":[-20.2875,65.64500000000001]}"
"BIBA","Bakki","Bakki","Iceland","ISL",63.55611111111111,-20.1375,"{""type"":""Point"",""coordinates"":[-20.1375,63.55611111111111]}"
"BIBD","Bildudalur","Bildudalur","Iceland","ISL",65.6413888888889,-23.546111111111113,"{""type"":""Point"",""coordinates"":[-23.546111111111113,65.6413888888889]}"
"BIST","Stykkisholmur","Stykkisholmur","Iceland","ISL",65.05805555555555,-22.79416666666667,"{""type"":""Point"",""coordinates"":[-22.79416666666667,65.05805555555555]}"
"BIAR","Akureyri","Akureyri","Iceland","ISL",65.65666666666667,-18.071944444444444,"{""type"":""Point"",""coordinates"":[-18.071944444444444,65.65666666666667]}"
