"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"LIVV","Vische","Vische","Italy","ITA",45.34722222222222,7.921388888888889,"{""type"":""Point"",""coordinates"":[7.921388888888889,45.34722222222222]}"
"LIRZ","San Francesco","Perugia","Italy","ITA",43.09722222222222,12.510277777777778,"{""type"":""Point"",""coordinates"":[12.510277777777778,43.09722222222222]}"
"LIRV","Viterbo","Viterbo","Italy","ITA",42.430277777777775,12.064166666666667,"{""type"":""Point"",""coordinates"":[12.064166666666667,42.430277777777775]}"
"LIRU","Urbe","Rome","Italy","ITA",41.95194444444445,12.500833333333333,"{""type"":""Point"",""coordinates"":[12.500833333333333,41.95194444444445]}"
"LIRN","Capodichino","Naples","Italy","ITA",40.88444444444444,14.290833333333333,"{""type"":""Point"",""coordinates"":[14.290833333333333,40.88444444444444]}"
"LIRM","Grazzanise","Grazzanise","Italy","ITA",41.06199722222222,14.082688888888889,"{""type"":""Point"",""coordinates"":[14.082688888888889,41.06199722222222]}"
"LIRJ","Marina Di Campo","Marina Di Campo","Italy","ITA",42.76111111111111,10.239722222222222,"{""type"":""Point"",""coordinates"":[10.239722222222222,42.76111111111111]}"
"LIRI","Pontecagnano","Salerno","Italy","ITA",40.62,14.9125,"{""type"":""Point"",""coordinates"":[14.9125,40.62]}"
"LIRH","Frosinone","Frosinone","Italy","ITA",41.644925,13.299022222222222,"{""type"":""Point"",""coordinates"":[13.299022222222222,41.644925]}"
"LIRG","Guidonia","Guidonia","Italy","ITA",41.99611111111111,12.73472222222222,"{""type"":""Point"",""coordinates"":[12.73472222222222,41.99611111111111]}"
"LIRF","Fiumicino","Rome","Italy","ITA",41.80027777777777,12.238888888888889,"{""type"":""Point"",""coordinates"":[12.238888888888889,41.80027777777777]}"
"LIRE","Pratica Di Mare","Pratica Di Mare","Italy","ITA",41.659372222222224,12.445155555555555,"{""type"":""Point"",""coordinates"":[12.445155555555555,41.659372222222224]}"
"LIRA","Ciampino","Rome","Italy","ITA",41.79944444444444,12.597222222222223,"{""type"":""Point"",""coordinates"":[12.597222222222223,41.79944444444444]}"
"LIKO","Guglielmo Zamboni","Ozzano Emilia","Italy","ITA",44.475,11.541666666666666,"{""type"":""Point"",""coordinates"":[11.541666666666666,44.475]}"
"LIPX","Villafranca","Verona","Italy","ITA",45.396388888888886,10.887777777777778,"{""type"":""Point"",""coordinates"":[10.887777777777778,45.396388888888886]}"
"LIMG","Albenga","Albenga","Italy","ITA",44.045833333333334,8.125555555555556,"{""type"":""Point"",""coordinates"":[8.125555555555556,44.045833333333334]}"
"LIEA","Fertilia","Alghero","Italy","ITA",40.63111111111111,8.288611111111111,"{""type"":""Point"",""coordinates"":[8.288611111111111,40.63111111111111]}"
"LIPR","Rimini","Rimini","Italy","ITA",44.019444444444446,12.609444444444444,"{""type"":""Point"",""coordinates"":[12.609444444444444,44.019444444444446]}"
"LILO","Caiolo","Sondrio","Italy","ITA",46.15,9.8,"{""type"":""Point"",""coordinates"":[9.8,46.15]}"
"LIPQ","Ronchi Dei Legionari","Trieste","Italy","ITA",45.8275,13.472222222222223,"{""type"":""Point"",""coordinates"":[13.472222222222223,45.8275]}"
"LI23","Bore Di Chienti","Corridonia","Italy","ITA",43.261,13.564666666666668,"{""type"":""Point"",""coordinates"":[13.564666666666668,43.261]}"
"LIPN","Boscomantico","Verona","Italy","ITA",45.473055555555554,10.926944444444445,"{""type"":""Point"",""coordinates"":[10.926944444444445,45.473055555555554]}"
"LIPL","Ghedi","Ghedi","Italy","ITA",45.435736111111105,10.270280555555557,"{""type"":""Point"",""coordinates"":[10.270280555555557,45.435736111111105]}"
"LIPI","Rivolto","Rivolto","Italy","ITA",45.980691666666665,13.0499,"{""type"":""Point"",""coordinates"":[13.0499,45.980691666666665]}"
"LIPG","Gorizia","Gorizia","Italy","ITA",45.906666666666666,13.599166666666667,"{""type"":""Point"",""coordinates"":[13.599166666666667,45.906666666666666]}"
