"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"RORY","Yoron","Yoron","Japan","JPN",27.04388888888889,128.40166666666667,"{""type"":""Point"",""coordinates"":[128.40166666666667,27.04388888888889]}"
"RORT","Tarama","Tarama","Japan","JPN",24.653888888888886,124.67527777777778,"{""type"":""Point"",""coordinates"":[124.67527777777778,24.653888888888886]}"
"RORS","Shimojishima","Shimojishima","Japan","JPN",24.826666666666668,125.14472222222223,"{""type"":""Point"",""coordinates"":[125.14472222222223,24.826666666666668]}"
"RORE","Iejima","Iejima","Japan","JPN",26.722499999999997,127.78694444444444,"{""type"":""Point"",""coordinates"":[127.78694444444444,26.722499999999997]}"
"ROKR","Kerama","Kerama","Japan","JPN",26.168333333333333,127.29333333333334,"{""type"":""Point"",""coordinates"":[127.29333333333334,26.168333333333333]}"
"ROIG","New Ishigaki","Ishigaki I","Japan","JPN",24.39638888888889,124.245,"{""type"":""Point"",""coordinates"":[124.245,24.39638888888889]}"
"ROKJ","Kumejima","Kumejima","Japan","JPN",26.363611111111112,126.71388888888889,"{""type"":""Point"",""coordinates"":[126.71388888888889,26.363611111111112]}"
"RODE","Ie Shima Aux AB","Ie Shima I.","Japan","JPN",26.72833333333333,127.76166666666667,"{""type"":""Point"",""coordinates"":[127.76166666666667,26.72833333333333]}"
"ROAH","Naha","Naha","Japan","JPN",26.195833333333333,127.64583333333334,"{""type"":""Point"",""coordinates"":[127.64583333333334,26.195833333333333]}"
"RJTT","Tokyo (Haneda) Intl","Tokyo","Japan","JPN",35.55333333333333,139.78111111111113,"{""type"":""Point"",""coordinates"":[139.78111111111113,35.55333333333333]}"
"RJTR","Kastner AHP","Camp Zama","Japan","JPN",35.513666666666666,139.39366666666666,"{""type"":""Point"",""coordinates"":[139.39366666666666,35.513666666666666]}"
"RJTQ","Miyake","Miyakejima","Japan","JPN",34.07361111111111,139.5602777777778,"{""type"":""Point"",""coordinates"":[139.5602777777778,34.07361111111111]}"
"RJSS","Sendai","Sendai","Japan","JPN",38.13972222222222,140.91694444444443,"{""type"":""Point"",""coordinates"":[140.91694444444443,38.13972222222222]}"
