"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"UAKK","Karaganda","Karaganda","Kazakhstan","KAZ",49.67166666666667,73.33527777777778,"{""type"":""Point"",""coordinates"":[73.33527777777778,49.67166666666667]}"
"UATE","Aktau","Aktau","Kazakhstan","KAZ",43.86,51.090833333333336,"{""type"":""Point"",""coordinates"":[51.090833333333336,43.86]}"
"UASS","Semey","Semey","Kazakhstan","KAZ",50.35138888888889,80.23444444444445,"{""type"":""Point"",""coordinates"":[80.23444444444445,50.35138888888889]}"
"UATT","Aktobe","Aktobe","Kazakhstan","KAZ",50.24583333333334,57.20666666666667,"{""type"":""Point"",""coordinates"":[57.20666666666667,50.24583333333334]}"
"UASK","Ust-Kamenogorsk","Ust-Kamenogorsk","Kazakhstan","KAZ",50.03611111111111,82.49416666666667,"{""type"":""Point"",""coordinates"":[82.49416666666667,50.03611111111111]}"
"UATG","Atyrau","Atyrau","Kazakhstan","KAZ",47.121944444444445,51.82,"{""type"":""Point"",""coordinates"":[51.82,47.121944444444445]}"
"UAKD","Zhezkazgan","Zhezkazgan","Kazakhstan","KAZ",47.70916666666667,67.73833333333333,"{""type"":""Point"",""coordinates"":[67.73833333333333,47.70916666666667]}"
"UACP","Petropavlovsk","Petropavlovsk","Kazakhstan","KAZ",54.77444444444444,69.185,"{""type"":""Point"",""coordinates"":[69.185,54.77444444444444]}"
"UASP","Pavlodar","Pavlodar","Kazakhstan","KAZ",52.19499999999999,77.07388888888889,"{""type"":""Point"",""coordinates"":[77.07388888888889,52.19499999999999]}"
"UAII","Shymkent","Shymkent","Kazakhstan","KAZ",42.365,69.47555555555556,"{""type"":""Point"",""coordinates"":[69.47555555555556,42.365]}"
"UAAH","Balkhash","Balkhash","Kazakhstan","KAZ",46.89388888888889,75.00527777777778,"{""type"":""Point"",""coordinates"":[75.00527777777778,46.89388888888889]}"
"UACC","Astana","Astana","Kazakhstan","KAZ",51.0225,71.46611111111112,"{""type"":""Point"",""coordinates"":[71.46611111111112,51.0225]}"
"UADD","Aulie-Ata","Taraz","Kazakhstan","KAZ",42.85416666666667,71.30277777777778,"{""type"":""Point"",""coordinates"":[71.30277777777778,42.85416666666667]}"
"UARR","Uralsk","Uralsk","Kazakhstan","KAZ",51.15083333333333,51.543055555555554,"{""type"":""Point"",""coordinates"":[51.543055555555554,51.15083333333333]}"
"UAOO","Kyzylorda","Kyzylorda","Kazakhstan","KAZ",44.70638888888889,65.59083333333332,"{""type"":""Point"",""coordinates"":[65.59083333333332,44.70638888888889]}"
"UAAT","Taldykorgan","Taldykorgan","Kazakhstan","KAZ",45.1225,78.44277777777778,"{""type"":""Point"",""coordinates"":[78.44277777777778,45.1225]}"
"UACK","Kokshetau","Kokshetau","Kazakhstan","KAZ",53.330000000000005,69.59666666666666,"{""type"":""Point"",""coordinates"":[69.59666666666666,53.330000000000005]}"
"UAUU","Narimanovka","Kostanay","Kazakhstan","KAZ",53.20722222222223,63.54888888888889,"{""type"":""Point"",""coordinates"":[63.54888888888889,53.20722222222223]}"
"UAAA","Almaty","Almaty","Kazakhstan","KAZ",43.355555555555554,77.04388888888889,"{""type"":""Point"",""coordinates"":[77.04388888888889,43.355555555555554]}"
