"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"HKVO","Voi","Voi","Kenya","KEN",-3.369108333333333,38.53425,"{""type"":""Point"",""coordinates"":[38.53425,-3.369108333333333]}"
"HKRE","Eastleigh","Nairobi","Kenya","KEN",-1.2782888888888888,36.86055,"{""type"":""Point"",""coordinates"":[36.86055,-1.2782888888888888]}"
"HKWJ","Wajir","Wajir","Kenya","KEN",1.7331666666666667,40.091525000000004,"{""type"":""Point"",""coordinates"":[40.091525000000004,1.7331666666666667]}"
"HKNV","Naivasha","Naivasha","Kenya","KEN",-0.8026388888888889,36.43416666666666,"{""type"":""Point"",""coordinates"":[36.43416666666666,-0.8026388888888889]}"
"HKNO","Narok","Narok","Kenya","KEN",-1.152611111111111,35.767472222222224,"{""type"":""Point"",""coordinates"":[35.767472222222224,-1.152611111111111]}"
"HKMU","Makindu","Makindu","Kenya","KEN",-2.285861111111111,37.83419444444445,"{""type"":""Point"",""coordinates"":[37.83419444444445,-2.285861111111111]}"
"HKMR","Mackinnon Road","Mackinnon Road","Kenya","KEN",-3.73575,39.03422222222222,"{""type"":""Point"",""coordinates"":[39.03422222222222,-3.73575]}"
"HKML","Malindi","Malindi","Kenya","KEN",-3.22305,40.10049166666667,"{""type"":""Point"",""coordinates"":[40.10049166666667,-3.22305]}"
"HKMK","Mulika Lodge","Meru","Kenya","KEN",0.23061111111111113,38.18422222222222,"{""type"":""Point"",""coordinates"":[38.18422222222222,0.23061111111111113]}"
"HKMI","Kisima","Maralal","Kenya","KEN",0.9472222222222222,36.802249999999994,"{""type"":""Point"",""coordinates"":[36.802249999999994,0.9472222222222222]}"
"HKLY","Loyangalani","Loyangalani","Kenya","KEN",2.747055555555556,36.71752777777778,"{""type"":""Point"",""coordinates"":[36.71752777777778,2.747055555555556]}"
"HKLG","Lokitaung","Lokitaung","Kenya","KEN",4.330277777777778,35.700833333333335,"{""type"":""Point"",""coordinates"":[35.700833333333335,4.330277777777778]}"
"HKMB","Marsabit","Marsabit","Kenya","KEN",2.3470833333333334,37.98422222222222,"{""type"":""Point"",""coordinates"":[37.98422222222222,2.3470833333333334]}"
"HKNI","Nyeri","Nyeri","Kenya","KEN",-0.36666666666666664,36.96666666666667,"{""type"":""Point"",""coordinates"":[36.96666666666667,-0.36666666666666664]}"
"HKKS","Suneka","Kisii","Kenya","KEN",-0.6693055555555555,34.70077777777778,"{""type"":""Point"",""coordinates"":[34.70077777777778,-0.6693055555555555]}"
"HKSB","Buffalo Spring","Samburu South","Kenya","KEN",0.5334944444444444,37.53279444444444,"{""type"":""Point"",""coordinates"":[37.53279444444444,0.5334944444444444]}"
"HKMO","Moi Intl","Mombasa","Kenya","KEN",-4.026277777777778,39.59906388888889,"{""type"":""Point"",""coordinates"":[39.59906388888889,-4.026277777777778]}"
"HKKE","Keekorok","Keekorok","Kenya","KEN",-1.5859166666666669,35.25077777777778,"{""type"":""Point"",""coordinates"":[35.25077777777778,-1.5859166666666669]}"
"HKKL","Kilaguni","Kilaguni","Kenya","KEN",-2.919138888888889,38.067527777777784,"{""type"":""Point"",""coordinates"":[38.067527777777784,-2.919138888888889]}"
"HKLT","Loitokitok","Loitokitok","Kenya","KEN",-2.9024722222222223,37.51752777777778,"{""type"":""Point"",""coordinates"":[37.51752777777778,-2.9024722222222223]}"
"HKLK","Lokichogio","Lokichogio","Kenya","KEN",4.204094444444444,34.34819166666667,"{""type"":""Point"",""coordinates"":[34.34819166666667,4.204094444444444]}"
"HKJK","Jomo Kenyatta Intl","Nairobi","Kenya","KEN",-1.3192388888888888,36.927775,"{""type"":""Point"",""coordinates"":[36.927775,-1.3192388888888888]}"
"HKKI","Kisumu","Kisumu","Kenya","KEN",-0.08592777777777777,34.72888888888889,"{""type"":""Point"",""coordinates"":[34.72888888888889,-0.08592777777777777]}"
"HKHO","Hola","Hola","Kenya","KEN",-1.5192777777777777,40.00091666666667,"{""type"":""Point"",""coordinates"":[40.00091666666667,-1.5192777777777777]}"
"HKED","Eldoret","Eldoret","Kenya","KEN",0.5305833333333334,35.267472222222224,"{""type"":""Point"",""coordinates"":[35.267472222222224,0.5305833333333334]}"
"HKKR","Kericho","Kericho","Kenya","KEN",-0.41933333333333334,35.25080555555556,"{""type"":""Point"",""coordinates"":[35.25080555555556,-0.41933333333333334]}"
"HKES","Eliye Springs","Eliye Springs","Kenya","KEN",3.2136944444444446,35.9675,"{""type"":""Point"",""coordinates"":[35.9675,3.2136944444444446]}"
"HKFG","Ferguson's Gulf","Kalokol","Kenya","KEN",3.4803611111111112,35.83416666666667,"{""type"":""Point"",""coordinates"":[35.83416666666667,3.4803611111111112]}"
"HKAM","Amboseli","Amboseli","Kenya","KEN",-2.6358333333333333,37.25083333333333,"{""type"":""Point"",""coordinates"":[37.25083333333333,-2.6358333333333333]}"
"HKNK","Lanet","Nakuru","Kenya","KEN",-0.30269444444444443,36.15083333333333,"{""type"":""Point"",""coordinates"":[36.15083333333333,-0.30269444444444443]}"
"HKMT","Mtito Andei","Mtito Andei","Kenya","KEN",-2.7191666666666667,38.20086111111112,"{""type"":""Point"",""coordinates"":[38.20086111111112,-2.7191666666666667]}"
"HKBR","Bura East","Bura East","Kenya","KEN",-1.102638888888889,39.95091666666667,"{""type"":""Point"",""coordinates"":[39.95091666666667,-1.102638888888889]}"
