"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"RKTY","Yecheon Aero","Yecheon","Korea","KOR",36.63172222222222,128.35505555555554,"{""type"":""Point"",""coordinates"":[128.35505555555554,36.63172222222222]}"
"RKTN","Daegu Intl","Daegu","Korea","KOR",35.89416666666666,128.6588888888889,"{""type"":""Point"",""coordinates"":[128.6588888888889,35.89416666666666]}"
"RKSW","Suwon","Suwon","Korea","KOR",37.24,127.00666666666666,"{""type"":""Point"",""coordinates"":[127.00666666666666,37.24]}"
"RKNW","Wonju","Wonju","Korea","KOR",37.43805555555555,127.96027777777778,"{""type"":""Point"",""coordinates"":[127.96027777777778,37.43805555555555]}"
"RKSO","Osan AB","Osan","Korea","KOR",37.09061666666667,127.02959444444444,"{""type"":""Point"",""coordinates"":[127.02959444444444,37.09061666666667]}"
"RKSS","Gimpo Intl","Seoul","Korea","KOR",37.55694444444444,126.7975,"{""type"":""Point"",""coordinates"":[126.7975,37.55694444444444]}"
"RKSM","Seoul / Domestic","Seoul","Korea","KOR",37.44583333333333,127.11444444444444,"{""type"":""Point"",""coordinates"":[127.11444444444444,37.44583333333333]}"
"RKTP","Seosan AB","Seosan","Korea","KOR",36.70405,126.48619722222222,"{""type"":""Point"",""coordinates"":[126.48619722222222,36.70405]}"
"RKSI","Incheon Intl","Seoul/Incheon","Korea","KOR",37.462500000000006,126.43916666666667,"{""type"":""Point"",""coordinates"":[126.43916666666667,37.462500000000006]}"
"RKTU","Cheongju Intl","Cheongju","Korea","KOR",36.71638888888889,127.49916666666667,"{""type"":""Point"",""coordinates"":[127.49916666666667,36.71638888888889]}"
"RKSK","Susaek Aero","Susaek","Korea","KOR",37.6,126.86666666666666,"{""type"":""Point"",""coordinates"":[126.86666666666666,37.6]}"
"RKTI","Jungwon AB","Choongwon","Korea","KOR",37.02999722222222,127.88526666666667,"{""type"":""Point"",""coordinates"":[127.88526666666667,37.02999722222222]}"
"RKSG","A-511 (Desiderio AAF)","Camp Humphreys","Korea","KOR",36.96233333333333,127.03107222222222,"{""type"":""Point"",""coordinates"":[127.03107222222222,36.96233333333333]}"
"RKPP","Busan Aero","Busan","Korea","KOR",35.17166666666667,129.12833333333333,"{""type"":""Point"",""coordinates"":[129.12833333333333,35.17166666666667]}"
"RKPU","Ulsan","Ulsan","Korea","KOR",35.593333333333334,129.35222222222222,"{""type"":""Point"",""coordinates"":[129.35222222222222,35.593333333333334]}"
"RKPC","Jeju Intl","Jeju","Korea","KOR",33.51222222222222,126.49277777777777,"{""type"":""Point"",""coordinates"":[126.49277777777777,33.51222222222222]}"
"RKPS","Sacheon","Sacheon","Korea","KOR",35.08861111111111,128.07055555555556,"{""type"":""Point"",""coordinates"":[128.07055555555556,35.08861111111111]}"
"RKTH","Pohang","Pohang","Korea","KOR",35.98777777777778,129.4186111111111,"{""type"":""Point"",""coordinates"":[129.4186111111111,35.98777777777778]}"
"RKNC","A-306","Chunchon","Korea","KOR",37.885,127.715,"{""type"":""Point"",""coordinates"":[127.715,37.885]}"
"RKJJ","Gwangju","Gwangju","Korea","KOR",35.12638888888889,126.80888888888889,"{""type"":""Point"",""coordinates"":[126.80888888888889,35.12638888888889]}"
"RKNY","Yangyang Intl","Yangyang","Korea","KOR",38.061388888888885,128.66916666666665,"{""type"":""Point"",""coordinates"":[128.66916666666665,38.061388888888885]}"
"RKTL","Uljin","Uljin","Korea","KOR",36.776944444444446,129.46166666666664,"{""type"":""Point"",""coordinates"":[129.46166666666664,36.776944444444446]}"
"RKNN","Gangneung","Gangneung","Korea","KOR",37.75375,128.94491666666667,"{""type"":""Point"",""coordinates"":[128.94491666666667,37.75375]}"
2003,"R-510 Aero","Galmi","Korea","KOR",37.215,127.465,"{""type"":""Point"",""coordinates"":[127.465,37.215]}"
"RKRO","R-217 Aero","Pochun","Korea","KOR",37.86333333333334,127.18166666666667,"{""type"":""Point"",""coordinates"":[127.18166666666667,37.86333333333334]}"
"RKPD","Jeongseok","Jeju","Korea","KOR",33.39833333333333,126.71305555555556,"{""type"":""Point"",""coordinates"":[126.71305555555556,33.39833333333333]}"
"RKJY","Yeosu","Yeosu","Korea","KOR",34.842222222222226,127.61722222222221,"{""type"":""Point"",""coordinates"":[127.61722222222221,34.842222222222226]}"
"RKSD","R-222","Kanam-Ni","Korea","KOR",37.83166666666667,126.99,"{""type"":""Point"",""coordinates"":[126.99,37.83166666666667]}"
"RKPK","Gimhae Intl","Busan","Korea","KOR",35.18055555555555,128.93805555555556,"{""type"":""Point"",""coordinates"":[128.93805555555556,35.18055555555555]}"
"RKJK","Gunsan AB","Gunsan","Korea","KOR",35.90376666666666,126.61589444444444,"{""type"":""Point"",""coordinates"":[126.61589444444444,35.90376666666666]}"
"RKJU","Jhunju","Jhunju","Korea","KOR",35.87833333333333,127.11666666666666,"{""type"":""Point"",""coordinates"":[127.11666666666666,35.87833333333333]}"
"RKPE","R-813","Chinhae","Korea","KOR",35.14333333333333,128.695,"{""type"":""Point"",""coordinates"":[128.695,35.14333333333333]}"
"RKJB","Muan Intl","Muan","Korea","KOR",34.99138888888889,126.38277777777778,"{""type"":""Point"",""coordinates"":[126.38277777777778,34.99138888888889]}"
