"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"VLVT","Wattay Intl","Vientiane","Laos","LAO",17.988319444444446,102.56325833333334,"{""type"":""Point"",""coordinates"":[102.56325833333334,17.988319444444446]}"
"VLTK","Thakhek","Thakhek","Laos","LAO",17.396944444444443,104.80666666666666,"{""type"":""Point"",""coordinates"":[104.80666666666666,17.396944444444443]}"
"VLSV","Saravane","Saravane","Laos","LAO",15.709722222222222,106.41111111111111,"{""type"":""Point"",""coordinates"":[106.41111111111111,15.709722222222222]}"
"VLSN","Sam Neua","Sam Neua","Laos","LAO",20.419444444444444,104.06944444444444,"{""type"":""Point"",""coordinates"":[104.06944444444444,20.419444444444444]}"
"VLSB","Sayabouly","Sayabouly","Laos","LAO",19.241666666666667,101.70833333333334,"{""type"":""Point"",""coordinates"":[101.70833333333334,19.241666666666667]}"
"VLLN","Luang Namtha","Luang Namtha","Laos","LAO",21.05,101.46666666666667,"{""type"":""Point"",""coordinates"":[101.46666666666667,21.05]}"
"VLSK","Savannakhet Intl","Savannakhet","Laos","LAO",16.55,104.75972222222222,"{""type"":""Point"",""coordinates"":[104.75972222222222,16.55]}"
"VLPS","Pakse Intl","Champasack","Laos","LAO",15.135277777777777,105.77916666666667,"{""type"":""Point"",""coordinates"":[105.77916666666667,15.135277777777777]}"
"VLOS","Oudomsay","Oudomsay","Laos","LAO",20.666666666666668,102,"{""type"":""Point"",""coordinates"":[102,20.666666666666668]}"
"VLXK","Xiengkhouang","Xiengkhouang","Laos","LAO",19.45,103.15833333333335,"{""type"":""Point"",""coordinates"":[103.15833333333335,19.45]}"
"VLAP","Attapeu","Attapeu","Laos","LAO",14.8,106.81666666666666,"{""type"":""Point"",""coordinates"":[106.81666666666666,14.8]}"
"VLLB","Luang Phabang Intl","Luang Phabang","Laos","LAO",19.905099999999997,102.16779722222223,"{""type"":""Point"",""coordinates"":[102.16779722222223,19.905099999999997]}"
"VLHS","Ban Houeisay","Ban Houeisay","Laos","LAO",20.258333333333333,100.41666666666667,"{""type"":""Point"",""coordinates"":[100.41666666666667,20.258333333333333]}"
