"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"HLZU","Zueitina Oxyl","Zueitina Oxyl","Libyan Arab Jamahiriya","LBY",30.87,20.075555555555557,"{""type"":""Point"",""coordinates"":[20.075555555555557,30.87]}"
"HLZT","Zelten S22","Zelten S22","Libyan Arab Jamahiriya","LBY",28.953333333333333,19.771666666666665,"{""type"":""Point"",""coordinates"":[19.771666666666665,28.953333333333333]}"
"HLZG","Oxy 103A","Oxy 103A","Libyan Arab Jamahiriya","LBY",29.045,20.781666666666666,"{""type"":""Point"",""coordinates"":[20.781666666666666,29.045]}"
"HLUB","Ubari","Ubari","Libyan Arab Jamahiriya","LBY",26.567633333333333,12.823116666666666,"{""type"":""Point"",""coordinates"":[12.823116666666666,26.567633333333333]}"
"HLTS","Tebisty V9","Tebisty V9","Libyan Arab Jamahiriya","LBY",28.605,19.305,"{""type"":""Point"",""coordinates"":[19.305,28.605]}"
"HLSD","Essider OJ","Essider OJ","Libyan Arab Jamahiriya","LBY",30.625,18.35138888888889,"{""type"":""Point"",""coordinates"":[18.35138888888889,30.625]}"
"HLTD","Ghadames","Ghadames","Libyan Arab Jamahiriya","LBY",30.151666666666664,9.715333333333332,"{""type"":""Point"",""coordinates"":[9.715333333333332,30.151666666666664]}"
"HLSH","Sahil","Sahil","Libyan Arab Jamahiriya","LBY",29.540000000000003,20.17,"{""type"":""Point"",""coordinates"":[20.17,29.540000000000003]}"
"HLZA","Zella Z74","Zella Z74","Libyan Arab Jamahiriya","LBY",28.58888888888889,17.301111111111112,"{""type"":""Point"",""coordinates"":[17.301111111111112,28.58888888888889]}"
"HLRA","Dahra WH32","Dahra WH32","Libyan Arab Jamahiriya","LBY",29.473333333333333,17.958333333333332,"{""type"":""Point"",""coordinates"":[17.958333333333332,29.473333333333333]}"
"HLMS","Misrata Intl","Misrata","Libyan Arab Jamahiriya","LBY",32.32416666666667,15.061944444444444,"{""type"":""Point"",""coordinates"":[15.061944444444444,32.32416666666667]}"
"HLTQ","Tobruk","Tobruk","Libyan Arab Jamahiriya","LBY",31.86003888888889,23.90630833333333,"{""type"":""Point"",""coordinates"":[23.90630833333333,31.86003888888889]}"
"HLLB","Benina Intl","Benghazi","Libyan Arab Jamahiriya","LBY",32.096805555555555,20.26956111111111,"{""type"":""Point"",""coordinates"":[20.26956111111111,32.096805555555555]}"
"HLBD","Beda M3","Beda M3","Libyan Arab Jamahiriya","LBY",28.483333333333334,19,"{""type"":""Point"",""coordinates"":[19,28.483333333333334]}"
"HLMB","Marsa Brega S21","Marsa Brega S21","Libyan Arab Jamahiriya","LBY",30.384999999999998,19.573333333333334,"{""type"":""Point"",""coordinates"":[19.573333333333334,30.384999999999998]}"
"HLML","Messla 5ALV","Messla 5ALV","Libyan Arab Jamahiriya","LBY",27.974999999999998,22.358333333333334,"{""type"":""Point"",""coordinates"":[22.358333333333334,27.974999999999998]}"
"HLGL","Gialo WH59E","Gialo WH59E","Libyan Arab Jamahiriya","LBY",28.668055555555558,21.441666666666666,"{""type"":""Point"",""coordinates"":[21.441666666666666,28.668055555555558]}"
"HLNM","Hamada NC8","Hamada NC8","Libyan Arab Jamahiriya","LBY",29.513333333333332,12.945,"{""type"":""Point"",""coordinates"":[12.945,29.513333333333332]}"
"HLWA","Waha WH59A","Waha WH59A","Libyan Arab Jamahiriya","LBY",28.290000000000003,19.946666666666665,"{""type"":""Point"",""coordinates"":[19.946666666666665,28.290000000000003]}"
"HLLQ","Labraq","El Beida","Libyan Arab Jamahiriya","LBY",32.78861111111111,21.964444444444442,"{""type"":""Point"",""coordinates"":[21.964444444444442,32.78861111111111]}"
"HLLM","Mitiga Intl","Tripoli","Libyan Arab Jamahiriya","LBY",32.894444444444446,13.277777777777779,"{""type"":""Point"",""coordinates"":[13.277777777777779,32.894444444444446]}"
"HLWF","Wafa","Wafa","Libyan Arab Jamahiriya","LBY",28.903055555555554,10.081666666666667,"{""type"":""Point"",""coordinates"":[10.081666666666667,28.903055555555554]}"
