"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"VCCW","Wirawila","Wirawila","Sri Lanka","LKA",6.25,81.23333333333333,"{""type"":""Point"",""coordinates"":[81.23333333333333,6.25]}"
"VCCC","Colombo","Ratmalana","Sri Lanka","LKA",6.823055555555555,79.885,"{""type"":""Point"",""coordinates"":[79.885,6.823055555555555]}"
"VCCG","Amparai","Gal Oya","Sri Lanka","LKA",7.336944444444444,81.63027777777778,"{""type"":""Point"",""coordinates"":[81.63027777777778,7.336944444444444]}"
"VCCN","Katukurunda AB","Katukurunda","Sri Lanka","LKA",6.552777777777778,79.9738888888889,"{""type"":""Point"",""coordinates"":[79.9738888888889,6.552777777777778]}"
"VCCK","Koggala","Koggala","Sri Lanka","LKA",5.993611111111111,80.31861111111111,"{""type"":""Point"",""coordinates"":[80.31861111111111,5.993611111111111]}"
"VCCH","Minneriya","Hingurakgoda","Sri Lanka","LKA",8.049833333333334,80.98136111111111,"{""type"":""Point"",""coordinates"":[80.98136111111111,8.049833333333334]}"
"VCCJ","Jaffna","Kankesanturai","Sri Lanka","LKA",9.791944444444445,80.06305555555555,"{""type"":""Point"",""coordinates"":[80.06305555555555,9.791944444444445]}"
"VCCT","China Bay","Trincomalee","Sri Lanka","LKA",8.54,81.16777777777779,"{""type"":""Point"",""coordinates"":[81.16777777777779,8.54]}"
"VCCS","Sigiriya","Sigiriya","Sri Lanka","LKA",7.957861111111112,80.72975,"{""type"":""Point"",""coordinates"":[80.72975,7.957861111111112]}"
"VCRI","Mattala Rajapaksa Intl","Mattala","Sri Lanka","LKA",6.284466666666667,81.12412777777777,"{""type"":""Point"",""coordinates"":[81.12412777777777,6.284466666666667]}"
"VCCV","Vavuniya","Vavuniya","Sri Lanka","LKA",8.741,80.49783333333333,"{""type"":""Point"",""coordinates"":[80.49783333333333,8.741]}"
"VCCA","Anuradhapura","Anuradhapura","Sri Lanka","LKA",8.30188888888889,80.42877777777778,"{""type"":""Point"",""coordinates"":[80.42877777777778,8.30188888888889]}"
"VCCB","Batticaloa","Batticaloa","Sri Lanka","LKA",7.703611111111111,81.67972222222222,"{""type"":""Point"",""coordinates"":[81.67972222222222,7.703611111111111]}"
"VCBI","Bandaranaike Intl Colombo","Katunayake","Sri Lanka","LKA",7.180188888888889,79.8853,"{""type"":""Point"",""coordinates"":[79.8853,7.180188888888889]}"
