"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"FXSM","Semonkong","Semonkong","Lesotho","LSO",-29.83888888888889,28.058333333333334,"{""type"":""Point"",""coordinates"":[28.058333333333334,-29.83888888888889]}"
"FXMU","Mejametalana AB","Maseru","Lesotho","LSO",-29.302777777777777,27.502777777777776,"{""type"":""Point"",""coordinates"":[27.502777777777776,-29.302777777777777]}"
"FXSH","Sehonghong","Sehonghong","Lesotho","LSO",-29.730555555555554,28.769444444444442,"{""type"":""Point"",""coordinates"":[28.769444444444442,-29.730555555555554]}"
"FXMM","Moshoeshoe I Intl","Maseru","Lesotho","LSO",-29.454444444444444,27.55527777777778,"{""type"":""Point"",""coordinates"":[27.55527777777778,-29.454444444444444]}"
"FXMK","Mokhotlong","Mokhotlong","Lesotho","LSO",-29.280555555555555,29.072222222222223,"{""type"":""Point"",""coordinates"":[29.072222222222223,-29.280555555555555]}"
"FXMF","Mafeteng","Mafeteng","Lesotho","LSO",-29.8,27.244444444444447,"{""type"":""Point"",""coordinates"":[27.244444444444447,-29.8]}"
"FXLT","Letseng","Letseng","Lesotho","LSO",-29.008333333333333,28.855555555555558,"{""type"":""Point"",""coordinates"":[28.855555555555558,-29.008333333333333]}"
"FXQN","Qacha's Nek","Qacha's Nek","Lesotho","LSO",-30.111111111111114,28.672222222222224,"{""type"":""Point"",""coordinates"":[28.672222222222224,-30.111111111111114]}"
"FXLR","Leribe","Leribe","Lesotho","LSO",-28.855555555555558,28.052777777777777,"{""type"":""Point"",""coordinates"":[28.052777777777777,-28.855555555555558]}"
"FXKA","Katse","Katse","Lesotho","LSO",-29.361111111111114,28.52638888888889,"{""type"":""Point"",""coordinates"":[28.52638888888889,-29.361111111111114]}"
