"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"EYZA","Zarasai","Zarasai","Lithuania","LTU",55.751666666666665,26.261944444444445,"{""type"":""Point"",""coordinates"":[26.261944444444445,55.751666666666665]}"
"EYPI","Istra","Panevezys","Lithuania","LTU",55.8275,24.358333333333334,"{""type"":""Point"",""coordinates"":[24.358333333333334,55.8275]}"
"EYUT","Utena","Utena","Lithuania","LTU",55.48916666666667,25.718055555555555,"{""type"":""Point"",""coordinates"":[25.718055555555555,55.48916666666667]}"
"EYVP","Paluknys","Paluknys","Lithuania","LTU",54.48305555555556,24.992222222222225,"{""type"":""Point"",""coordinates"":[24.992222222222225,54.48305555555556]}"
"EYMO","Moletai","Moletai","Lithuania","LTU",55.11277777777778,25.336388888888887,"{""type"":""Point"",""coordinates"":[25.336388888888887,55.11277777777778]}"
"EYVK","Kyviskes","Kyviskes","Lithuania","LTU",54.668055555555554,25.515833333333333,"{""type"":""Point"",""coordinates"":[25.515833333333333,54.668055555555554]}"
"EYTR","Taurage","Taurage","Lithuania","LTU",55.23166666666667,22.150277777777777,"{""type"":""Point"",""coordinates"":[22.150277777777777,55.23166666666667]}"
"EYSI","Silute","Silute","Lithuania","LTU",55.33694444444445,21.530555555555555,"{""type"":""Point"",""coordinates"":[21.530555555555555,55.33694444444445]}"
"EYSE","Seduva","Seduva","Lithuania","LTU",55.74638888888889,23.804722222222225,"{""type"":""Point"",""coordinates"":[23.804722222222225,55.74638888888889]}"
"EYSB","Barysiai","Barysiai","Lithuania","LTU",56.07055555555556,23.558055555555555,"{""type"":""Point"",""coordinates"":[23.558055555555555,56.07055555555556]}"
"EYPR","Pociunai","Pociunai","Lithuania","LTU",54.65361111111111,24.05638888888889,"{""type"":""Point"",""coordinates"":[24.05638888888889,54.65361111111111]}"
"EYSA","Siauliai","Siauliai","Lithuania","LTU",55.89388888888889,23.395,"{""type"":""Point"",""coordinates"":[23.395,55.89388888888889]}"
"EYRD","Rudiskes","Rudiskes","Lithuania","LTU",54.495555555555555,24.717499999999998,"{""type"":""Point"",""coordinates"":[24.717499999999998,54.495555555555555]}"
"EYIG","Ignalina","Ignalina","Lithuania","LTU",55.244166666666665,26.172222222222224,"{""type"":""Point"",""coordinates"":[26.172222222222224,55.244166666666665]}"
"EYKL","Klaipeda","Klaipeda","Lithuania","LTU",55.71194444444445,21.24277777777778,"{""type"":""Point"",""coordinates"":[21.24277777777778,55.71194444444445]}"
"EYPA","Palanga Intl","Palanga","Lithuania","LTU",55.973333333333336,21.093888888888888,"{""type"":""Point"",""coordinates"":[21.093888888888888,55.973333333333336]}"
"EYKS","S. Dariaus/S. Gireno","Kaunas","Lithuania","LTU",54.87972222222222,23.880833333333335,"{""type"":""Point"",""coordinates"":[23.880833333333335,54.87972222222222]}"
"EYTL","Telsiai","Telsiai","Lithuania","LTU",55.98638888888889,22.28777777777778,"{""type"":""Point"",""coordinates"":[22.28777777777778,55.98638888888889]}"
"EYNA","Akmene","Akmene","Lithuania","LTU",56.242222222222225,22.733055555555556,"{""type"":""Point"",""coordinates"":[22.733055555555556,56.242222222222225]}"
"EYRO","Rojunai","Rojunai","Lithuania","LTU",55.61083333333333,24.22083333333333,"{""type"":""Point"",""coordinates"":[24.22083333333333,55.61083333333333]}"
"EYKT","Kartena","Kartena","Lithuania","LTU",55.92027777777778,21.56722222222222,"{""type"":""Point"",""coordinates"":[21.56722222222222,55.92027777777778]}"
"EYVI","Vilnius Intl","Vilnius","Lithuania","LTU",54.636944444444445,25.28777777777778,"{""type"":""Point"",""coordinates"":[25.28777777777778,54.636944444444445]}"
"EYMM","Sasnava","Sasnava","Lithuania","LTU",54.66444444444444,23.455277777777777,"{""type"":""Point"",""coordinates"":[23.455277777777777,54.66444444444444]}"
"EYPN","Panevezys","Panevezys","Lithuania","LTU",55.70888888888889,24.345277777777778,"{""type"":""Point"",""coordinates"":[24.345277777777778,55.70888888888889]}"
"EYMA","J. Kumpikevicaus","Mazeikiai","Lithuania","LTU",56.230555555555554,22.259444444444444,"{""type"":""Point"",""coordinates"":[22.259444444444444,56.230555555555554]}"
"EYAL","Alytus","Alytus","Lithuania","LTU",54.41277777777778,24.055555555555557,"{""type"":""Point"",""coordinates"":[24.055555555555557,54.41277777777778]}"
"EYBI","Birzai","Birzai","Lithuania","LTU",56.17611111111111,24.76,"{""type"":""Point"",""coordinates"":[24.76,56.17611111111111]}"
"EYDR","Druskininkai","Druskininkai","Lithuania","LTU",54.015,23.94388888888889,"{""type"":""Point"",""coordinates"":[23.94388888888889,54.015]}"
"EYKA","Kaunas Intl","Kaunas","Lithuania","LTU",54.96388888888889,24.084722222222222,"{""type"":""Point"",""coordinates"":[24.084722222222222,54.96388888888889]}"
