"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"GMTT","Ibn Batouta Intl","Tanger","Morocco","MAR",35.73166666666667,-5.921111111111111,"{""type"":""Point"",""coordinates"":[-5.921111111111111,35.73166666666667]}"
"GMTN","Saniat R'mel","Tetouan","Morocco","MAR",35.59444444444445,-5.319999999999999,"{""type"":""Point"",""coordinates"":[-5.319999999999999,35.59444444444445]}"
"GMTA","Cherif El Idrissi Intl","Al Hoceima","Morocco","MAR",35.17972222222222,-3.8400000000000003,"{""type"":""Point"",""coordinates"":[-3.8400000000000003,35.17972222222222]}"
"GMMX","Menara Intl","Marrakech","Morocco","MAR",31.608611111111113,-8.040833333333333,"{""type"":""Point"",""coordinates"":[-8.040833333333333,31.608611111111113]}"
"GMMB","Benslimane","Benslimane","Morocco","MAR",33.65432222222222,-7.225716666666667,"{""type"":""Point"",""coordinates"":[-7.225716666666667,33.65432222222222]}"
"GMMN","Mohammed V Intl","Casablanca","Morocco","MAR",33.36416666666667,-7.581666666666666,"{""type"":""Point"",""coordinates"":[-7.581666666666666,33.36416666666667]}"
"GMAA","Inezgane","Agadir","Morocco","MAR",30.38277777777778,-9.558144444444444,"{""type"":""Point"",""coordinates"":[-9.558144444444444,30.38277777777778]}"
"GMMI","Mogador Intl","Essaouira","Morocco","MAR",31.399166666666666,-9.683055555555555,"{""type"":""Point"",""coordinates"":[-9.683055555555555,31.399166666666666]}"
"GMMD","Beni Mellal Intl","Beni Mellal","Morocco","MAR",32.401944444444446,-6.316111111111111,"{""type"":""Point"",""coordinates"":[-6.316111111111111,32.401944444444446]}"
"GMFO","Angads Intl","Oujda","Morocco","MAR",34.78611111111111,-1.9255555555555555,"{""type"":""Point"",""coordinates"":[-1.9255555555555555,34.78611111111111]}"
"GMMZ","Ouarzazate Intl","Ouarzazate","Morocco","MAR",30.93722222222222,-6.9061111111111115,"{""type"":""Point"",""coordinates"":[-6.9061111111111115,30.93722222222222]}"
"GMFB","Bouarfa","Bouarfa","Morocco","MAR",32.51444444444444,-1.9783333333333335,"{""type"":""Point"",""coordinates"":[-1.9783333333333335,32.51444444444444]}"
"GMME","Sale Intl","Rabat","Morocco","MAR",34.05138888888889,-6.751666666666667,"{""type"":""Point"",""coordinates"":[-6.751666666666667,34.05138888888889]}"
"GMFI","Ifrane","Ifrane","Morocco","MAR",33.50555555555555,-5.152500000000001,"{""type"":""Point"",""coordinates"":[-5.152500000000001,33.50555555555555]}"
"GMAT","Plage Blanche Intl","Tan Tan","Morocco","MAR",28.448333333333334,-11.161388888888888,"{""type"":""Point"",""coordinates"":[-11.161388888888888,28.448333333333334]}"
"GMAZ","Zagora","Zagora","Morocco","MAR",30.26388888888889,-5.853055555555555,"{""type"":""Point"",""coordinates"":[-5.853055555555555,30.26388888888889]}"
"GMFF","Saiss Intl","Fes","Morocco","MAR",33.92722222222222,-4.977777777777778,"{""type"":""Point"",""coordinates"":[-4.977777777777778,33.92722222222222]}"
"GMFK","Moulay Ali Cherif Intl","Errachidia","Morocco","MAR",31.948055555555555,-4.400555555555556,"{""type"":""Point"",""coordinates"":[-4.400555555555556,31.948055555555555]}"
"GMMW","El Aroui Intl","Nador","Morocco","MAR",34.989444444444445,-3.0277777777777777,"{""type"":""Point"",""coordinates"":[-3.0277777777777777,34.989444444444445]}"
"GMAG","Guelmime","Guelmime","Morocco","MAR",29.016944444444444,-10.061388888888889,"{""type"":""Point"",""coordinates"":[-10.061388888888889,29.016944444444444]}"
"GMMT","Tit Mellil","Casablanca","Morocco","MAR",33.593611111111116,-7.464444444444444,"{""type"":""Point"",""coordinates"":[-7.464444444444444,33.593611111111116]}"
"GMAD","Al Massira Intl","Agadir","Morocco","MAR",30.322499999999998,-9.411388888888888,"{""type"":""Point"",""coordinates"":[-9.411388888888888,30.322499999999998]}"
