"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"FMSN","Samangoky","Tanandava","Madagascar","MDG",-21.7,43.733333333333334,"{""type"":""Point"",""coordinates"":[43.733333333333334,-21.7]}"
"FMSM","Mananjary","Mananjary","Madagascar","MDG",-21.206666666666667,48.35611111111111,"{""type"":""Point"",""coordinates"":[48.35611111111111,-21.206666666666667]}"
"FMST","Toliary","Toliary","Madagascar","MDG",-23.389444444444443,43.725500000000004,"{""type"":""Point"",""coordinates"":[43.725500000000004,-23.389444444444443]}"
"FMSJ","Manja","Manja","Madagascar","MDG",-21.42638888888889,44.31583333333333,"{""type"":""Point"",""coordinates"":[44.31583333333333,-21.42638888888889]}"
"FMSF","Fianarantsoa","Fianarantsoa","Madagascar","MDG",-21.442222222222224,47.11083333333333,"{""type"":""Point"",""coordinates"":[47.11083333333333,-21.442222222222224]}"
"FMSD","Tolagnaro","Tolagnaro","Madagascar","MDG",-25.03805555555556,46.95611111111111,"{""type"":""Point"",""coordinates"":[46.95611111111111,-25.03805555555556]}"
"FMSB","Antsoa","Beroroha","Madagascar","MDG",-21.605833333333333,45.13583333333333,"{""type"":""Point"",""coordinates"":[45.13583333333333,-21.605833333333333]}"
"FMNN","Fascene","Nosy-Be","Madagascar","MDG",-13.318055555555555,48.30916666666666,"{""type"":""Point"",""coordinates"":[48.30916666666666,-13.318055555555555]}"
"FMSA","Ambalavao","Ambalavao","Madagascar","MDG",-21.815555555555555,46.91583333333333,"{""type"":""Point"",""coordinates"":[46.91583333333333,-21.815555555555555]}"
"FMMO","Maintirano","Maintirano","Madagascar","MDG",-18.050833333333333,44.032222222222224,"{""type"":""Point"",""coordinates"":[44.032222222222224,-18.050833333333333]}"
"FMNX","Mandritsara","Mandritsara","Madagascar","MDG",-15.846666666666668,48.83555555555556,"{""type"":""Point"",""coordinates"":[48.83555555555556,-15.846666666666668]}"
"FMSK","Manakara","Manakara","Madagascar","MDG",-22.120555555555555,48.02111111111111,"{""type"":""Point"",""coordinates"":[48.02111111111111,-22.120555555555555]}"
"FMMI","Ivato","Antananarivo","Madagascar","MDG",-18.79652777777778,47.476083333333335,"{""type"":""Point"",""coordinates"":[47.476083333333335,-18.79652777777778]}"
"FMNH","Antsirabato","Antalaha","Madagascar","MDG",-14.998888888888889,50.32,"{""type"":""Point"",""coordinates"":[50.32,-14.998888888888889]}"
"FMMQ","Atsinanana","Ilaka","Madagascar","MDG",-19.583333333333332,48.8,"{""type"":""Point"",""coordinates"":[48.8,-19.583333333333332]}"
"FMNA","Arrachart","Antsiranana","Madagascar","MDG",-12.351111111111111,49.29416666666666,"{""type"":""Point"",""coordinates"":[49.29416666666666,-12.351111111111111]}"
"FMNQ","Besalampy","Besalampy","Madagascar","MDG",-16.74416666666667,44.48388888888889,"{""type"":""Point"",""coordinates"":[44.48388888888889,-16.74416666666667]}"
"FMMH","Mahanoro","Mahanoro","Madagascar","MDG",-19.836388888888887,48.79944444444444,"{""type"":""Point"",""coordinates"":[48.79944444444444,-19.836388888888887]}"
"FMMV","Morondava","Morondava","Madagascar","MDG",-20.284805555555558,44.31766666666667,"{""type"":""Point"",""coordinates"":[44.31766666666667,-20.284805555555558]}"
"FMNR","Maroantsetra","Maroantsetra","Madagascar","MDG",-15.438333333333334,49.69,"{""type"":""Point"",""coordinates"":[49.69,-15.438333333333334]}"
"FMSL","Bekily","Bekily","Madagascar","MDG",-24.23611111111111,45.30472222222222,"{""type"":""Point"",""coordinates"":[45.30472222222222,-24.23611111111111]}"
"FMMU","Tambohorano","Tambohorano","Madagascar","MDG",-17.483333333333334,43.96666666666667,"{""type"":""Point"",""coordinates"":[43.96666666666667,-17.483333333333334]}"
"FMND","Andapa","Andapa","Madagascar","MDG",-14.65,49.61666666666667,"{""type"":""Point"",""coordinates"":[49.61666666666667,-14.65]}"
"FMNS","Sambava South","Sambava","Madagascar","MDG",-14.278611111111111,50.17472222222222,"{""type"":""Point"",""coordinates"":[50.17472222222222,-14.278611111111111]}"
"FMMT","Toamasina","Toamasina","Madagascar","MDG",-18.115833333333335,49.39333333333333,"{""type"":""Point"",""coordinates"":[49.39333333333333,-18.115833333333335]}"
"FMMS","Sainte-Marie","Sainte-Marie","Madagascar","MDG",-17.090277777777775,49.815555555555555,"{""type"":""Point"",""coordinates"":[49.815555555555555,-17.090277777777775]}"
"FMSI","Ihosy","Ihosy","Madagascar","MDG",-22.40611111111111,46.16694444444444,"{""type"":""Point"",""coordinates"":[46.16694444444444,-22.40611111111111]}"
"FMMG","Antsalova","Antsalova","Madagascar","MDG",-18.70138888888889,44.61472222222223,"{""type"":""Point"",""coordinates"":[44.61472222222223,-18.70138888888889]}"
"FMSC","Mandabe","Mandabe","Madagascar","MDG",-21.04638888888889,44.94,"{""type"":""Point"",""coordinates"":[44.94,-21.04638888888889]}"
"FMMK","Ankavandra","Ankavandra","Madagascar","MDG",-18.805833333333332,45.27388888888889,"{""type"":""Point"",""coordinates"":[45.27388888888889,-18.805833333333332]}"
"FMMN","Miandrivazo","Miandrivazo","Madagascar","MDG",-19.566666666666666,45.45,"{""type"":""Point"",""coordinates"":[45.45,-19.566666666666666]}"
"FMMR","Morafenobe","Morafenobe","Madagascar","MDG",-17.85027777777778,44.920833333333334,"{""type"":""Point"",""coordinates"":[44.920833333333334,-17.85027777777778]}"
"FMFE","Ambohibary Moramanga","Moramanga","Madagascar","MDG",-18.91702777777778,48.218694444444445,"{""type"":""Point"",""coordinates"":[48.218694444444445,-18.91702777777778]}"
"FMSY","Ampanihy","Ampanihy","Madagascar","MDG",-24.699166666666667,44.7325,"{""type"":""Point"",""coordinates"":[44.7325,-24.699166666666667]}"
"FMNO","Soalala","Soalala","Madagascar","MDG",-16.1,45.36666666666667,"{""type"":""Point"",""coordinates"":[45.36666666666667,-16.1]}"
"FMNM","Philibert Tsiranana","Mahajanga","Madagascar","MDG",-15.666666666666666,46.35111111111111,"{""type"":""Point"",""coordinates"":[46.35111111111111,-15.666666666666666]}"
"FMMC","Malaimbandy","Malaimbandy","Madagascar","MDG",-20.35638888888889,45.54111111111111,"{""type"":""Point"",""coordinates"":[45.54111111111111,-20.35638888888889]}"
"FMNL","Analalava","Analalava","Madagascar","MDG",-14.63,47.7625,"{""type"":""Point"",""coordinates"":[47.7625,-14.63]}"
