"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"PPC","Punta Pescadero","Punta Pescadero","Mexico","MEX",23.798055555555557,-109.70555555555556,"{""type"":""Point"",""coordinates"":[-109.70555555555556,23.798055555555557]}"
"MMZO","Playa De Oro Intl","Manzanillo","Mexico","MEX",19.14476388888889,-104.558475,"{""type"":""Point"",""coordinates"":[-104.558475,19.14476388888889]}"
"MMZM","Zamora","Zamora","Mexico","MEX",20.044444444444448,-102.27555555555556,"{""type"":""Point"",""coordinates"":[-102.27555555555556,20.044444444444448]}"
"MMVR","Gen Heriberto Jara Intl","Veracruz","Mexico","MEX",19.145780555555554,-96.1873638888889,"{""type"":""Point"",""coordinates"":[-96.1873638888889,19.145780555555554]}"
"MMVA","C P A Carlos Rovirosa Intl","Villahermosa","Mexico","MEX",17.997019444444444,-92.81481388888889,"{""type"":""Point"",""coordinates"":[-92.81481388888889,17.997019444444444]}"
"MMMX","Benito Juarez Intl","Mexico City","Mexico","MEX",19.436394444444446,-99.07196944444443,"{""type"":""Point"",""coordinates"":[-99.07196944444443,19.436394444444446]}"
"MMPL","Punta Colorada","Punta Colorada","Mexico","MEX",23.566666666666666,-109.53333333333333,"{""type"":""Point"",""coordinates"":[-109.53333333333333,23.566666666666666]}"
"MMTJ","Gen Abelardo L Rodriguez Intl","Tijuana","Mexico","MEX",32.54105555555555,-116.96995833333334,"{""type"":""Point"",""coordinates"":[-116.96995833333334,32.54105555555555]}"
"MMTB","Gral de Div P A Angel H Corzo Molina","Teran","Mexico","MEX",16.739977777777778,-93.17323333333334,"{""type"":""Point"",""coordinates"":[-93.17323333333334,16.739977777777778]}"
"MMSD","Los Cabos Intl","San Jose Del Cabo","Mexico","MEX",23.152075,-109.72074166666667,"{""type"":""Point"",""coordinates"":[-109.72074166666667,23.152075]}"
"MMRX","Gen Lucio Blanco Intl","Reynosa","Mexico","MEX",26.00858611111111,-98.22824722222222,"{""type"":""Point"",""coordinates"":[-98.22824722222222,26.00858611111111]}"
"MMGR","Guerrero Negro","Guerrero Negro","Mexico","MEX",28.02615833333333,-114.02398611111111,"{""type"":""Point"",""coordinates"":[-114.02398611111111,28.02615833333333]}"
"MMPC","Ing Juan Guillermo Villasana","Pachuca","Mexico","MEX",20.07361111111111,-98.78333333333333,"{""type"":""Point"",""coordinates"":[-98.78333333333333,20.07361111111111]}"
"MMQT","Queretaro Intl","Queretaro","Mexico","MEX",20.617372222222222,-100.18566111111112,"{""type"":""Point"",""coordinates"":[-100.18566111111112,20.617372222222222]}"
"MMPT","Puerto Cortes","Puerto Cortes","Mexico","MEX",24.483333333333334,-111.83333333333333,"{""type"":""Point"",""coordinates"":[-111.83333333333333,24.483333333333334]}"
"MMCS","Abraham Gonzalez Intl","Ciudad Juarez","Mexico","MEX",31.636358333333334,-106.42876111111111,"{""type"":""Point"",""coordinates"":[-106.42876111111111,31.636358333333334]}"
