"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"GATS","Tessalit","Tessalit","Mali","MLI",20.24625,0.98075,"{""type"":""Point"",""coordinates"":[0.98075,20.24625]}"
"GATB","Tombouctou","Tombouctou","Mali","MLI",16.733888888888888,-2.9986111111111113,"{""type"":""Point"",""coordinates"":[-2.9986111111111113,16.733888888888888]}"
"GANK","Keibane","Nara","Mali","MLI",15.234166666666665,-7.268658333333334,"{""type"":""Point"",""coordinates"":[-7.268658333333334,15.234166666666665]}"
"GABR","Bourem","Bourem","Mali","MLI",17.033333333333335,-0.4,"{""type"":""Point"",""coordinates"":[-0.4,17.033333333333335]}"
"GAGM","Goundam","Goundam","Mali","MLI",16.35,-3.6,"{""type"":""Point"",""coordinates"":[-3.6,16.35]}"
"GAMB","Ambodedjo","Mopti","Mali","MLI",14.508611111111112,-4.0841666666666665,"{""type"":""Point"",""coordinates"":[-4.0841666666666665,14.508611111111112]}"
"GAAO","Ansongo","Ansongo","Mali","MLI",15.7,0.5,"{""type"":""Point"",""coordinates"":[0.5,15.7]}"
"GAKT","Kita","Kita","Mali","MLI",13.066666666666666,-9.483333333333333,"{""type"":""Point"",""coordinates"":[-9.483333333333333,13.066666666666666]}"
"GAMA","Markala","Markala","Mali","MLI",13.7,-6.066666666666666,"{""type"":""Point"",""coordinates"":[-6.066666666666666,13.7]}"
"GASO","Dignangan","Sikasso","Mali","MLI",11.598158333333334,-5.7989,"{""type"":""Point"",""coordinates"":[-5.7989,11.598158333333334]}"
"GAMK","Menaka","Menaka","Mali","MLI",15.85,2.4333333333333336,"{""type"":""Point"",""coordinates"":[2.4333333333333336,15.85]}"
"GAKO","Koutiala","Koutiala","Mali","MLI",12.350902777777778,-5.430508333333334,"{""type"":""Point"",""coordinates"":[-5.430508333333334,12.350902777777778]}"
"GAYE","Yelimane","Yelimane","Mali","MLI",15.123741666666668,-10.571166666666667,"{""type"":""Point"",""coordinates"":[-10.571166666666667,15.123741666666668]}"
"GABF","Bafoulabe","Bafoulabe","Mali","MLI",13.804341666666668,-10.85113611111111,"{""type"":""Point"",""coordinates"":[-10.85113611111111,13.804341666666668]}"
"GAKL","Kidal","Kidal","Mali","MLI",18.433333333333334,1.4166666666666667,"{""type"":""Point"",""coordinates"":[1.4166666666666667,18.433333333333334]}"
"GANF","Niafunke","Niafunke","Mali","MLI",15.933333333333334,-4.016666666666667,"{""type"":""Point"",""coordinates"":[-4.016666666666667,15.933333333333334]}"
"GAKA","Kenieba","Kenieba","Mali","MLI",12.843277777777779,-11.249969444444444,"{""type"":""Point"",""coordinates"":[-11.249969444444444,12.843277777777779]}"
"GANR","Nioro","Nioro","Mali","MLI",15.238763888888888,-9.576513888888888,"{""type"":""Point"",""coordinates"":[-9.576513888888888,15.238763888888888]}"
"GAGO","Korogoussou","Gao","Mali","MLI",16.248222222222225,-0.005888888888888889,"{""type"":""Point"",""coordinates"":[-0.005888888888888889,16.248222222222225]}"
"GAKD","Dag Dag","Kayes","Mali","MLI",14.481708333333334,-11.401941666666668,"{""type"":""Point"",""coordinates"":[-11.401941666666668,14.481708333333334]}"
"GABS","Senou","Bamako","Mali","MLI",12.53786388888889,-7.943252777777778,"{""type"":""Point"",""coordinates"":[-7.943252777777778,12.53786388888889]}"
"GABD","Bandiagara","Bandiagara","Mali","MLI",14.333333333333334,-3.6,"{""type"":""Point"",""coordinates"":[-3.6,14.333333333333334]}"
