"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"ZMUG","Deglii Tsagaan","Deglii Tsagaan","Mongolia","MNG",50.06666666666667,91.9363888888889,"{""type"":""Point"",""coordinates"":[91.9363888888889,50.06666666666667]}"
"ZMDZ","Gurvansaikhan","Gurvansaikhan","Mongolia","MNG",43.608333333333334,104.36611111111111,"{""type"":""Point"",""coordinates"":[104.36611111111111,43.608333333333334]}"
"ZMKB","Khanbumbat","Khanbumbat","Mongolia","MNG",43.14361111111111,106.84388888888888,"{""type"":""Point"",""coordinates"":[106.84388888888888,43.14361111111111]}"
"ZMMG","Mandalgobi","Mandalgobi","Mongolia","MNG",45.7355,106.26933333333334,"{""type"":""Point"",""coordinates"":[106.26933333333334,45.7355]}"
"ZMUH","Undurkhaan","Khentii","Mongolia","MNG",47.30444444444444,110.60888888888888,"{""type"":""Point"",""coordinates"":[110.60888888888888,47.30444444444444]}"
"ZMBH","Bayankhongor","Bayankhongor","Mongolia","MNG",46.1675,100.70277777777778,"{""type"":""Point"",""coordinates"":[100.70277777777778,46.1675]}"
"ZMUB","Chinggis Khaan Intl","Ulaanbaatar","Mongolia","MNG",47.8425,106.7675,"{""type"":""Point"",""coordinates"":[106.7675,47.8425]}"
"ZMHG","Khatgal","Khatgal","Mongolia","MNG",50.44027777777777,100.13444444444445,"{""type"":""Point"",""coordinates"":[100.13444444444445,50.44027777777777]}"
"ZMAT","Altai","Gobi Altai","Mongolia","MNG",46.37638888888889,96.21888888888888,"{""type"":""Point"",""coordinates"":[96.21888888888888,46.37638888888889]}"
"ZMCD","Dornod","Choibalsan","Mongolia","MNG",48.135,114.6463888888889,"{""type"":""Point"",""coordinates"":[114.6463888888889,48.135]}"
"ZMBU","Baruun-Urt","Baruun-Urt","Mongolia","MNG",46.66027777777778,113.28527777777778,"{""type"":""Point"",""coordinates"":[113.28527777777778,46.66027777777778]}"
"ZMUL","Ulgii","Bayan-Ulgii","Mongolia","MNG",48.994166666666665,89.92333333333333,"{""type"":""Point"",""coordinates"":[89.92333333333333,48.994166666666665]}"
"ZMMN","Muren","Muren","Mongolia","MNG",49.66277777777778,100.09944444444444,"{""type"":""Point"",""coordinates"":[100.09944444444444,49.66277777777778]}"
"ZMKD","Khovd","Khovd","Mongolia","MNG",47.95444444444445,91.6275,"{""type"":""Point"",""coordinates"":[91.6275,47.95444444444445]}"
"ZMAH","Arvaikheer","Arvaikheer","Mongolia","MNG",46.25,102.80166666666666,"{""type"":""Point"",""coordinates"":[102.80166666666666,46.25]}"
"ZMTT","Tavantolgoi","Tavantolgoi","Mongolia","MNG",43.77361111111111,105.5786111111111,"{""type"":""Point"",""coordinates"":[105.5786111111111,43.77361111111111]}"
"ZMBS","Bulgan Sum","Bulgan Sum","Mongolia","MNG",46.10055555555556,91.58361111111111,"{""type"":""Point"",""coordinates"":[91.58361111111111,46.10055555555556]}"
