"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"FQSG","Songo","Songo","Mozambique","MOZ",-15.6,32.766666666666666,"{""type"":""Point"",""coordinates"":[32.766666666666666,-15.6]}"
"FQQL","Quelimane","Quelimane","Mozambique","MOZ",-17.85,36.86666666666667,"{""type"":""Point"",""coordinates"":[36.86666666666667,-17.85]}"
"FQVL","Vilankulo","Vilankulo","Mozambique","MOZ",-22.016666666666666,35.31666666666667,"{""type"":""Point"",""coordinates"":[35.31666666666667,-22.016666666666666]}"
"FQPO","Ponta De Ouro","Ponta De Ouro","Mozambique","MOZ",-26.833333333333332,32.833333333333336,"{""type"":""Point"",""coordinates"":[32.833333333333336,-26.833333333333332]}"
"FQPB","Pemba","Pemba","Mozambique","MOZ",-12.991647222222221,40.52425,"{""type"":""Point"",""coordinates"":[40.52425,-12.991647222222221]}"
"FQNP","Nampula","Nampula","Mozambique","MOZ",-15.102777777777778,39.28444444444444,"{""type"":""Point"",""coordinates"":[39.28444444444444,-15.102777777777778]}"
"FQNC","Nacala","Nacala","Mozambique","MOZ",-14.490472222222222,40.71208333333334,"{""type"":""Point"",""coordinates"":[40.71208333333334,-14.490472222222222]}"
"FQMP","Mocimboa Da Praia","Mocimboa Da Praia","Mozambique","MOZ",-11.35,40.35,"{""type"":""Point"",""coordinates"":[40.35,-11.35]}"
"FQLU","Lumbo","Lumbo","Mozambique","MOZ",-15.033333333333333,40.666666666666664,"{""type"":""Point"",""coordinates"":[40.666666666666664,-15.033333333333333]}"
"FQUG","Ulongwe","Ulongwe","Mozambique","MOZ",-14.705277777777777,34.35416666666667,"{""type"":""Point"",""coordinates"":[34.35416666666667,-14.705277777777777]}"
"FQIN","Inhambane","Inhambane","Mozambique","MOZ",-23.866666666666667,35.416666666666664,"{""type"":""Point"",""coordinates"":[35.416666666666664,-23.866666666666667]}"
"FQMA","Maputo","Maputo","Mozambique","MOZ",-25.920833333333334,32.57263888888889,"{""type"":""Point"",""coordinates"":[32.57263888888889,-25.920833333333334]}"
"FQCH","Chimoio","Chimoio","Mozambique","MOZ",-19.149722222222223,33.428888888888885,"{""type"":""Point"",""coordinates"":[33.428888888888885,-19.149722222222223]}"
"FQIA","Inhaca","Inhaca","Mozambique","MOZ",-25.996944444444445,32.92916666666667,"{""type"":""Point"",""coordinates"":[32.92916666666667,-25.996944444444445]}"
"FQTT","Chingozi","Tete","Mozambique","MOZ",-16.10808888888889,33.640225,"{""type"":""Point"",""coordinates"":[33.640225,-16.10808888888889]}"
"FQBR","Beira","Beira","Mozambique","MOZ",-19.795833333333334,34.90472222222222,"{""type"":""Point"",""coordinates"":[34.90472222222222,-19.795833333333334]}"
"FQAG","Angoche","Angoche","Mozambique","MOZ",-16.183333333333334,39.93333333333333,"{""type"":""Point"",""coordinates"":[39.93333333333333,-16.183333333333334]}"
"FQBI","Bilene","Bilene","Mozambique","MOZ",-25.266666666666666,33.233333333333334,"{""type"":""Point"",""coordinates"":[33.233333333333334,-25.266666666666666]}"
"FQLC","Lichinga","Lichinga","Mozambique","MOZ",-13.274527777777779,35.264633333333336,"{""type"":""Point"",""coordinates"":[35.264633333333336,-13.274527777777779]}"
