"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"GQPT","Bir Moghrein","Bir Moghrein","Mauritania","MRT",25.233333333333334,-11.583333333333334,"{""type"":""Point"",""coordinates"":[-11.583333333333334,25.233333333333334]}"
"GQPA","Atar","Atar","Mauritania","MRT",20.498055555555556,-13.04861111111111,"{""type"":""Point"",""coordinates"":[-13.04861111111111,20.498055555555556]}"
"GQNE","Boghe","Boghe","Mauritania","MRT",16.633333333333333,-14.2,"{""type"":""Point"",""coordinates"":[-14.2,16.633333333333333]}"
"GQNM","Dahara","Timbedra","Mauritania","MRT",16.3,-8.05,"{""type"":""Point"",""coordinates"":[-8.05,16.3]}"
"GQNT","Tamchakett","Tamchakett","Mauritania","MRT",17.233333333333334,-10.816666666666666,"{""type"":""Point"",""coordinates"":[-10.816666666666666,17.233333333333334]}"
"GQPP","Nouadhibou","Nouadhibou","Mauritania","MRT",20.928441666666668,-17.031138888888886,"{""type"":""Point"",""coordinates"":[-17.031138888888886,20.928441666666668]}"
"GQNN","Nouakchott","Nouakchott","Mauritania","MRT",18.095555555555553,-15.95,"{""type"":""Point"",""coordinates"":[-15.95,18.095555555555553]}"
"GQNL","Letfotar","Moudjeria","Mauritania","MRT",17.75,-12.5,"{""type"":""Point"",""coordinates"":[-12.5,17.75]}"
"GQNH","Timbedra","Timbedra","Mauritania","MRT",16.233333333333334,-8.166666666666666,"{""type"":""Point"",""coordinates"":[-8.166666666666666,16.233333333333334]}"
"GQNF","Kiffa","Kiffa","Mauritania","MRT",16.59338888888889,-11.39975,"{""type"":""Point"",""coordinates"":[-11.39975,16.59338888888889]}"
"GQNC","Tichit","Tichit","Mauritania","MRT",18.45,-9.516666666666667,"{""type"":""Point"",""coordinates"":[-9.516666666666667,18.45]}"
