"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"FWUU","Mzuzu","Mzuzu","Malawi","MWI",-11.44416111111111,34.012255555555555,"{""type"":""Point"",""coordinates"":[34.012255555555555,-11.44416111111111]}"
"FWMZ","Mzimba","Mzimba","Malawi","MWI",-11.9,33.583333333333336,"{""type"":""Point"",""coordinates"":[33.583333333333336,-11.9]}"
"FWSJ","Nsanje","Nsanje","Malawi","MWI",-16.916666666666668,35.25,"{""type"":""Point"",""coordinates"":[35.25,-16.916666666666668]}"
"FWMY","Monkey Bay","Monkey Bay","Malawi","MWI",-14.1,34.916666666666664,"{""type"":""Point"",""coordinates"":[34.916666666666664,-14.1]}"
"FWLP","Lifupa","Kasungu","Malawi","MWI",-13.05,33.15,"{""type"":""Point"",""coordinates"":[33.15,-13.05]}"
"FWKG","Kasungu","Kasungu","Malawi","MWI",-13.016666666666667,33.46666666666667,"{""type"":""Point"",""coordinates"":[33.46666666666667,-13.016666666666667]}"
"FWKK","Nkhotakota","Nkhotakota","Malawi","MWI",-12.916666666666666,34.28333333333333,"{""type"":""Point"",""coordinates"":[34.28333333333333,-12.916666666666666]}"
"FWLK","Likoma","Likoma","Malawi","MWI",-12.079716666666666,34.73636388888889,"{""type"":""Point"",""coordinates"":[34.73636388888889,-12.079716666666666]}"
"FWCB","Chilumba","Chilumba","Malawi","MWI",-10.433333333333334,34.25,"{""type"":""Point"",""coordinates"":[34.25,-10.433333333333334]}"
"FWCL","Chileka Intl","Blantyre","Malawi","MWI",-15.679722222222221,34.9675,"{""type"":""Point"",""coordinates"":[34.9675,-15.679722222222221]}"
"FWKI","Kamuzu Intl","Lilongwe","Malawi","MWI",-13.783333333333333,33.777499999999996,"{""type"":""Point"",""coordinates"":[33.777499999999996,-13.783333333333333]}"
"FWKB","Katumbi","Katumbi","Malawi","MWI",-10.816666666666666,33.516666666666666,"{""type"":""Point"",""coordinates"":[33.516666666666666,-10.816666666666666]}"
"FWBG","Bangula","Bangula","Malawi","MWI",-16.583333333333332,35.11666666666667,"{""type"":""Point"",""coordinates"":[35.11666666666667,-16.583333333333332]}"
"FWCD","Chelinda","Chelinda","Malawi","MWI",-10.55,33.8,"{""type"":""Point"",""coordinates"":[33.8,-10.55]}"
"FWSU","Sucoma","Nchalo","Malawi","MWI",-16.266666666666666,34.916666666666664,"{""type"":""Point"",""coordinates"":[34.916666666666664,-16.266666666666666]}"
"FWDW","Dwangwa","Dwangwa","Malawi","MWI",-12.515,34.13111111111111,"{""type"":""Point"",""coordinates"":[34.13111111111111,-12.515]}"
"FWSM","Salima","Salima","Malawi","MWI",-13.75,34.583333333333336,"{""type"":""Point"",""coordinates"":[34.583333333333336,-13.75]}"
"FWKA","Karonga","Karonga","Malawi","MWI",-9.953419444444444,33.89317222222222,"{""type"":""Point"",""coordinates"":[33.89317222222222,-9.953419444444444]}"
"FWMC","Mchinji","Mchinji","Malawi","MWI",-13.8,32.9,"{""type"":""Point"",""coordinates"":[32.9,-13.8]}"
"FWCM","Club Makokola","Club Makokola","Malawi","MWI",-14.3,35.13333333333333,"{""type"":""Point"",""coordinates"":[35.13333333333333,-14.3]}"
"FWCS","Ntchisi","Ntchisi","Malawi","MWI",-13.366666666666667,33.85,"{""type"":""Point"",""coordinates"":[33.85,-13.366666666666667]}"
"FWMG","Mangochi","Mangochi","Malawi","MWI",-14.483333333333333,35.25,"{""type"":""Point"",""coordinates"":[35.25,-14.483333333333333]}"
"FWCT","Chitipa","Chitipa","Malawi","MWI",-9.7,33.266666666666666,"{""type"":""Point"",""coordinates"":[33.266666666666666,-9.7]}"
