"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"WMPR","Pulau Redang","Pulau Redang","Malaysia","MYS",5.7652777777777775,103.00694444444444,"{""type"":""Point"",""coordinates"":[103.00694444444444,5.7652777777777775]}"
"WMKN","Sultan Mahmud","Kuala Terengganu","Malaysia","MYS",5.381388888888888,103.10472222222222,"{""type"":""Point"",""coordinates"":[103.10472222222222,5.381388888888888]}"
"WMKM","Malacca","Malacca","Malaysia","MYS",2.2630555555555554,102.2525,"{""type"":""Point"",""coordinates"":[102.2525,2.2630555555555554]}"
"WMKL","Langkawi Intl","Langkawi I.","Malaysia","MYS",6.339449999999999,99.73356111111111,"{""type"":""Point"",""coordinates"":[99.73356111111111,6.339449999999999]}"
"WBKD","Lahad Datu","Lahad Datu","Malaysia","MYS",5.033055555555555,118.32111111111111,"{""type"":""Point"",""coordinates"":[118.32111111111111,5.033055555555555]}"
"WMKI","Sultan Azlan Shah","Ipoh","Malaysia","MYS",4.569166666666667,101.09305555555555,"{""type"":""Point"",""coordinates"":[101.09305555555555,4.569166666666667]}"
"WMKD","Sultan Ahmad Shah","Kuantan","Malaysia","MYS",3.769722222222222,103.20944444444444,"{""type"":""Point"",""coordinates"":[103.20944444444444,3.769722222222222]}"
"WMKC","Sultan Ismail Petra","Kota Bharu","Malaysia","MYS",6.166111111111111,102.2925,"{""type"":""Point"",""coordinates"":[102.2925,6.166111111111111]}"
"WMKB","Butterworth","Butterworth","Malaysia","MYS",5.467472222222223,100.3916638888889,"{""type"":""Point"",""coordinates"":[100.3916638888889,5.467472222222223]}"
"WBGR","Miri","Miri","Malaysia","MYS",4.325277777777777,113.98833333333333,"{""type"":""Point"",""coordinates"":[113.98833333333333,4.325277777777777]}"
"WMKJ","Senai Intl","Johor Bahru","Malaysia","MYS",1.6405555555555555,103.67027777777778,"{""type"":""Point"",""coordinates"":[103.67027777777778,1.6405555555555555]}"
"WMKA","Sultan Abdul Halim","Alor Star","Malaysia","MYS",6.194472222222222,100.40083333333334,"{""type"":""Point"",""coordinates"":[100.40083333333334,6.194472222222222]}"
"WMGK","Gong Kedak","Gong Kedak","Malaysia","MYS",5.7988888888888885,102.49027777777778,"{""type"":""Point"",""coordinates"":[102.49027777777778,5.7988888888888885]}"
"WMBI","Taiping","Taiping","Malaysia","MYS",4.866944444444445,100.71694444444445,"{""type"":""Point"",""coordinates"":[100.71694444444445,4.866944444444445]}"
"WBGG","Kuching Intl","Kuching","Malaysia","MYS",1.4847222222222223,110.33777777777777,"{""type"":""Point"",""coordinates"":[110.33777777777777,1.4847222222222223]}"
"WBKS","Sandakan","Sandakan","Malaysia","MYS",5.901666666666667,118.04861111111111,"{""type"":""Point"",""coordinates"":[118.04861111111111,5.901666666666667]}"
"WBGL","Long Akah","Long Akah","Malaysia","MYS",3.307833333333333,114.7765,"{""type"":""Point"",""coordinates"":[114.7765,3.307833333333333]}"
"WBKK","Kota Kinabalu","Kota Kinabalu","Malaysia","MYS",5.9447222222222225,116.05305555555556,"{""type"":""Point"",""coordinates"":[116.05305555555556,5.9447222222222225]}"
"WMKP","Penang Intl","Penang I","Malaysia","MYS",5.2972222222222225,100.27666666666667,"{""type"":""Point"",""coordinates"":[100.27666666666667,5.2972222222222225]}"
"WBGM","Marudi","Marudi","Malaysia","MYS",4.191666666666667,114.325,"{""type"":""Point"",""coordinates"":[114.325,4.191666666666667]}"
"WBGW","Lawas","Lawas","Malaysia","MYS",4.85,115.4,"{""type"":""Point"",""coordinates"":[115.4,4.85]}"
"WMBT","Pulau Tioman","Pulau Tioman","Malaysia","MYS",2.8190555555555554,104.16008333333333,"{""type"":""Point"",""coordinates"":[104.16008333333333,2.8190555555555554]}"
