"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"FYWH","Hosea Kutako Intl","Windhoek","Namibia","NAM",-22.479894444444444,17.47095,"{""type"":""Point"",""coordinates"":[17.47095,-22.479894444444444]}"
"FYWB","Walvis Bay","Walvis Bay","Namibia","NAM",-22.979999999999997,14.645277777777777,"{""type"":""Point"",""coordinates"":[14.645277777777777,-22.979999999999997]}"
"FYTM","Tsumeb","Tsumeb","Namibia","NAM",-19.266666666666666,17.733333333333334,"{""type"":""Point"",""coordinates"":[17.733333333333334,-19.266666666666666]}"
"FYSM","Swakopmund","Swakopmund","Namibia","NAM",-22.65833333333333,14.566666666666666,"{""type"":""Point"",""coordinates"":[14.566666666666666,-22.65833333333333]}"
"FYSA","Skorpion Mine","Skorpion Mine","Namibia","NAM",-27.876008333333335,16.64772222222222,"{""type"":""Point"",""coordinates"":[16.64772222222222,-27.876008333333335]}"
"FYAR","Arandis","Arandis","Namibia","NAM",-22.466666666666665,14.983333333333333,"{""type"":""Point"",""coordinates"":[14.983333333333333,-22.466666666666665]}"
"FYGF","Grootfontein","Grootfontein","Namibia","NAM",-19.6,18.133333333333333,"{""type"":""Point"",""coordinates"":[18.133333333333333,-19.6]}"
"FYMO","Mokuti Lodge","Mokuti Lodge","Namibia","NAM",-18.814444444444444,17.051944444444445,"{""type"":""Point"",""coordinates"":[17.051944444444445,-18.814444444444444]}"
"FYRU","Rundu","Rundu","Namibia","NAM",-17.95611111111111,19.720555555555553,"{""type"":""Point"",""coordinates"":[19.720555555555553,-17.95611111111111]}"
"FYML","Mariental","Mariental","Namibia","NAM",-24.604166666666668,17.925,"{""type"":""Point"",""coordinates"":[17.925,-24.604166666666668]}"
"FYOG","Oranjemund","Oranjemund","Namibia","NAM",-28.584805555555555,16.446361111111113,"{""type"":""Point"",""coordinates"":[16.446361111111113,-28.584805555555555]}"
"FYLZ","Luderitz","Luderitz","Namibia","NAM",-26.685277777777777,15.245555555555555,"{""type"":""Point"",""coordinates"":[15.245555555555555,-26.685277777777777]}"
"FYOA","Ondangwa","Ondangwa","Namibia","NAM",-17.877222222222223,15.95,"{""type"":""Point"",""coordinates"":[15.95,-17.877222222222223]}"
"FYKT","Keetmanshoop","Keetmanshoop","Namibia","NAM",-26.53888888888889,18.111666666666668,"{""type"":""Point"",""coordinates"":[18.111666666666668,-26.53888888888889]}"
"FYKM","Katima Mulilo","Katima Mulilo","Namibia","NAM",-17.634166666666665,24.17666666666667,"{""type"":""Point"",""coordinates"":[24.17666666666667,-17.634166666666665]}"
"FYGB","Gobabis","Gobabis","Namibia","NAM",-22.504722222222224,18.97472222222222,"{""type"":""Point"",""coordinates"":[18.97472222222222,-22.504722222222224]}"
"FYWE","Eros","Windhoek","Namibia","NAM",-22.6075,17.079166666666666,"{""type"":""Point"",""coordinates"":[17.079166666666666,-22.6075]}"
