"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"DNZA","Zaria","Zaria","Nigeria","NGA",11.1302,7.685708333333333,"{""type"":""Point"",""coordinates"":[7.685708333333333,11.1302]}"
"DNSO","Saddiq Abubakar III Intl","Sokoto","Nigeria","NGA",12.915894444444445,5.2068972222222225,"{""type"":""Point"",""coordinates"":[5.2068972222222225,12.915894444444445]}"
"DNKT","Katsina","Katsina","Nigeria","NGA",13.007433333333333,7.660608333333334,"{""type"":""Point"",""coordinates"":[7.660608333333334,13.007433333333333]}"
"DNMN","Minna","Minna","Nigeria","NGA",9.652330555555556,6.4623333333333335,"{""type"":""Point"",""coordinates"":[6.4623333333333335,9.652330555555556]}"
"DNKA","New Kaduna","Kaduna","Nigeria","NGA",10.695866666666667,7.320144444444444,"{""type"":""Point"",""coordinates"":[7.320144444444444,10.695866666666667]}"
"DNMM","Murtala Muhammed","Lagos","Nigeria","NGA",6.5786444444444445,3.3225277777777777,"{""type"":""Point"",""coordinates"":[3.3225277777777777,6.5786444444444445]}"
"DNJO","Yakubu Gowon","Jos","Nigeria","NGA",9.639816666666666,8.86906388888889,"{""type"":""Point"",""coordinates"":[8.86906388888889,9.639816666666666]}"
"DNIM","Sam Mbakwe","Owerri","Nigeria","NGA",5.427155555555556,7.206025,"{""type"":""Point"",""coordinates"":[7.206025,5.427155555555556]}"
"DNAK","Akure","Akure","Nigeria","NGA",7.246744444444444,5.300977777777778,"{""type"":""Point"",""coordinates"":[5.300977777777778,7.246744444444444]}"
"DNFD","Forcados Terminal","Forcados","Nigeria","NGA",5.355049999999999,5.348958333333333,"{""type"":""Point"",""coordinates"":[5.348958333333333,5.355049999999999]}"
"DNGO","Gombe","Gombe","Nigeria","NGA",10.298147222222221,10.899047222222222,"{""type"":""Point"",""coordinates"":[10.899047222222222,10.298147222222221]}"
"DNIL","Ilorin","Ilorin","Nigeria","NGA",8.440116666666666,4.493966666666667,"{""type"":""Point"",""coordinates"":[4.493966666666667,8.440116666666666]}"
"DNFB","Finima","Bonny","Nigeria","NGA",4.405013888888889,7.181116666666667,"{""type"":""Point"",""coordinates"":[7.181116666666667,4.405013888888889]}"
"DNSU","Osubi","Osubi","Nigeria","NGA",5.598183333333333,5.818802777777777,"{""type"":""Point"",""coordinates"":[5.818802777777777,5.598183333333333]}"
"DNIB","Ibadan","Ibadan","Nigeria","NGA",7.362408333333333,3.978327777777778,"{""type"":""Point"",""coordinates"":[3.978327777777778,7.362408333333333]}"
"DNBE","Benin","Benin","Nigeria","NGA",6.3165305555555555,5.598944444444444,"{""type"":""Point"",""coordinates"":[5.598944444444444,6.3165305555555555]}"
"DNAA","Nnamdi Azikiwe Intl","Abuja","Nigeria","NGA",9.006794444444445,7.263172222222222,"{""type"":""Point"",""coordinates"":[7.263172222222222,9.006794444444445]}"
"DNBK","Sir Ahmadu Bello","Birnin Kebbi","Nigeria","NGA",12.479186111111112,4.369355555555555,"{""type"":""Point"",""coordinates"":[4.369355555555555,12.479186111111112]}"
"DNEK","Akwa Ibom","Eket","Nigeria","NGA",4.642849999999999,7.949147222222223,"{""type"":""Point"",""coordinates"":[7.949147222222223,4.642849999999999]}"
"DNPO","Port Harcourt","Port Harcourt","Nigeria","NGA",5.015458333333333,6.9495305555555555,"{""type"":""Point"",""coordinates"":[6.9495305555555555,5.015458333333333]}"
"DNMA","Maiduguri","Maiduguri","Nigeria","NGA",11.855244444444445,13.08128611111111,"{""type"":""Point"",""coordinates"":[13.08128611111111,11.855244444444445]}"
"DNKN","Mallam Aminu Kano","Kano","Nigeria","NGA",12.048055555555555,8.523611111111112,"{""type"":""Point"",""coordinates"":[8.523611111111112,12.048055555555555]}"
"DNEN","Akanu Ibiam","Enugu","Nigeria","NGA",6.473536111111112,7.5589305555555555,"{""type"":""Point"",""coordinates"":[7.5589305555555555,6.473536111111112]}"
"DNYO","Yola","Yola","Nigeria","NGA",9.257697222222221,12.430413888888888,"{""type"":""Point"",""coordinates"":[12.430413888888888,9.257697222222221]}"
"DNES","Escravos","Escravos","Nigeria","NGA",5.616416666666666,5.188750000000001,"{""type"":""Point"",""coordinates"":[5.188750000000001,5.616416666666666]}"
"DNDS","Dutse","Dutse","Nigeria","NGA",11.795152777777778,9.301180555555556,"{""type"":""Point"",""coordinates"":[9.301180555555556,11.795152777777778]}"
"DNCA","Margaret Ekpo","Calabar","Nigeria","NGA",4.976044444444445,8.3473,"{""type"":""Point"",""coordinates"":[8.3473,4.976044444444445]}"
"DNAI","Akwa Ibom Intl","Uyo","Nigeria","NGA",4.872152777777778,8.093569444444444,"{""type"":""Point"",""coordinates"":[8.093569444444444,4.872152777777778]}"
