"airportCode","airportName","cityName","countryName","countryCode","latitude","longitude","geometry"
"MNSI","Siuna","Siuna","Nicaragua","NIC",13.716666666666667,-84.77277777777778,"{""type"":""Point"",""coordinates"":[-84.77277777777778,13.716666666666667]}"
"MNRT","Rosita","Rosita","Nicaragua","NIC",13.891666666666666,-84.40277777777779,"{""type"":""Point"",""coordinates"":[-84.40277777777779,13.891666666666666]}"
"MNPC","Puerto Cabezas","Puerto Cabezas","Nicaragua","NIC",14.046208333333333,-83.38770277777779,"{""type"":""Point"",""coordinates"":[-83.38770277777779,14.046208333333333]}"
"MNSC","San Carlos","Rio San Juan","Nicaragua","NIC",11.133333333333333,-84.76666666666667,"{""type"":""Point"",""coordinates"":[-84.76666666666667,11.133333333333333]}"
"MNNG","N. Guinea","N. Guinea","Nicaragua","NIC",11.683333333333334,-84.45,"{""type"":""Point"",""coordinates"":[-84.45,11.683333333333334]}"
"MNWP","Waspan","Waspan","Nicaragua","NIC",14.735999999999999,-83.97222222222223,"{""type"":""Point"",""coordinates"":[-83.97222222222223,14.735999999999999]}"
"MNLN","Leon","Leon","Nicaragua","NIC",12.428888888888888,-86.90277777777779,"{""type"":""Point"",""coordinates"":[-86.90277777777779,12.428888888888888]}"
"MNMR","Montelimar","Montelimar","Nicaragua","NIC",11.805833333333334,-86.51,"{""type"":""Point"",""coordinates"":[-86.51,11.805833333333334]}"
"MNCH","Chinandega","Chinandega","Nicaragua","NIC",12.640277777777778,-87.13833333333334,"{""type"":""Point"",""coordinates"":[-87.13833333333334,12.640277777777778]}"
"MNCI","Corn Island","Corn Island","Nicaragua","NIC",12.175833333333333,-83.05813888888889,"{""type"":""Point"",""coordinates"":[-83.05813888888889,12.175833333333333]}"
"MNCE","Costa Esmeralda","Costa Esmeralda","Nicaragua","NIC",11.427541666666666,-86.0333611111111,"{""type"":""Point"",""coordinates"":[-86.0333611111111,11.427541666666666]}"
"MNBZ","Bonanza","Bonanza","Nicaragua","NIC",14.038333333333334,-84.625,"{""type"":""Point"",""coordinates"":[-84.625,14.038333333333334]}"
"MNBL","Bluefields","Bluefields","Nicaragua","NIC",11.990805555555555,-83.77418888888889,"{""type"":""Point"",""coordinates"":[-83.77418888888889,11.990805555555555]}"
"MNMG","Augusto Cesar Sandino Intl","Managua","Nicaragua","NIC",12.141741666666666,-86.16976944444446,"{""type"":""Point"",""coordinates"":[-86.16976944444446,12.141741666666666]}"
"MNBR","Los Brasiles","Los Brasiles","Nicaragua","NIC",12.19,-86.35388888888889,"{""type"":""Point"",""coordinates"":[-86.35388888888889,12.19]}"
